record_id,vendor_id,project_id,contract_id,metric_type,prediction_date,forecast_date,prediction_horizon,historical_period_months,predicted_score,confidence_level,risk_probability,risk_category,on_time_delivery_prob,quality_compliance_prob,cost_overrun_prob,model_name,model_accuracy,top_features,recommendation,actual_outcome,prediction_accuracy,data_quality_score,num_data_points,last_updated
PRED00011,VEN01522,PROJ00369,CONT01771,Quality Prediction,2026-01-07,2026-04-07,3 Months,6,63.76,88.78,0.3316,Low,0.8027,0.8404,0.2642,Gradient Boosting,0.7752,"Technology Used, Vendor Rating, Quality Score, Delivery Record, Resource Availability",Standard monitoring,,,0.9031,124,2026-01-03 04:24:47
PRED00012,VEN01452,PROJ00897,CONT00526,Vendor Performance,2026-01-07,2027-01-07,12 Months,24,44.13,91.86,0.5587,Medium,0.8197,0.9363,0.0604,Ensemble Model,0.8108,"Team Experience, Seasonal Factors, Technology Used, Past Performance, Resource Availability",Stakeholder communication,Better than Expected,0.9654,0.9752,4999,2025-12-31 04:24:47
PRED00013,VEN01706,PROJ00972,,Contract Risk,2026-01-07,2027-01-07,12 Months,3,29.94,73.41,0.7006,High,0.8072,0.7105,0.3116,LSTM,0.8981,"Technology Used, Past Performance, Project Complexity, Vendor Rating, Delivery Record",Escalate to management,,,0.9775,4742,2026-01-02 04:24:47
PRED00014,VEN01465,,CONT01090,Compliance Risk,2026-01-07,2027-01-07,12 Months,24,58.69,84.04,0.3373,Low,0.7681,0.6762,0.1005,Logistic Regression,0.7587,"Technology Used, Project Complexity, Seasonal Factors, Payment History, Resource Availability",Standard monitoring,,,0.917,639,2026-01-05 04:24:47
PRED00015,VEN01393,PROJ00534,CONT01309,Schedule Forecast,2026-01-07,2027-01-07,12 Months,6,89.57,80.32,0.0,Very Low,1.0772,0.6975,0.4848,Logistic Regression,0.7934,"Technology Used, Payment History, Team Experience, Project Complexity, Past Performance",No action required,,,0.8948,2809,2026-01-01 04:24:47
PRED00016,VEN01821,PROJ00446,CONT00127,Payment Prediction,2026-01-07,2026-04-07,3 Months,24,56.09,88.36,0.4963,Medium,0.6161,0.8401,0.2239,Random Forest Classifier,0.818,"Resource Availability, Team Experience, Past Performance, Payment History, Contract Value",Regular monitoring,,,0.9004,1650,2025-12-31 04:24:47
PRED00017,VEN01534,PROJ01374,CONT01238,Payment Prediction,2026-01-07,2026-07-06,6 Months,6,70.27,81.83,0.1816,Very Low,0.8405,0.7387,0.3572,Logistic Regression,0.8169,"Resource Availability, Past Performance, Delivery Record, Seasonal Factors, Payment History",No action required,,,0.9143,352,2025-12-31 04:24:47
PRED00018,VEN00183,PROJ01421,CONT01240,Payment Prediction,2026-01-07,2026-02-06,1 Month,12,62.28,80.08,0.587,Medium,0.8822,0.6527,0.323,XGBoost,0.7744,"Technology Used, Contract Value, Project Complexity, Vendor Rating, Quality Score",Preventive action,,,0.8102,211,2026-01-05 04:24:47
PRED00019,VEN00132,,CONT01730,Quality Prediction,2026-01-07,2026-02-06,1 Month,12,70.99,69.84,0.1677,Very Low,0.7823,0.6689,0.1784,LSTM,0.8576,"Delivery Record, Contract Value, Seasonal Factors, Technology Used, Quality Score",Continue as planned,,,0.9033,3036,2026-01-02 04:24:47
PRED00020,VEN01143,PROJ00318,,Delivery Prediction,2026-01-07,2026-07-06,6 Months,6,79.01,75.11,0.3451,Low,0.6077,0.9267,0.2418,Random Forest Classifier,0.8924,"Vendor Rating, Technology Used, Market Conditions, Team Experience, Project Complexity",Continue as planned,,,0.7831,3644,2025-12-31 04:24:47
PRED00021,VEN00213,PROJ01831,,Payment Prediction,2026-01-07,2026-07-06,6 Months,24,89.62,77.03,0.4321,Medium,0.8551,0.7897,0.2326,LSTM,0.7992,"Past Performance, Resource Availability, Vendor Rating, Market Conditions, Project Complexity",Regular monitoring,As Predicted,0.9798,0.9683,453,2026-01-07 04:24:47
PRED00022,VEN01915,PROJ00648,CONT00636,Delivery Prediction,2026-01-07,2026-02-06,1 Month,12,72.8,82.31,0.26,Low,0.6032,0.6504,0.4147,XGBoost,0.9157,"Quality Score, Resource Availability, Seasonal Factors, Team Experience, Payment History",Standard monitoring,,,0.7683,1787,2025-12-31 04:24:47
PRED00023,VEN01089,PROJ01495,CONT00875,Payment Prediction,2026-01-07,2026-04-07,3 Months,24,83.0,74.5,0.4814,Medium,0.6727,0.7114,0.1911,Logistic Regression,0.8174,"Technology Used, Seasonal Factors, Quality Score, Project Complexity, Market Conditions",Review mitigation plan,,,0.9479,1329,2026-01-01 04:24:47
PRED00024,VEN01884,PROJ01029,,Contract Risk,2026-01-07,2026-07-06,6 Months,3,75.49,79.7,0.2451,Low,0.5827,0.8658,0.3494,Neural Network,0.9371,"Past Performance, Delivery Record, Vendor Rating, Contract Value, Payment History",Continue as planned,,,0.8957,2118,2025-12-31 04:24:47
PRED00025,VEN00268,PROJ00055,CONT01771,Payment Prediction,2026-01-07,2026-04-07,3 Months,36,53.19,75.82,0.3937,Low,0.7353,0.9234,0.2316,Random Forest Classifier,0.8459,"Technology Used, Delivery Record, Seasonal Factors, Contract Value, Market Conditions",Standard monitoring,Better than Expected,0.977,0.8033,3620,2026-01-02 04:24:47
PRED00026,VEN00420,PROJ01323,CONT00717,Compliance Risk,2026-01-07,2026-07-06,6 Months,36,81.4,83.03,0.2732,Low,0.7964,0.7514,0.1231,Random Forest Classifier,0.896,"Seasonal Factors, Market Conditions, Payment History, Technology Used, Team Experience",No action required,,,0.8398,3614,2026-01-04 04:24:47
PRED00027,VEN01730,PROJ00371,CONT00514,Compliance Risk,2026-01-07,2027-01-07,12 Months,24,61.66,77.65,0.1789,Very Low,0.6425,0.7921,0.2706,Logistic Regression,0.8012,"Contract Value, Seasonal Factors, Technology Used, Market Conditions, Resource Availability",Standard monitoring,,,0.8863,4456,2026-01-04 04:24:47
PRED00028,VEN00260,PROJ01668,CONT01310,Vendor Performance,2026-01-07,2026-02-06,1 Month,12,72.41,74.59,0.2759,Low,0.7227,0.6874,0.1305,Neural Network,0.8411,"Payment History, Past Performance, Delivery Record, Contract Value, Project Complexity",Standard monitoring,,,0.7925,3398,2026-01-05 04:24:47
PRED00029,VEN01761,PROJ01782,CONT00276,Schedule Forecast,2026-01-07,2026-04-07,3 Months,6,17.0,86.38,0.3074,Low,0.3852,0.8592,0.4052,Neural Network,0.7721,"Delivery Record, Project Complexity, Technology Used, Resource Availability, Seasonal Factors",No action required,,,0.7546,3293,2026-01-05 04:24:47
PRED00030,VEN01032,,CONT01218,Payment Prediction,2026-01-07,2026-02-06,1 Month,36,70.58,78.75,0.4146,Medium,0.7899,0.7912,0.398,Gradient Boosting,0.8912,"Resource Availability, Project Complexity, Technology Used, Quality Score, Team Experience",Regular monitoring,,,0.8578,1848,2026-01-04 04:24:47
PRED00031,VEN01777,PROJ00789,CONT01166,Compliance Risk,2026-01-07,2027-01-07,12 Months,36,84.04,88.46,0.588,Medium,0.8373,0.8611,0.3339,Neural Network,0.781,"Delivery Record, Team Experience, Past Performance, Resource Availability, Vendor Rating",Review mitigation plan,,,0.8903,272,2026-01-06 04:24:47
PRED00032,VEN00036,PROJ01254,,Budget Forecast,2026-01-07,2026-04-07,3 Months,24,95.1,82.63,0.0245,Very Low,0.6475,0.7724,0.0245,Gradient Boosting,0.7235,"Seasonal Factors, Payment History, Contract Value, Delivery Record, Quality Score",Standard monitoring,,,0.8555,2667,2026-01-04 04:24:47
PRED00033,VEN01197,PROJ01579,CONT01937,Compliance Risk,2026-01-07,2026-04-07,3 Months,12,83.66,74.95,0.1453,Very Low,0.8638,0.8702,0.3936,Logistic Regression,0.8675,"Market Conditions, Team Experience, Technology Used, Payment History, Past Performance",Standard monitoring,,,0.8225,1692,2026-01-07 04:24:47
PRED00034,VEN00747,,CONT01267,Compliance Risk,2026-01-07,2026-04-07,3 Months,24,71.91,87.15,0.5728,Medium,0.61,0.777,0.3383,Random Forest Classifier,0.7968,"Project Complexity, Past Performance, Quality Score, Seasonal Factors, Resource Availability",Preventive action,,,0.7796,924,2026-01-02 04:24:47
PRED00035,VEN00795,PROJ01133,CONT00058,Budget Forecast,2026-01-07,2027-01-07,12 Months,36,54.42,78.81,0.2279,Low,0.7707,0.9036,0.2279,Ensemble Model,0.7542,"Payment History, Seasonal Factors, Vendor Rating, Technology Used, Contract Value",Continue as planned,,,0.8603,70,2026-01-01 04:24:47
PRED00036,VEN01411,,,Delivery Prediction,2026-01-07,2026-04-07,3 Months,3,67.14,73.74,0.5607,Medium,0.6613,0.8909,0.368,Ensemble Model,0.8335,"Contract Value, Quality Score, Resource Availability, Vendor Rating, Project Complexity",Review mitigation plan,,,0.9033,426,2026-01-01 04:24:47
PRED00037,VEN00973,PROJ01913,CONT00729,Compliance Risk,2026-01-07,2026-04-07,3 Months,12,62.21,85.84,0.2592,Low,0.8235,0.8289,0.4087,Logistic Regression,0.918,"Vendor Rating, Delivery Record, Past Performance, Payment History, Seasonal Factors",Continue as planned,,,0.9398,4417,2026-01-06 04:24:47
PRED00038,VEN00053,PROJ01868,CONT00667,Compliance Risk,2026-01-07,2026-04-07,3 Months,6,64.39,79.08,0.478,Medium,0.8353,0.8262,0.0972,Random Forest Classifier,0.7536,"Contract Value, Past Performance, Payment History, Technology Used, Delivery Record",Regular monitoring,Slightly Worse,0.8375,0.9254,4800,2026-01-04 04:24:47
PRED00039,VEN00240,PROJ00029,CONT00244,Payment Prediction,2026-01-07,2026-02-06,1 Month,3,64.42,76.07,0.2912,Low,0.731,0.7147,0.1853,LSTM,0.7806,"Team Experience, Technology Used, Delivery Record, Past Performance, Market Conditions",Continue as planned,Better than Expected,0.8936,0.8192,4586,2026-01-05 04:24:47
PRED00040,VEN00267,PROJ00048,CONT01827,Vendor Performance,2026-01-07,2027-01-07,12 Months,12,73.38,74.23,0.2662,Low,0.6847,0.7942,0.1719,LSTM,0.9075,"Team Experience, Market Conditions, Past Performance, Project Complexity, Quality Score",Continue as planned,,,0.8428,4041,2026-01-05 04:24:47
PRED00041,VEN01784,,CONT01580,Contract Risk,2026-01-07,2027-01-07,12 Months,3,48.08,74.42,0.5192,Medium,0.6398,0.8347,0.4864,Ensemble Model,0.8614,"Vendor Rating, Payment History, Team Experience, Quality Score, Market Conditions",Preventive action,,,0.7581,382,2026-01-07 04:24:47
PRED00042,VEN00533,PROJ01212,CONT01455,Vendor Performance,2026-01-07,2026-07-06,6 Months,36,87.73,81.31,0.1227,Very Low,0.8578,0.8136,0.108,Neural Network,0.743,"Past Performance, Team Experience, Seasonal Factors, Quality Score, Contract Value",No action required,,,0.8799,4162,2025-12-31 04:24:47
PRED00043,VEN00432,,CONT01951,Contract Risk,2026-01-07,2027-01-07,12 Months,24,13.26,88.22,0.8674,Critical,0.5411,0.868,0.2149,LSTM,0.84,"Quality Score, Seasonal Factors, Contract Value, Vendor Rating, Team Experience",Review contract terms,,,0.8376,2716,2026-01-03 04:24:47
PRED00044,VEN01900,PROJ00315,CONT00475,Contract Risk,2026-01-07,2026-04-07,3 Months,12,72.48,72.16,0.2752,Low,0.6766,0.7781,0.3262,Gradient Boosting,0.8895,"Vendor Rating, Seasonal Factors, Delivery Record, Resource Availability, Payment History",Standard monitoring,,,0.7585,540,2025-12-31 04:24:47
PRED00045,VEN00246,PROJ00475,CONT00184,Delivery Prediction,2026-01-07,2027-01-07,12 Months,3,89.18,68.81,0.2389,Low,0.7148,0.9142,0.1105,Ensemble Model,0.9198,"Payment History, Resource Availability, Contract Value, Quality Score, Delivery Record",Continue as planned,Better than Expected,0.9496,0.8351,3573,2026-01-03 04:24:47
PRED00046,VEN00582,PROJ01398,CONT01516,Budget Forecast,2026-01-07,2027-01-07,12 Months,36,99.99,91.76,0.0,Very Low,0.6771,0.865,0.0,Ensemble Model,0.8461,"Contract Value, Project Complexity, Resource Availability, Market Conditions, Past Performance",Standard monitoring,,,0.8616,3560,2026-01-05 04:24:47
PRED00047,VEN00043,PROJ01661,CONT00394,Compliance Risk,2026-01-07,2026-04-07,3 Months,36,66.47,75.16,0.1824,Very Low,0.8697,0.8787,0.3279,Random Forest Classifier,0.8751,"Resource Availability, Payment History, Contract Value, Team Experience, Quality Score",Standard monitoring,Better than Expected,0.8504,0.7892,1065,2026-01-04 04:24:47
PRED00048,VEN00722,,,Delivery Prediction,2026-01-07,2026-07-06,6 Months,24,53.63,72.34,0.5086,Medium,0.7291,0.6927,0.1127,XGBoost,0.7763,"Contract Value, Delivery Record, Team Experience, Technology Used, Past Performance",Stakeholder communication,,,0.7805,3015,2026-01-05 04:24:47
PRED00049,VEN01775,PROJ00014,CONT01849,Vendor Performance,2026-01-07,2026-07-06,6 Months,36,90.75,85.91,0.0925,Very Low,0.7535,0.8054,0.103,Gradient Boosting,0.7652,"Past Performance, Team Experience, Vendor Rating, Project Complexity, Resource Availability",No action required,Slightly Worse,0.7958,0.7848,3899,2026-01-05 04:24:47
PRED00050,VEN00925,,,Payment Prediction,2026-01-07,2026-04-07,3 Months,24,68.78,83.86,0.3195,Low,0.7303,0.822,0.4173,Ensemble Model,0.8319,"Contract Value, Seasonal Factors, Payment History, Quality Score, Resource Availability",No action required,Better than Expected,0.9259,0.7847,4761,2026-01-03 04:24:47
PRED00051,VEN00550,PROJ00398,CONT00413,Payment Prediction,2026-01-07,2027-01-07,12 Months,12,76.76,78.89,0.5941,Medium,0.8488,0.8601,0.2292,XGBoost,0.7773,"Seasonal Factors, Past Performance, Delivery Record, Project Complexity, Quality Score",Review mitigation plan,Slightly Worse,0.7253,0.9255,310,2026-01-04 04:24:47
PRED00052,VEN00155,PROJ01848,CONT01592,Schedule Forecast,2026-01-07,2026-02-06,1 Month,24,71.85,70.27,0.1042,Very Low,0.7915,0.7157,0.1165,Gradient Boosting,0.842,"Market Conditions, Project Complexity, Team Experience, Seasonal Factors, Contract Value",No action required,,,0.9737,835,2026-01-07 04:24:47
PRED00053,VEN00216,PROJ00573,CONT00024,Budget Forecast,2026-01-07,2026-04-07,3 Months,24,89.46,75.99,0.0527,Very Low,0.6358,0.8492,0.0,XGBoost,0.8363,"Technology Used, Seasonal Factors, Delivery Record, Project Complexity, Contract Value",Continue as planned,,,0.9282,2024,2025-12-31 04:24:47
PRED00054,VEN01115,PROJ00737,CONT00533,Contract Risk,2026-01-07,2026-07-06,6 Months,36,25.72,70.43,0.7428,High,0.651,0.7279,0.3501,Ensemble Model,0.7603,"Technology Used, Quality Score, Delivery Record, Past Performance, Payment History",Engage with vendor,,,0.7825,1480,2026-01-05 04:24:47
PRED00055,VEN00637,PROJ01013,CONT01240,Budget Forecast,2026-01-07,2026-04-07,3 Months,12,87.33,88.29,0.0633,Very Low,0.8979,0.7366,0.0,Logistic Regression,0.9316,"Contract Value, Project Complexity, Delivery Record, Past Performance, Quality Score",Continue as planned,,,0.8718,321,2026-01-06 04:24:47
PRED00056,VEN00662,PROJ01730,CONT01192,Compliance Risk,2026-01-07,2026-02-06,1 Month,24,55.71,81.53,0.3617,Low,0.6112,0.9297,0.2567,Neural Network,0.7605,"Quality Score, Market Conditions, Technology Used, Seasonal Factors, Delivery Record",Continue as planned,As Predicted,0.9044,0.7714,3255,2026-01-05 04:24:47
PRED00057,VEN00233,,CONT00463,Compliance Risk,2026-01-07,2026-04-07,3 Months,3,72.07,89.42,0.1414,Very Low,0.6842,0.7054,0.0866,XGBoost,0.7222,"Vendor Rating, Past Performance, Team Experience, Delivery Record, Quality Score",Continue as planned,,,0.7591,109,2026-01-05 04:24:47
PRED00058,VEN01336,PROJ01009,,Delivery Prediction,2026-01-07,2027-01-07,12 Months,36,71.98,79.75,0.3648,Low,0.6515,0.7147,0.2509,XGBoost,0.7458,"Delivery Record, Vendor Rating, Team Experience, Project Complexity, Seasonal Factors",Continue as planned,,,0.9042,1480,2026-01-02 04:24:47
PRED00059,VEN00525,,,Schedule Forecast,2026-01-07,2026-07-06,6 Months,24,35.78,76.62,0.2379,Low,0.5243,0.7134,0.1341,XGBoost,0.8084,"Payment History, Delivery Record, Seasonal Factors, Technology Used, Resource Availability",No action required,,,0.8594,4752,2026-01-05 04:24:47
PRED00060,VEN01509,PROJ01544,CONT00819,Payment Prediction,2026-01-07,2026-04-07,3 Months,24,85.38,75.91,0.4193,Medium,0.7097,0.6548,0.3877,Neural Network,0.8397,"Market Conditions, Resource Availability, Delivery Record, Past Performance, Technology Used",Review mitigation plan,As Predicted,0.9302,0.7625,1592,2026-01-06 04:24:47
PRED00061,VEN00909,PROJ00195,CONT00160,Schedule Forecast,2026-01-07,2026-07-06,6 Months,36,43.01,70.04,0.2111,Low,0.5778,0.7021,0.1946,Ensemble Model,0.8866,"Team Experience, Quality Score, Seasonal Factors, Technology Used, Payment History",Continue as planned,,,0.7692,3373,2026-01-07 04:24:47
PRED00062,VEN00186,PROJ01387,,Schedule Forecast,2026-01-07,2026-07-06,6 Months,6,78.3,86.85,0.0,Very Low,1.1607,0.6949,0.1697,Logistic Regression,0.732,"Seasonal Factors, Project Complexity, Contract Value, Quality Score, Payment History",Continue as planned,Better than Expected,0.9589,0.8021,1008,2026-01-01 04:24:47
PRED00063,VEN00194,,CONT01953,Budget Forecast,2026-01-07,2026-04-07,3 Months,3,80.55,83.08,0.0973,Very Low,0.8073,0.7303,0.0,Ensemble Model,0.8481,"Delivery Record, Resource Availability, Payment History, Past Performance, Technology Used",Continue as planned,,,0.8965,3015,2026-01-07 04:24:47
PRED00064,VEN01135,,CONT00024,Vendor Performance,2026-01-07,2026-07-06,6 Months,24,82.42,88.94,0.1758,Very Low,0.6815,0.7682,0.3309,Gradient Boosting,0.8003,"Delivery Record, Contract Value, Resource Availability, Quality Score, Project Complexity",Standard monitoring,,,0.7752,280,2026-01-05 04:24:47
PRED00065,VEN01443,,CONT01080,Payment Prediction,2026-01-07,2027-01-07,12 Months,3,52.28,77.11,0.4712,Medium,0.6065,0.7326,0.142,Gradient Boosting,0.8006,"Resource Availability, Technology Used, Team Experience, Payment History, Contract Value",Stakeholder communication,,,0.8345,750,2025-12-31 04:24:47
PRED00066,VEN00691,,,Compliance Risk,2026-01-07,2027-01-07,12 Months,12,56.86,89.67,0.258,Low,0.7394,0.9056,0.311,Ensemble Model,0.9234,"Seasonal Factors, Contract Value, Quality Score, Market Conditions, Project Complexity",Continue as planned,,,0.7744,978,2026-01-06 04:24:47
PRED00067,VEN00137,,CONT00238,Budget Forecast,2026-01-07,2026-07-06,6 Months,36,98.18,81.19,0.0091,Very Low,0.6916,0.8041,0.0091,Gradient Boosting,0.7364,"Team Experience, Project Complexity, Resource Availability, Contract Value, Seasonal Factors",No action required,,,0.8819,54,2026-01-01 04:24:47
PRED00068,VEN00824,PROJ00636,CONT00651,Vendor Performance,2026-01-07,2026-07-06,6 Months,24,80.72,65.15,0.1928,Very Low,0.689,0.9446,0.2773,Ensemble Model,0.74,"Resource Availability, Quality Score, Contract Value, Technology Used, Past Performance",Standard monitoring,,,0.8996,351,2026-01-06 04:24:47
PRED00069,VEN00213,PROJ00926,,Schedule Forecast,2026-01-07,2026-02-06,1 Month,36,51.46,81.7,0.1798,Very Low,0.6404,0.7729,0.1118,Gradient Boosting,0.9323,"Resource Availability, Seasonal Factors, Quality Score, Delivery Record, Team Experience",Standard monitoring,,,0.7646,572,2026-01-02 04:24:47
PRED00070,VEN00596,PROJ01600,CONT00118,Compliance Risk,2026-01-07,2026-04-07,3 Months,12,53.16,77.27,0.2401,Low,0.6814,0.8428,0.1921,LSTM,0.8756,"Contract Value, Technology Used, Payment History, Resource Availability, Delivery Record",Standard monitoring,,,0.9668,1233,2026-01-03 04:24:47
PRED00071,VEN01863,PROJ00299,,Vendor Performance,2026-01-07,2027-01-07,12 Months,12,46.95,67.2,0.5305,Medium,0.6277,0.9538,0.1416,Random Forest Classifier,0.7693,"Seasonal Factors, Delivery Record, Contract Value, Team Experience, Vendor Rating",Preventive action,,,0.9086,3252,2026-01-02 04:24:47
PRED00072,VEN00301,,CONT00588,Payment Prediction,2026-01-07,2026-07-06,6 Months,12,57.91,88.36,0.1493,Very Low,0.7299,0.8925,0.2948,Neural Network,0.7221,"Past Performance, Delivery Record, Payment History, Contract Value, Market Conditions",No action required,Better than Expected,0.9775,0.9635,903,2026-01-04 04:24:47
PRED00073,VEN01315,PROJ01313,CONT01813,Schedule Forecast,2026-01-07,2026-02-06,1 Month,3,16.02,79.78,0.311,Low,0.3779,0.8789,0.1182,Logistic Regression,0.8378,"Seasonal Factors, Team Experience, Delivery Record, Resource Availability, Quality Score",Continue as planned,,,0.9342,4366,2026-01-04 04:24:47
PRED00074,VEN00029,,CONT00661,Quality Prediction,2026-01-07,2026-07-06,6 Months,24,62.87,78.96,0.2191,Low,0.8106,0.7539,0.3221,LSTM,0.9084,"Resource Availability, Project Complexity, Quality Score, Technology Used, Past Performance",Continue as planned,,,0.8655,3001,2026-01-05 04:24:47
PRED00075,VEN01713,PROJ01714,,Compliance Risk,2026-01-07,2026-07-06,6 Months,3,60.67,68.09,0.3818,Low,0.7421,0.6731,0.3566,XGBoost,0.792,"Quality Score, Market Conditions, Seasonal Factors, Resource Availability, Payment History",No action required,,,0.8926,1435,2026-01-07 04:24:47
PRED00076,VEN00671,PROJ01346,CONT00067,Delivery Prediction,2026-01-07,2027-01-07,12 Months,36,56.43,69.48,0.2335,Low,0.819,0.7594,0.267,Logistic Regression,0.9282,"Technology Used, Seasonal Factors, Team Experience, Vendor Rating, Payment History",Continue as planned,,,0.8962,790,2026-01-02 04:24:47
PRED00077,VEN01766,,CONT01477,Payment Prediction,2026-01-07,2026-04-07,3 Months,24,71.54,87.62,0.4057,Medium,0.7532,0.7992,0.3522,LSTM,0.7319,"Market Conditions, Project Complexity, Contract Value, Seasonal Factors, Vendor Rating",Regular monitoring,,,0.884,4987,2026-01-05 04:24:47
PRED00078,VEN01799,PROJ01595,CONT00329,Schedule Forecast,2026-01-07,2026-04-07,3 Months,3,98.35,77.02,0.0,Very Low,1.0122,0.7846,0.2385,Ensemble Model,0.8718,"Project Complexity, Market Conditions, Delivery Record, Quality Score, Contract Value",Standard monitoring,,,0.8559,1001,2026-01-03 04:24:47
PRED00079,VEN00189,,CONT01018,Compliance Risk,2026-01-07,2026-04-07,3 Months,6,58.47,82.31,0.2163,Low,0.747,0.7212,0.416,Random Forest Classifier,0.8688,"Payment History, Vendor Rating, Past Performance, Technology Used, Team Experience",Continue as planned,,,0.8048,3991,2026-01-03 04:24:47
PRED00080,VEN00230,PROJ01041,CONT01265,Quality Prediction,2026-01-07,2026-04-07,3 Months,12,52.12,86.91,0.2646,Low,0.77,0.8357,0.3934,Neural Network,0.7698,"Team Experience, Past Performance, Seasonal Factors, Delivery Record, Market Conditions",No action required,Slightly Worse,0.7368,0.8637,1882,2026-01-01 04:24:47
PRED00081,VEN00605,PROJ00374,CONT00943,Delivery Prediction,2026-01-07,2027-01-07,12 Months,6,59.35,83.88,0.1498,Very Low,0.8883,0.8698,0.1064,XGBoost,0.7527,"Project Complexity, Delivery Record, Contract Value, Seasonal Factors, Market Conditions",Continue as planned,,,0.7617,290,2025-12-31 04:24:47
PRED00082,VEN00673,,CONT01386,Vendor Performance,2026-01-07,2026-04-07,3 Months,12,62.28,82.3,0.3772,Low,0.9341,0.9247,0.3344,LSTM,0.881,"Contract Value, Vendor Rating, Project Complexity, Team Experience, Market Conditions",Continue as planned,,,0.7891,323,2025-12-31 04:24:47
PRED00083,VEN01609,,CONT01816,Compliance Risk,2026-01-07,2026-02-06,1 Month,36,62.79,80.86,0.5169,Medium,0.6746,0.6533,0.2749,Neural Network,0.8436,"Resource Availability, Market Conditions, Project Complexity, Technology Used, Vendor Rating",Regular monitoring,,,0.9771,3525,2026-01-05 04:24:47
PRED00084,VEN00288,PROJ00111,CONT01265,Schedule Forecast,2026-01-07,2027-01-07,12 Months,3,80.61,81.24,0.0718,Very Low,0.8564,0.6701,0.2797,XGBoost,0.7864,"Technology Used, Seasonal Factors, Market Conditions, Team Experience, Project Complexity",No action required,,,0.8522,2329,2025-12-31 04:24:47
