invoice_id,vendor_id,vendor_name,contract_id,po_number,invoice_date,due_date,category,description,base_amount,gst_rate,gst_amount,total_amount,tds_rate,tds_amount,discount_amount,late_penalty,net_payable,amount_paid,invoice_status,payment_status,payment_method,payment_date,days_to_payment,days_overdue,approval_date,verified_by,rejection_reason,num_line_items,three_way_match,fraud_risk_score,fraud_flag,outstanding_amount
INV00020,VEN01747,Vendor 1747,CONT00541,PO8007,2024-08-07,2024-11-05,Retention Release,Progress billing - Month 6,17691555.7,0,0.0,17691555.7,5,884577.78,0,0.0,16806977.91,16806977.91,Paid,Paid,Bank Transfer,2024-10-31,85.0,0,2024-08-12,Project Manager,None,11,Mismatch,0.217,No,0.0
INV00021,VEN01809,Vendor 1809,CONT01416,PO1653,2025-08-07,2025-09-06,Reimbursement,Professional services - Reimbursement,2986362.94,18,537545.33,3523908.26,1,29863.63,0,140956.33,3635000.96,0.0,Submitted,Overdue,,,,123,,,None,15,Partial Match,0.1709,No,3635000.96
INV00022,VEN00211,Vendor 211,CONT00725,PO7745,2024-06-12,2024-09-10,Maintenance Charges,Progress billing - Month 1,4665937.2,5,233296.86,4899234.06,1,46659.37,0,0.0,4852574.69,0.0,Rejected,Rejected,,,,0,,,Unauthorized Work,12,,0.1604,No,4852574.69
INV00023,VEN01770,Vendor 1770,CONT01506,PO4728,2025-04-27,2025-06-26,Final Payment,Labor charges for project work,6621434.4,0,0.0,6621434.4,5,331071.72,0,397286.06,6687648.74,0.0,Under Review,Overdue,,,,195,,,None,6,Matched,0.141,No,6687648.74
INV00024,VEN00673,Vendor 673,CONT00571,PO5349,2025-10-27,2025-12-26,Material Supply,Material supply and installation,2298552.73,28,643594.76,2942147.49,2,45971.05,0,0.0,2896176.44,0.0,Submitted,Overdue,,,,12,,,None,3,Matched,0.0217,No,2896176.44
INV00025,VEN00890,Vendor 890,CONT00708,PO6409,2025-02-19,2025-05-20,Maintenance Charges,Maintenance Charges - As per contract terms,29251662.72,28,8190465.56,37442128.28,1,292516.63,0,0.0,37149611.66,37149611.66,Paid,Paid,Demand Draft,2025-05-15,85.0,0,2025-02-26,Finance Manager,None,6,Mismatch,0.4324,No,0.0
INV00026,VEN01475,Vendor 1475,CONT01844,PO3851,2025-03-05,2025-05-04,Change Order Payment,Equipment rental charges,2310801.74,12,277296.21,2588097.95,10,231080.17,0,0.0,2357017.78,0.0,Rejected,Rejected,,,,0,,,Work Not Completed,11,,0.1231,No,2357017.78
INV00027,VEN00617,Vendor 617,CONT00832,PO5649,2024-06-24,2024-07-24,Retention Release,Labor charges for project work,243449.67,28,68165.91,311615.57,10,24344.97,0,0.0,287270.61,152969.9,Partially Paid,Partially Paid,RTGS,2024-08-16,53.0,0,2024-06-27,,None,13,Mismatch,0.4566,No,134300.71
INV00028,VEN00192,Vendor 192,CONT01677,PO4185,2025-05-11,2025-07-10,Advance Payment,Equipment rental charges,7210309.43,0,0.0,7210309.43,1,72103.09,0,0.0,7138206.34,0.0,Disputed,Under Review,,,,0,,,Incorrect Amount,15,Mismatch,0.7869,Yes,7138206.34
INV00029,VEN01344,Vendor 1344,CONT01409,PO8612,2026-01-01,2026-01-31,Overtime Charges,Services rendered - Overtime Charges,1291490.07,28,361617.22,1653107.29,5,64574.5,0,0.0,1588532.78,0.0,Submitted,Processing,,,,0,,,None,8,Mismatch,0.418,No,1588532.78
INV00030,VEN00650,Vendor 650,CONT01946,PO8939,2024-10-10,2025-01-08,Reimbursement,Material supply and installation,11688704.18,5,584435.21,12273139.39,5,584435.21,0,0.0,11688704.18,0.0,Disputed,Under Review,,,,0,,,Documentation Error,13,Mismatch,0.7785,Yes,11688704.18
INV00031,VEN00481,Vendor 481,CONT00557,PO8633,2025-01-28,2025-03-29,Professional Services,Equipment rental charges,117873.8,18,21217.28,139091.08,1,1178.74,0,12518.2,150430.54,0.0,Under Review,Overdue,,,,284,,,None,7,Partial Match,0.2728,No,150430.54
INV00032,VEN00798,Vendor 798,CONT01854,PO8956,2024-05-18,2024-06-17,Reimbursement,Reimbursement - As per contract terms,13635355.2,18,2454363.94,16089719.14,0,0.0,0,0.0,16089719.14,7229212.6,Partially Paid,Partially Paid,Demand Draft,2024-07-06,49.0,0,2024-05-22,,None,8,Matched,0.0778,No,8860506.540000001
INV00033,VEN01370,Vendor 1370,CONT01391,PO3223,2024-11-18,2025-01-02,Reimbursement,Work completion for Reimbursement,1074325.09,28,300811.02,1375136.11,10,107432.51,0,165016.33,1432719.94,0.0,Submitted,Overdue,,,,370,,,None,2,Partial Match,0.1702,No,1432719.94
INV00034,VEN00671,Vendor 671,CONT00434,PO6733,2024-09-28,2024-11-27,Material Supply,Work completion for Material Supply,10686893.23,18,1923640.78,12610534.02,2,213737.86,0,1639369.42,14036165.57,0.0,Approved,Overdue,,,,406,2024-10-07,Finance Manager,None,12,Matched,0.3213,No,14036165.57
INV00035,VEN01335,Vendor 1335,CONT00083,PO7043,2025-12-06,2026-01-20,Advance Payment,Advance Payment - As per contract terms,14320034.85,5,716001.74,15036036.59,1,143200.35,0,0.0,14892836.24,0.0,Disputed,Under Review,,,,0,,,Incorrect Amount,8,Matched,0.6139,No,14892836.24
INV00036,VEN01472,Vendor 1472,CONT00235,PO4978,2025-07-23,2025-09-21,Milestone Payment,Milestone Payment - As per contract terms,4679992.26,28,1310397.83,5990390.09,5,233999.61,0,0.0,5756390.48,0.0,Cancelled,Rejected,,,,0,,,None,2,,0.0204,No,5756390.48
INV00037,VEN01583,Vendor 1583,CONT00618,PO6590,2024-02-06,2024-03-07,Overtime Charges,Professional services - Overtime Charges,82610827.71,12,9913299.33,92524127.03,10,8261082.77,0,0.0,84263044.26,0.0,Cancelled,Rejected,,,,0,,,None,2,,0.0025,No,84263044.26
INV00038,VEN00861,Vendor 861,CONT01685,PO9817,2024-08-23,2024-09-22,Labor Charges,Material supply and installation,70846808.49,18,12752425.53,83599234.02,1,708468.08,0,0.0,82890765.93,0.0,Cancelled,Rejected,,,,0,,,None,10,,0.1549,No,82890765.93
INV00039,VEN00953,Vendor 953,CONT00893,,2024-05-10,2024-07-09,Material Supply,Equipment rental charges,17460965.28,0,0.0,17460965.28,2,349219.31,0,0.0,17111745.98,0.0,Disputed,Under Review,,,,0,,,Work Not Completed,6,,0.5066,No,17111745.98
INV00040,VEN00435,Vendor 435,CONT00727,PO7658,2025-04-17,2025-06-16,Retention Release,Retention Release - As per contract terms,15517756.25,12,1862130.75,17379887.01,10,1551775.63,0,1042793.22,16870904.6,0.0,Submitted,Overdue,,,,205,,,None,2,Partial Match,0.2036,No,16870904.6
INV00041,VEN00976,Vendor 976,CONT01323,PO6632,2024-01-09,2024-04-08,Equipment Rental,Professional services - Equipment Rental,6395800.26,5,319790.01,6715590.27,5,319790.01,0,1410273.96,7806074.22,0.0,Under Review,Overdue,,,,639,,,None,8,Partial Match,0.3097,No,7806074.22
INV00042,VEN00721,Vendor 721,CONT01440,PO9595,2024-09-29,2024-11-28,Retention Release,Progress billing - Month 12,104295.15,5,5214.76,109509.91,2,2085.9,0,14236.29,121660.29,0.0,Approved,Overdue,,,,405,2024-10-03,Procurement Head,None,4,Mismatch,0.4055,No,121660.29
INV00043,VEN00466,Vendor 466,CONT00740,PO1200,2025-07-07,2025-09-05,Progress Payment,Progress billing - Month 5,1069623.32,0,0.0,1069623.32,0,0.0,0,42784.93,1112408.25,0.0,Verified,Overdue,,,,124,,Contract Administrator,None,11,Mismatch,0.4729,No,1112408.25
INV00044,VEN01978,Vendor 1978,CONT00106,PO5978,2025-04-23,2025-07-22,Milestone Payment,Progress billing - Month 3,11010611.63,0,0.0,11010611.63,10,1101061.16,0,550530.58,10460081.05,0.0,Submitted,Overdue,,,,169,,,None,13,Matched,0.2231,No,10460081.05
INV00045,VEN01566,Vendor 1566,CONT00853,PO2625,2024-04-26,2024-06-10,Overtime Charges,Work completion for Overtime Charges,2527315.09,18,454916.72,2982231.81,2,50546.3,0,0.0,2931685.51,0.0,Cancelled,Rejected,,,,0,,,None,10,,0.1895,No,2931685.51
INV00046,VEN00426,Vendor 426,CONT01282,PO5771,2025-06-04,2025-08-03,Change Order Payment,Labor charges for project work,157939.33,28,44223.01,202162.34,0,0.0,0,0.0,202162.34,0.0,Rejected,Rejected,,,,0,,,Missing Documents,12,,0.0065,No,202162.34
INV00047,VEN00591,Vendor 591,CONT01448,PO5352,2025-03-23,2025-06-21,Milestone Payment,Milestone Payment - As per contract terms,4657599.7,28,1304127.92,5961727.62,1,46576.0,0,0.0,5915151.62,0.0,Cancelled,Rejected,,,,0,,,None,11,,0.1653,No,5915151.62
INV00048,VEN00147,Vendor 147,CONT00123,PO9090,2025-07-21,2025-09-19,Maintenance Charges,Material supply and installation,3061431.72,12,367371.81,3428803.53,5,153071.59,0,102864.11,3378596.05,0.0,Approved,Overdue,,,,110,2025-07-28,Accounts Head,None,12,Partial Match,0.116,No,3378596.05
INV00049,VEN00885,Vendor 885,CONT01505,,2025-02-10,2025-04-11,Progress Payment,Material supply and installation,482860.0,28,135200.8,618060.79,10,48286.0,0,55625.47,625400.27,0.0,Submitted,Overdue,,,,271,,,None,10,,0.2697,No,625400.27
INV00050,VEN01335,Vendor 1335,CONT00906,PO7561,2025-03-28,2025-05-12,Maintenance Charges,Professional services - Maintenance Charges,4164102.25,0,0.0,4164102.25,5,208205.11,0,0.0,3955897.14,1994460.67,Partially Paid,Partially Paid,Cheque,2025-05-27,60.0,0,2025-04-05,,None,7,Mismatch,0.225,No,1961436.4700000002
INV00051,VEN00517,Vendor 517,CONT00663,PO9167,2025-09-10,2025-12-09,Reimbursement,Reimbursement - As per contract terms,4946536.47,28,1385030.21,6331566.68,5,247326.82,0,0.0,6084239.85,0.0,Cancelled,Rejected,,,,0,,,None,9,,0.1251,No,6084239.85
INV00052,VEN01557,Vendor 1557,CONT00106,PO1224,2025-06-12,2025-08-11,Professional Services,Professional Services - As per contract terms,179613.12,18,32330.36,211943.48,0,0.0,0,8477.74,220421.22,0.0,Submitted,Overdue,,,,149,,,None,12,Mismatch,0.5723,No,220421.22
INV00053,VEN00233,Vendor 233,CONT00946,PO4122,2025-09-08,2025-10-23,Equipment Rental,Labor charges for project work,9377923.4,12,1125350.81,10503274.21,5,468896.17,0,0.0,10034378.04,0.0,Disputed,Under Review,,,,0,,,Duplicate Invoice,9,Mismatch,1.0,Yes,10034378.04
INV00054,VEN01618,Vendor 1618,CONT01750,PO9903,2024-11-08,2025-01-07,Overtime Charges,Labor charges for project work,4192472.63,12,503096.72,4695569.34,2,83849.45,0,0.0,4611719.89,0.0,Disputed,Under Review,,,,0,,,Quality Issues,6,Partial Match,0.4554,No,4611719.89
INV00055,VEN00387,Vendor 387,CONT01429,PO3068,2025-05-07,2025-08-05,Advance Payment,Progress billing - Month 7,11161626.43,12,1339395.17,12501021.61,5,558081.32,0,0.0,11942940.28,0.0,Cancelled,Rejected,,,,0,,,None,8,,0.1005,No,11942940.28
INV00056,VEN01209,Vendor 1209,CONT00680,PO7512,2025-09-26,2025-12-25,Milestone Payment,Material supply and installation,2556176.34,5,127808.82,2683985.15,5,127808.82,0,0.0,2556176.34,0.0,Rejected,Rejected,,,,0,,,Incorrect Amount,6,,0.13,No,2556176.34
INV00057,VEN01745,Vendor 1745,CONT00673,PO5708,2024-02-16,2024-05-16,Material Supply,Services rendered - Material Supply,4493474.07,18,808825.33,5302299.41,10,449347.41,0,1060459.88,5913411.88,0.0,Submitted,Overdue,,,,601,,,None,4,Matched,0.2615,No,5913411.88
INV00058,VEN00202,Vendor 202,CONT01558,PO3950,2024-03-29,2024-04-28,Equipment Rental,Equipment rental charges,184759.74,0,0.0,184759.74,0,0.0,0,0.0,184759.74,128975.55,Partially Paid,Partially Paid,Letter of Credit,2024-05-11,43.0,0,2024-04-02,,None,3,Matched,0.035,No,55784.18999999999
INV00059,VEN01249,Vendor 1249,CONT01784,PO5712,2024-12-11,2025-01-25,Equipment Rental,Work completion for Equipment Rental,7146765.8,18,1286417.84,8433183.65,2,142935.32,0,0.0,8290248.33,0.0,Disputed,Under Review,,,,0,,,Documentation Error,15,Mismatch,0.8131,Yes,8290248.33
INV00060,VEN01204,Vendor 1204,CONT00613,PO5847,2024-03-23,2024-06-21,Emergency Work,Equipment rental charges,430386.77,5,21519.34,451906.1,5,21519.34,0,0.0,430386.77,0.0,Disputed,Under Review,,,,0,,,Incorrect Amount,10,Mismatch,0.8863,Yes,430386.77
INV00061,VEN00563,Vendor 563,CONT00017,PO1645,2024-06-06,2024-07-06,Maintenance Charges,Progress billing - Month 11,4247775.05,12,509733.01,4757508.05,1,42477.75,0,0.0,4715030.3,1930815.61,Partially Paid,Partially Paid,IMPS,2024-07-13,37.0,0,2024-06-08,,None,11,Partial Match,0.1577,No,2784214.6899999995
INV00062,VEN00069,Vendor 69,CONT01187,PO5465,2024-12-29,2025-02-12,Milestone Payment,Professional services - Milestone Payment,9900786.89,18,1782141.64,11682928.53,1,99007.87,0,1168292.85,12752213.51,0.0,Under Review,Overdue,,,,329,,,None,9,Matched,0.2906,No,12752213.51
INV00063,VEN00987,Vendor 987,CONT01982,PO1228,2025-03-10,2025-05-09,Overtime Charges,Professional services - Overtime Charges,483301.98,5,24165.1,507467.08,1,4833.02,0,0.0,502634.06,0.0,Cancelled,Rejected,,,,0,,,None,2,,0.0529,No,502634.06
INV00064,VEN00254,Vendor 254,CONT00932,PO6374,2024-12-25,2025-02-23,Maintenance Charges,Work completion for Maintenance Charges,3373471.71,12,404816.6,3778288.31,0,0.0,0,377828.83,4156117.14,0.0,Under Review,Overdue,,,,318,,,None,10,Mismatch,0.5154,No,4156117.14
INV00065,VEN01863,Vendor 1863,CONT01436,PO7078,2025-03-03,2025-06-01,Milestone Payment,Milestone Payment - As per contract terms,475817.69,12,57098.12,532915.81,5,23790.88,0,37304.11,546429.03,0.0,Approved,Overdue,,,,220,2025-03-12,Project Manager,None,15,Mismatch,0.6676,No,546429.03
INV00066,VEN01203,Vendor 1203,CONT01521,PO4868,2025-08-01,2025-10-30,Change Order Payment,Professional services - Change Order Payment,270206.17,18,48637.11,318843.28,2,5404.12,0,6376.87,319816.02,0.0,Submitted,Overdue,,,,69,,,None,4,Partial Match,0.0199,No,319816.02
INV00067,VEN01405,Vendor 1405,CONT00753,,2024-06-28,2024-08-27,Progress Payment,Progress Payment - As per contract terms,1354138.53,0,0.0,1354138.53,5,67706.93,0,216662.16,1503093.77,0.0,Approved,Overdue,,,,498,2024-07-08,Finance Manager,None,11,,0.3311,No,1503093.77
INV00068,VEN01612,Vendor 1612,CONT01157,PO2801,2025-06-10,2025-07-10,Reimbursement,Progress billing - Month 3,8107360.56,5,405368.03,8512728.58,1,81073.61,0,0.0,8431654.98,5794100.83,Partially Paid,Partially Paid,IMPS,2025-07-05,25.0,0,2025-06-15,,None,9,Mismatch,0.3997,No,2637554.1500000004
INV00069,VEN00734,Vendor 734,CONT01618,PO2786,2025-05-08,2025-07-07,Progress Payment,Services rendered - Progress Payment,73579.56,18,13244.32,86823.88,10,7357.96,0,5209.43,84675.36,0.0,Approved,Overdue,,,,184,2025-05-16,Accounts Head,None,8,Partial Match,0.3395,No,84675.36
INV00070,VEN00089,Vendor 89,CONT01490,PO8267,2024-03-03,2024-05-02,Equipment Rental,Services rendered - Equipment Rental,640177.88,18,115232.02,755409.9,5,32008.89,0,0.0,723401.0,0.0,Cancelled,Rejected,,,,0,,,None,8,,0.0147,No,723401.0
INV00071,VEN00166,Vendor 166,CONT00660,PO4522,2024-04-24,2024-06-08,Milestone Payment,Equipment rental charges,330942.87,28,92664.0,423606.88,10,33094.29,0,0.0,390512.59,191527.76,Partially Paid,Partially Paid,IMPS,2024-07-06,73.0,0,2024-04-26,,None,2,Partial Match,0.0903,No,198984.83000000002
INV00072,VEN00468,Vendor 468,CONT00848,,2025-01-24,2025-04-24,Labor Charges,Labor charges for project work,927886.28,18,167019.53,1094905.81,2,18557.73,0,0.0,1076348.08,1076348.08,Paid,Paid,NEFT,2025-05-31,127.0,0,2025-01-26,Finance Manager,None,2,,0.0193,No,0.0
INV00073,VEN01514,Vendor 1514,CONT00764,PO4485,2025-08-26,2025-09-25,Maintenance Charges,Material supply and installation,64934670.53,0,0.0,64934670.53,5,3246733.53,0,0.0,61687937.0,45451899.37,Partially Paid,Partially Paid,Bank Transfer,2025-10-17,52.0,0,2025-08-28,,None,6,Matched,0.1313,No,16236037.630000003
INV00074,VEN00460,Vendor 460,CONT01736,PO5381,2025-09-18,2025-11-17,Reimbursement,Work completion for Reimbursement,1016983.91,12,122038.07,1139021.98,10,101698.39,0,11390.22,1048713.81,0.0,Under Review,Overdue,,,,51,,,None,10,Matched,0.0361,No,1048713.81
INV00075,VEN01440,Vendor 1440,CONT01562,PO8432,2025-02-24,2025-04-25,Material Supply,Work completion for Material Supply,441438.22,28,123602.7,565040.92,5,22071.91,0,45203.27,588172.28,0.0,Approved,Overdue,,,,257,2025-03-05,Project Manager,None,2,Partial Match,0.1781,No,588172.28
INV00076,VEN00665,Vendor 665,CONT01591,PO2864,2024-06-04,2024-07-04,Progress Payment,Labor charges for project work,389496.15,0,0.0,389496.15,0,0.0,0,0.0,389496.15,389496.15,Paid,Paid,Demand Draft,2024-08-19,76.0,0,2024-06-09,Project Manager,None,7,Partial Match,0.086,No,0.0
INV00077,VEN00581,Vendor 581,CONT01389,PO3248,2024-02-12,2024-05-12,Professional Services,Professional Services - As per contract terms,704378.13,18,126788.06,831166.2,10,70437.81,0,166233.24,926961.62,0.0,Submitted,Overdue,,,,605,,,None,5,Partial Match,0.1529,No,926961.62
INV00078,VEN01019,Vendor 1019,CONT01530,PO8033,2024-10-23,2024-12-07,Final Payment,Labor charges for project work,3666520.69,28,1026625.79,4693146.48,10,366652.07,0,0.0,4326494.41,1453865.44,Partially Paid,Partially Paid,Demand Draft,2024-12-04,42.0,0,2024-10-25,,None,15,Mismatch,0.4089,No,2872628.97
INV00079,VEN00593,Vendor 593,CONT00236,PO2288,2024-11-18,2024-12-18,Material Supply,Services rendered - Material Supply,476426.44,18,85756.76,562183.2,2,9528.53,0,67461.98,620116.65,0.0,Approved,Overdue,,,,385,2024-11-25,Site Engineer,None,4,Partial Match,0.3362,No,620116.65
INV00080,VEN00454,Vendor 454,CONT00683,PO3504,2025-07-18,2025-08-17,Professional Services,Progress billing - Month 2,2887721.69,5,144386.08,3032107.78,2,57754.43,0,0.0,2974353.34,1974047.24,Partially Paid,Partially Paid,RTGS,2025-08-21,34.0,0,2025-07-22,,None,5,Mismatch,0.4053,No,1000306.0999999999
INV00081,VEN01287,Vendor 1287,CONT01012,PO6766,2024-09-18,2024-12-17,Change Order Payment,Material supply and installation,13467376.75,28,3770865.49,17238242.24,2,269347.54,0,0.0,16968894.71,6371458.54,Partially Paid,Partially Paid,UPI,2024-12-16,89.0,0,2024-09-23,,None,13,Mismatch,0.3072,No,10597436.170000002
INV00082,VEN00078,Vendor 78,CONT00117,PO1672,2024-12-25,2025-02-23,Milestone Payment,Labor charges for project work,4898158.4,0,0.0,4898158.4,10,489815.84,0,489815.84,4898158.4,0.0,Verified,Overdue,,,,318,,Site Engineer,None,10,Partial Match,0.3052,No,4898158.4
INV00083,VEN00386,Vendor 386,CONT00659,PO8199,2024-04-27,2024-07-26,Professional Services,Progress billing - Month 9,77843.17,0,0.0,77843.17,2,1556.86,0,13233.34,89519.64,0.0,Approved,Overdue,,,,530,2024-05-01,Procurement Head,None,1,Mismatch,0.495,No,89519.64
INV00084,VEN00580,Vendor 580,CONT00794,PO3317,2024-11-14,2025-01-13,Change Order Payment,Progress billing - Month 5,4051521.19,12,486182.54,4537703.74,0,0.0,0,0.0,4537703.74,1575731.12,Partially Paid,Partially Paid,IMPS,2025-02-01,79.0,0,2024-11-16,,None,6,Partial Match,0.062,No,2961972.62
INV00085,VEN01344,Vendor 1344,CONT01431,PO9624,2024-02-28,2024-05-28,Final Payment,Professional services - Final Payment,4721009.9,12,566521.19,5287531.09,10,472100.99,0,0.0,4815430.1,0.0,Cancelled,Rejected,,,,0,,,None,14,,0.0187,No,4815430.1
INV00086,VEN01374,Vendor 1374,CONT00868,,2024-08-04,2024-10-03,Progress Payment,Progress billing - Month 4,1311183.15,5,65559.16,1376742.31,2,26223.66,0,0.0,1350518.65,0.0,Disputed,Under Review,,,,0,,,Work Not Completed,3,,0.4891,No,1350518.65
INV00087,VEN01579,Vendor 1579,CONT01106,PO3712,2024-07-16,2024-08-15,Change Order Payment,Progress billing - Month 3,394838.42,5,19741.92,414580.34,10,39483.84,0,0.0,375096.5,0.0,Cancelled,Rejected,,,,0,,,None,3,,0.1442,No,375096.5
INV00088,VEN00090,Vendor 90,CONT00842,PO4178,2024-12-29,2025-02-12,Equipment Rental,Material supply and installation,3885760.24,18,699436.84,4585197.09,1,38857.6,0,458519.71,5004859.19,0.0,Verified,Overdue,,,,329,,Contract Administrator,None,13,Partial Match,0.2819,No,5004859.19
INV00089,VEN00903,Vendor 903,CONT00946,PO2680,2025-03-24,2025-06-22,Professional Services,Labor charges for project work,4848206.69,5,242410.33,5090617.02,10,484820.67,0,0.0,4605796.35,0.0,Rejected,Rejected,,,,0,,,Documentation Error,14,,0.1423,No,4605796.35
INV00090,VEN01057,Vendor 1057,CONT01744,PO6727,2025-09-01,2025-10-31,Milestone Payment,Milestone Payment - As per contract terms,9091869.49,28,2545723.46,11637592.95,1,90918.69,0,0.0,11546674.26,0.0,Cancelled,Rejected,,,,0,,,None,14,,0.1861,No,11546674.26
INV00091,VEN00850,Vendor 850,CONT00110,PO3273,2024-11-27,2025-01-26,Advance Payment,Work completion for Advance Payment,867224.47,5,43361.22,910585.69,0,0.0,0,0.0,910585.69,696974.08,Partially Paid,Partially Paid,NEFT,2025-02-11,76.0,0,2024-12-05,,None,5,Mismatch,0.4169,No,213611.61
