rfq_id,vendor_id,vendor_name,item_category,item_description,quantity,unit,rfq_date,submission_deadline,response_date,is_late_submission,quoted_price_per_unit,total_quoted_amount,gst_rate,gst_amount,total_with_gst,delivery_timeline_days,delivery_terms,payment_terms,warranty_months,technical_score,commercial_score,overall_score,response_status,rejection_reason,compliance_status,evaluation_date,award_date,rank,num_competitors,anomaly_score,is_anomaly,validity_days,contact_person,notes,market_avg_price,price_deviation_pct
RFQ00012,VEN00230,Vendor 230,Sand,Sand - Grade B,9771,Cubic Meter,2024-10-23,2024-11-03,2024-10-29,False,10515.94,102751279.16,0,0.0,102751279.16,18,FCA,Progress Payment,48,98.69,62.48,84.21,Accepted,None,Fully Compliant,2024-11-03,,3.0,8,0.4763,No,30,Business Development Head,Meets all specifications,5310.355,98.02706222088733
RFQ00013,VEN01603,Vendor 1603,Air Conditioners,Air Conditioners - Grade B,3872,Ton,2024-09-12,2024-09-26,2024-09-20,False,4196.35,16248269.64,5,812413.48,17060683.13,114,FCA,"Advance 20%, Balance 80%",6,98.34,48.37,78.36,Negotiation,None,Fully Compliant,2024-09-28,,,20,0.3662,No,30,Sales Manager,Premium quality offered,5131.325000000001,-18.22092734332751
RFQ00014,VEN00366,Vendor 366,Gypsum Boards,Gypsum Boards - Grade C,805,Units,2024-08-01,2024-08-11,2024-08-11,False,1719.7,1384357.39,18,249184.33,1633541.72,46,FCA,LC at Sight,6,97.44,98.81,97.99,Shortlisted,None,Fully Compliant,2024-08-23,,2.0,12,0.1521,No,90,Director,Premium quality offered,3335.015,-48.43501453516701
RFQ00015,VEN01136,Vendor 1136,Reinforcement Steel,Reinforcement Steel - Grade B,6425,Bags,2024-11-17,2024-12-11,2024-11-27,False,3005.0,19307151.01,28,5406002.28,24713153.3,149,Ex-Factory,Against Delivery,18,75.56,75.87,75.69,Accepted,None,Partially Compliant,2024-12-10,,3.0,5,0.0851,No,120,Director,,5155.35,-41.71103804785321
RFQ00016,VEN01950,Vendor 1950,Pumps,Pumps - Grade B,258,MT,2025-11-20,2025-12-04,2025-12-14,True,7483.52,1930748.16,18,347534.67,2278282.83,179,Ex-Factory,LC at Sight,18,57.38,95.31,72.55,Under Evaluation,None,Non-Compliant,2025-12-29,,,6,0.2335,No,45,Business Development Head,Delivery timeline tight,6998.595,6.928890727353135
RFQ00017,VEN00952,Vendor 952,Bricks,Bricks - Grade Standard,8806,Bundles,2024-10-10,2024-11-05,2024-10-27,False,5244.79,46185580.93,18,8313404.57,54498985.5,150,DAP,Net 90 days,24,88.29,55.64,75.23,Negotiation,None,Fully Compliant,2024-11-02,,,17,0.5155,No,45,Director,Delivery timeline tight,4654.68,12.677778064227823
RFQ00018,VEN00166,Vendor 166,Reinforcement Steel,Reinforcement Steel - Grade B,39,Units,2024-11-15,2024-12-02,2024-11-29,False,847.65,33058.33,18,5950.5,39008.83,92,Ex-Factory,Net 30 days,36,64.93,51.7,59.64,Under Evaluation,None,Partially Compliant,2024-12-14,,,16,0.4076,No,120,Regional Manager,Price negotiable,5155.35,-83.55785737146849
RFQ00019,VEN00450,Vendor 450,PVC Pipes,PVC Pipes - Grade Premium,114,Sets,2025-08-29,2025-09-24,2025-09-11,False,6646.3,757678.17,0,0.0,757678.17,43,FOB,"Advance 20%, Balance 80%",48,66.37,53.64,61.28,Under Evaluation,None,Partially Compliant,2025-09-19,,,11,0.2256,No,90,Director,Price negotiable,4354.67,52.6246535328739
RFQ00020,VEN00040,Vendor 40,Concrete Mixers,Concrete Mixers - Grade Standard,16,MT,2025-04-28,2025-05-11,2025-05-08,False,1448.51,23176.2,0,0.0,23176.2,66,FCA,Net 60 days,6,88.89,77.46,84.32,Shortlisted,None,Fully Compliant,2025-05-19,,1.0,12,0.1727,No,90,Senior Manager,Established vendor,4676.25,-69.02411120021384
RFQ00021,VEN00156,Vendor 156,Gypsum Boards,Gypsum Boards - Grade B,23,Ton,2025-01-16,2025-02-09,2025-01-28,False,868.0,19963.92,0,0.0,19963.92,103,FCA,Against Delivery,60,85.37,53.06,72.45,Under Evaluation,None,Fully Compliant,2025-02-09,,,11,0.1848,No,120,Senior Manager,Additional clarifications needed,3335.015,-73.97313055563468
RFQ00022,VEN00550,Vendor 550,Switches,Switches - Grade B,2846,Feet,2025-01-27,2025-02-03,2025-01-30,False,1776.41,5055667.67,12,606680.12,5662347.79,88,Door Delivery,Net 30 days,18,54.28,85.8,66.89,Negotiation,None,Non-Compliant,2025-02-13,,,10,0.2072,No,90,Senior Manager,Fast delivery timeline,5302.28,-66.4972426955951
RFQ00023,VEN00603,Vendor 603,Glass,Glass - Grade Premium,656,Loads,2025-01-19,2025-02-08,2025-02-17,True,3817.42,2504225.04,12,300507.01,2804732.05,38,FCA,Net 45 days,12,59.58,62.16,60.61,Rejected,Late Submission,Non-Compliant,,,,19,0.179,No,30,Business Development Head,,5730.715,-33.3866716456847
RFQ00024,VEN00740,Vendor 740,Tiles,Tiles - Grade C,11,Ton,2025-03-13,2025-04-11,2025-04-19,True,82.21,904.33,12,108.52,1012.85,45,FOB,"Advance 20%, Balance 80%",60,55.7,85.98,67.81,Rejected,Late Submission,Non-Compliant,,,,4,0.0455,No,120,Director,,260.9,-68.48984285166732
RFQ00025,VEN00509,Vendor 509,Structural Steel,Structural Steel - Grade Standard,6848,Feet,2024-10-02,2024-10-23,2024-10-21,False,9625.58,65915963.48,28,18456469.78,84372433.26,49,DDP,"Advance 20%, Balance 80%",6,57.85,77.61,65.75,Under Evaluation,None,Non-Compliant,2024-10-23,,,16,0.1352,No,120,Senior Manager,,5883.03,63.61602779520078
RFQ00026,VEN00475,Vendor 475,Electrical Cables,Electrical Cables - Grade C,536,Liters,2024-10-28,2024-11-07,2024-10-31,False,10736.0,5754493.61,0,0.0,5754493.61,85,Ex-Factory,Net 45 days,60,84.43,60.99,75.06,Accepted,None,Fully Compliant,2024-11-10,,9.0,18,0.3876,No,120,Sales Manager,Meets all specifications,5397.135,98.92035311327213
RFQ00027,VEN01237,Vendor 1237,Copper Pipes,Copper Pipes - Grade A,9712,MT,2025-04-06,2025-05-01,2025-05-01,False,1940.02,18841497.89,18,3391469.62,22232967.51,145,CIF,Bank Guarantee,36,70.42,66.42,68.82,Under Evaluation,None,Partially Compliant,2025-05-05,,,13,0.1235,No,90,Director,Partial compliance issues,7467.32,-74.01986254774135
RFQ00028,VEN01667,Vendor 1667,Pumps,Pumps - Grade Standard,545,Quintal,2024-11-19,2024-12-12,2024-11-20,False,7054.01,3844436.24,18,691998.52,4536434.77,136,Ex-Factory,Net 30 days,18,63.35,62.62,63.06,Under Evaluation,None,Partially Compliant,2024-12-03,,,18,0.0364,No,120,Business Development Head,Premium quality offered,6998.595,0.7918017830721732
RFQ00029,VEN01129,Vendor 1129,Cement,Cement - Grade Standard,4446,Quintal,2025-08-02,2025-08-24,2025-08-29,True,4094.04,18202108.8,18,3276379.58,21478488.39,37,Delivered to Site,Net 90 days,12,93.2,79.14,87.58,Under Evaluation,None,Fully Compliant,2025-09-06,,,13,0.2803,No,120,Director,Premium quality offered,3749.62,9.18546412703154
RFQ00030,VEN01487,Vendor 1487,Wiring,Wiring - Grade Standard,4544,Loads,2025-01-18,2025-02-04,2025-01-31,False,4509.81,20492592.99,5,1024629.65,21517222.64,37,Delivered to Site,Net 30 days,36,87.24,85.58,86.57,Shortlisted,None,Fully Compliant,2025-02-08,,3.0,18,0.2894,No,45,Regional Manager,Meets all specifications,4583.610000000001,-1.6100846276188456
RFQ00031,VEN01782,Vendor 1782,TMT Bars,TMT Bars - Grade Premium,369,Units,2025-08-01,2025-08-10,2025-08-06,False,3350.89,1236477.67,0,0.0,1236477.67,158,FCA,Against Delivery,60,93.62,41.08,72.6,Shortlisted,None,Fully Compliant,2025-08-18,,5.0,10,0.224,No,90,Sales Manager,Fast delivery timeline,3136.985,6.8188085056192405
RFQ00032,VEN00909,Vendor 909,Paint,Paint - Grade C,666,Meters,2024-12-19,2025-01-08,2025-01-05,False,264.31,176033.44,5,8801.67,184835.11,168,DDP,Bank Guarantee,12,61.61,59.14,60.62,Negotiation,None,Partially Compliant,2025-01-17,,,3,0.2697,No,90,Director,Good technical compliance,264.31,0.0
RFQ00033,VEN00152,Vendor 152,Elevators,Elevators - Grade C,827,Sets,2025-03-03,2025-03-16,2025-03-24,True,982434.35,812473211.24,12,97496785.35,909969996.59,25,Delivered to Site,"Advance 20%, Balance 80%",0,78.3,73.72,76.46,Under Evaluation,None,Partially Compliant,2025-03-26,,,18,0.2499,No,60,Business Development Head,Meets all specifications,3174096.675,-69.04837972523316
RFQ00034,VEN00449,Vendor 449,LED Lights,LED Lights - Grade B,89,Ton,2025-02-24,2025-03-17,2025-03-08,False,6512.81,579640.32,12,69556.84,649197.16,53,Ex-Works,Progress Payment,36,76.54,98.7,85.41,Shortlisted,None,Partially Compliant,2025-03-14,,8.0,12,0.224,No,60,Sales Manager,Fast delivery timeline,4739.14,37.425988681490736
RFQ00035,VEN00289,Vendor 289,Pumps,Pumps - Grade B,845,Kg,2024-11-28,2024-12-05,2024-11-29,False,5150.67,4352315.84,12,522277.9,4874593.74,86,CIF,Against Delivery,18,73.57,58.59,67.58,Shortlisted,None,Partially Compliant,2024-12-06,,10.0,10,0.1943,No,90,Account Manager,Partial compliance issues,6998.595,-26.40422827724708
RFQ00036,VEN00239,Vendor 239,Reinforcement Steel,Reinforcement Steel - Grade A,255,Cubic Meter,2024-12-05,2024-12-26,2024-12-23,False,4873.62,1242772.44,5,62138.62,1304911.06,152,DAP,Net 30 days,36,60.86,53.34,57.85,Rejected,Insufficient Experience,Partially Compliant,,,,6,0.2943,No,60,Regional Manager,Meets all specifications,5155.35,-5.464808402921246
RFQ00037,VEN00125,Vendor 125,HVAC Units,HVAC Units - Grade C,34,Liters,2025-12-16,2025-12-24,2025-12-20,False,5765360.29,196022249.88,5,9801112.49,205823362.38,56,DDP,Net 90 days,36,88.72,63.66,78.69,Negotiation,None,Fully Compliant,2025-12-26,,,7,0.4975,No,120,Director,Fast delivery timeline,3493273.02,65.04178908982041
RFQ00038,VEN01354,Vendor 1354,Steel Bars,Steel Bars - Grade B,6949,Bundles,2025-12-21,2026-01-02,2025-12-24,False,6401.9,44486817.15,0,0.0,44486817.15,22,Ex-Factory,Progress Payment,18,97.27,60.87,82.71,Under Evaluation,None,Fully Compliant,2026-01-08,,,19,0.0905,No,30,Sales Manager,Partial compliance issues,4073.785,57.148695868829606
RFQ00039,VEN00874,Vendor 874,Scaffolding,Scaffolding - Grade A,72,Bundles,2025-08-08,2025-08-17,2025-08-17,False,7167.2,516038.4,28,144490.75,660529.15,154,CIF,Cash on Delivery,6,92.64,73.02,84.79,Under Evaluation,None,Fully Compliant,2025-08-30,,,9,0.129,No,45,Senior Manager,Price negotiable,5843.41,22.65440898379542
RFQ00040,VEN00817,Vendor 817,Air Conditioners,Air Conditioners - Grade A,660,Cubic Meter,2024-09-08,2024-09-17,2024-09-10,False,909.04,599969.45,12,71996.33,671965.78,61,CIF,LC at Sight,36,93.68,99.12,95.86,Accepted,None,Fully Compliant,2024-09-23,,1.0,12,0.1801,No,60,Sales Manager,Established vendor,5131.325000000001,-82.2844976687308
RFQ00041,VEN00317,Vendor 317,Safety Equipment,Safety Equipment - Grade Premium,679,Quintal,2025-03-27,2025-04-21,2025-04-10,False,10497.59,7127863.06,28,1995801.66,9123664.71,26,DAP,Net 30 days,12,63.66,62.87,63.35,Shortlisted,None,Partially Compliant,2025-04-17,,1.0,8,0.674,No,30,Business Development Head,Competitive pricing,4829.53,117.36255908960086
RFQ00042,VEN00188,Vendor 188,Concrete Mixers,Concrete Mixers - Grade Standard,292,Meters,2025-02-21,2025-03-23,2025-03-12,False,7223.17,2109165.17,5,105458.26,2214623.43,12,DAP,Bank Guarantee,48,74.28,53.26,65.87,Under Evaluation,None,Partially Compliant,2025-03-26,,,19,0.5228,No,30,Director,Additional clarifications needed,4676.25,54.46500935578722
RFQ00043,VEN00997,Vendor 997,Windows,Windows - Grade C,15,Liters,2025-03-04,2025-03-17,2025-03-17,False,2580.33,38705.02,0,0.0,38705.02,53,Delivered to Site,Progress Payment,18,75.01,87.5,80.01,Under Evaluation,None,Partially Compliant,2025-03-20,,,15,0.2585,No,30,Senior Manager,,4248.57,-39.26591770878201
RFQ00044,VEN01887,Vendor 1887,Sand,Sand - Grade C,793,Quintal,2024-11-18,2024-11-25,2024-11-28,True,8814.31,6989746.33,12,838769.56,7828515.89,43,Delivered to Site,30-60-90 days,48,76.2,67.92,72.89,Rejected,Late Submission,Partially Compliant,,,,13,0.0665,No,45,Sales Manager,Fast delivery timeline,5310.355,65.98344178496541
RFQ00045,VEN01087,Vendor 1087,Doors,Doors - Grade B,279,Quintal,2025-08-10,2025-08-25,2025-08-20,False,1861.33,519310.84,0,0.0,519310.84,170,Ex-Factory,30-60-90 days,60,84.06,66.46,77.02,Negotiation,None,Fully Compliant,2025-08-31,,,13,0.4728,No,60,Business Development Head,Price negotiable,4952.02,-62.41271238807599
RFQ00046,VEN00906,Vendor 906,LED Lights,LED Lights - Grade C,45,Bags,2024-09-21,2024-10-12,2024-10-03,False,7339.51,330278.01,0,0.0,330278.01,139,Door Delivery,Cash on Delivery,0,72.49,97.15,82.35,Under Evaluation,None,Partially Compliant,2024-10-10,,,18,0.1504,No,30,Senior Manager,,4739.14,54.87008191359614
RFQ00047,VEN01842,Vendor 1842,MCBs,MCBs - Grade A,1160,Sets,2024-07-19,2024-08-11,2024-07-31,False,3651.56,4235804.73,18,762444.85,4998249.58,79,CIF,"Advance 30%, Balance 70%",6,77.9,80.8,79.06,Shortlisted,None,Partially Compliant,2024-08-15,,10.0,7,0.1,No,120,Account Manager,,3775.88,-3.2924775151752748
RFQ00048,VEN00717,Vendor 717,Wiring,Wiring - Grade Premium,862,Feet,2025-02-04,2025-02-15,2025-02-15,False,8104.66,6986217.74,18,1257519.19,8243736.94,60,Ex-Works,Net 90 days,36,97.38,92.29,95.35,Awarded,None,Fully Compliant,2025-02-19,2025-03-16,2.0,12,0.2533,No,30,Regional Manager,Delivery timeline tight,4583.610000000001,76.8182720606683
RFQ00049,VEN00078,Vendor 78,Safety Equipment,Safety Equipment - Grade C,167,Square Meter,2025-07-21,2025-08-20,2025-08-04,False,4217.46,704315.11,18,126776.72,831091.83,39,Door Delivery,Net 90 days,24,98.28,63.53,84.38,Accepted,None,Fully Compliant,2025-08-09,,6.0,17,0.1385,No,60,Senior Manager,Partial compliance issues,4829.53,-12.673489966932594
RFQ00050,VEN01979,Vendor 1979,Paint,Paint - Grade B,2024,Meters,2025-09-23,2025-10-22,2025-10-21,False,93.75,189748.13,5,9487.41,199235.54,44,Delivered to Site,Net 45 days,18,90.84,98.27,93.81,Negotiation,None,Fully Compliant,2025-10-29,,,4,0.1189,No,60,Business Development Head,Fast delivery timeline,264.31,-64.53028640611403
RFQ00051,VEN00768,Vendor 768,Glass,Glass - Grade A,150,Cubic Meter,2025-11-28,2025-12-14,2025-12-22,True,6330.57,949585.79,18,170925.44,1120511.23,21,DAP,Net 90 days,12,77.44,85.91,80.83,Rejected,Late Submission,Partially Compliant,,,,6,0.2329,No,45,Director,,5730.715,10.467367509987838
RFQ00052,VEN00489,Vendor 489,Air Conditioners,Air Conditioners - Grade Standard,9094,MT,2024-07-28,2024-08-22,2024-08-02,False,2537.92,23079850.97,12,2769582.12,25849433.09,14,Door Delivery,"Advance 30%, Balance 70%",6,97.67,93.16,95.87,Shortlisted,None,Fully Compliant,2024-08-12,,9.0,3,0.1171,No,90,Sales Manager,Meets all specifications,5131.325000000001,-50.540649832158365
RFQ00053,VEN00520,Vendor 520,Concrete Mixers,Concrete Mixers - Grade A,5849,Bundles,2025-08-23,2025-08-31,2025-08-29,False,7501.73,43877615.46,18,7897970.78,51775586.25,45,CIF,Cash on Delivery,60,51.85,78.02,62.32,Rejected,Non-Compliant,Non-Compliant,,,,13,0.28,No,120,Senior Manager,Delivery timeline tight,4676.25,60.42191927292166
RFQ00054,VEN00970,Vendor 970,Copper Pipes,Copper Pipes - Grade A,646,Nos,2025-09-01,2025-09-19,2025-09-14,False,9009.08,5819868.25,18,1047576.29,6867444.54,178,FCA,Progress Payment,24,90.06,61.81,78.76,Shortlisted,None,Fully Compliant,2025-09-25,,3.0,20,0.5588,Yes,30,Director,Premium quality offered,7467.32,20.646764836648227
RFQ00055,VEN00914,Vendor 914,False Ceiling,False Ceiling - Grade Premium,31,Meters,2024-10-18,2024-11-02,2024-10-31,False,8346.3,258735.27,18,46572.35,305307.62,46,FOB,Net 60 days,60,51.74,86.01,65.45,Rejected,Technical Issues,Non-Compliant,,,,14,0.1149,No,120,Sales Manager,Price negotiable,5538.555,50.69454036296469
RFQ00056,VEN01944,Vendor 1944,Generators,Generators - Grade C,6127,Meters,2024-11-25,2024-12-12,2024-12-03,False,4148974.38,25420766016.61,5,1271038300.83,26691804317.44,22,DAP,"Advance 20%, Balance 80%",60,60.73,94.18,74.11,Under Evaluation,None,Partially Compliant,2024-12-12,,,9,0.0368,No,30,Senior Manager,,3172694.88,30.7713012730679
RFQ00057,VEN01461,Vendor 1461,Elevators,Elevators - Grade A,5531,Bags,2025-03-05,2025-03-17,2025-03-17,False,3933994.23,21758922066.62,28,6092498178.65,27851420245.28,33,Ex-Factory,Net 30 days,36,77.7,51.07,67.05,Rejected,Delivery Timeline,Partially Compliant,,,,7,0.4224,No,30,Sales Manager,Price negotiable,3174096.675,23.940592641211854
RFQ00058,VEN01077,Vendor 1077,Air Conditioners,Air Conditioners - Grade Premium,83,Sets,2024-09-16,2024-10-14,2024-09-21,False,10217.0,848011.22,28,237443.14,1085454.36,106,Door Delivery,Net 30 days,6,75.91,49.12,65.19,Under Evaluation,None,Partially Compliant,2024-10-04,,,10,0.3692,No,120,Director,Premium quality offered,5131.325000000001,99.11036623094422
RFQ00059,VEN00403,Vendor 403,LED Lights,LED Lights - Grade Standard,45,Truckloads,2025-07-18,2025-08-12,2025-08-15,True,1974.0,88830.04,28,24872.41,113702.45,17,FOB,Net 45 days,0,97.43,75.42,88.62,Rejected,Late Submission,Fully Compliant,,,,9,0.2301,No,90,Regional Manager,Price negotiable,4739.14,-58.34687306135713
RFQ00060,VEN01821,Vendor 1821,LED Lights,LED Lights - Grade Standard,428,Feet,2025-03-08,2025-03-29,2025-03-10,False,1692.05,724197.59,18,130355.57,854553.16,79,FCA,Cash on Delivery,36,98.77,62.62,84.31,Negotiation,None,Fully Compliant,2025-03-20,,,6,0.0957,No,90,Sales Manager,,4739.14,-64.29626472313542
RFQ00061,VEN00508,Vendor 508,Mild Steel,Mild Steel - Grade A,248,Square Meter,2025-02-05,2025-03-02,2025-02-12,False,8032.34,1992019.29,28,557765.4,2549784.69,129,FOB,Net 45 days,48,75.27,79.33,76.9,Shortlisted,None,Partially Compliant,2025-02-19,,1.0,4,0.0844,No,120,Account Manager,Premium quality offered,4329.535,85.52431150227451
RFQ00062,VEN01100,Vendor 1100,Cement,Cement - Grade A,2083,Meters,2025-11-21,2025-12-10,2025-12-09,False,2013.36,4193828.37,0,0.0,4193828.37,74,CIF,Net 60 days,6,69.7,75.9,72.18,Shortlisted,None,Partially Compliant,2025-12-16,,3.0,9,0.1807,No,90,Regional Manager,,3749.62,-46.30495890250212
RFQ00063,VEN00080,Vendor 80,Reinforcement Steel,Reinforcement Steel - Grade C,9966,Cubic Meter,2025-02-05,2025-03-03,2025-02-18,False,11350.83,113122416.88,12,13574690.03,126697106.9,155,DAP,Bank Guarantee,0,68.42,60.21,65.14,Shortlisted,None,Partially Compliant,2025-03-01,,5.0,3,0.1791,No,60,Account Manager,Additional clarifications needed,5155.35,120.17573976548633
RFQ00064,VEN01183,Vendor 1183,Glass,Glass - Grade A,345,Pieces,2025-12-05,2025-12-30,2026-01-01,True,2041.3,704248.13,18,126764.66,831012.79,116,Door Delivery,30-60-90 days,60,93.64,74.72,86.07,Rejected,Late Submission,Fully Compliant,,,,7,0.1556,No,120,Director,Price negotiable,5730.715,-64.3796629216424
RFQ00065,VEN01077,Vendor 1077,Solar Panels,Solar Panels - Grade C,7804,Meters,2025-04-11,2025-05-07,2025-04-19,False,68072.36,531236701.16,12,63748404.14,594985105.3,178,FCA,Bank Guarantee,36,78.02,89.02,82.42,Under Evaluation,None,Partially Compliant,2025-04-25,,,6,0.172,No,120,Senior Manager,Partial compliance issues,91700.94,-25.76699868071145
RFQ00066,VEN01677,Vendor 1677,Transformers,Transformers - Grade B,647,Sets,2025-04-19,2025-05-19,2025-04-26,False,162008.58,104819549.93,28,29349473.98,134169023.91,38,DDP,Net 30 days,18,81.9,75.79,79.45,Negotiation,None,Fully Compliant,2025-05-09,,,18,0.0302,No,45,Sales Manager,Good technical compliance,132760.91999999998,22.0303233813083
RFQ00067,VEN00834,Vendor 834,Street Lights,Street Lights - Grade Premium,602,Bags,2025-11-07,2025-11-16,2025-11-11,False,6149.66,3702097.9,0,0.0,3702097.9,12,Delivered to Site,Bank Guarantee,12,96.83,68.86,85.64,Negotiation,None,Fully Compliant,2025-11-13,,,3,0.0895,No,120,Sales Manager,Meets all specifications,5569.405000000001,10.418617428612196
RFQ00068,VEN00583,Vendor 583,Escalators,Escalators - Grade Standard,6099,Sets,2025-04-02,2025-04-15,2025-04-08,False,1272551.19,7761289718.74,12,931354766.25,8692644484.99,60,DDP,Net 60 days,48,91.35,70.31,82.93,Shortlisted,None,Fully Compliant,2025-04-20,,2.0,8,0.2945,No,90,Director,Competitive pricing,2867885.52,-55.62754576061321
RFQ00069,VEN00535,Vendor 535,Solar Panels,Solar Panels - Grade B,636,MT,2025-04-14,2025-05-11,2025-04-22,False,27979.64,17795048.24,12,2135405.79,19930454.03,81,CIF,Against Delivery,24,68.38,88.31,76.35,Accepted,None,Partially Compliant,2025-05-01,,3.0,17,0.2243,No,120,Director,Delivery timeline tight,91700.94,-69.48816446156385
RFQ00070,VEN01870,Vendor 1870,Plumbing Fixtures,Plumbing Fixtures - Grade Standard,95,Truckloads,2024-10-06,2024-10-29,2024-10-09,False,8215.68,780489.35,28,218537.02,999026.36,36,Ex-Works,"Advance 30%, Balance 70%",60,55.81,88.08,68.72,Negotiation,None,Non-Compliant,2024-10-12,,,19,0.1336,No,30,Senior Manager,,6904.08,18.99746237007683
RFQ00071,VEN00851,Vendor 851,Escalators,Escalators - Grade Standard,17,Feet,2025-04-21,2025-04-28,2025-04-26,False,844773.77,14361154.06,0,0.0,14361154.06,98,FOB,"Advance 20%, Balance 80%",48,59.0,62.71,60.48,Negotiation,None,Non-Compliant,2025-05-09,,,16,0.1123,No,90,Senior Manager,Partial compliance issues,2867885.52,-70.5436718408481
RFQ00072,VEN00770,Vendor 770,Aggregates,Aggregates - Grade Standard,434,Feet,2025-08-29,2025-09-28,2025-09-29,True,9417.45,4087173.68,18,735691.26,4822864.94,144,DDP,Net 90 days,60,67.31,48.27,59.69,Withdrawn,None,Partially Compliant,,,,6,0.5064,No,120,Sales Manager,,4608.13,104.36597925839767
