project_id,project_name,project_type,location,client_name,contract_id,project_start_date,planned_end_date,actual_end_date,planned_duration_months,actual_duration_months,delay_months,project_status,current_phase,progress_pct,planned_budget,actual_cost,remaining_budget,budget_utilization_pct,team_size,num_vendors,num_purchase_orders,num_contracts,num_change_orders,total_milestones,achieved_milestones,open_issues,resolved_issues,risk_level,risk_score,quality_score,safety_score,stakeholder_satisfaction,resource_utilization_pct,schedule_performance_index,cost_performance_index,env_compliance_score,project_manager,sponsor,last_updated,notes,milestone_completion_pct,schedule_variance,cost_variance_pct
PROJ00011,Port Development - Bangalore Phase 3,Port Development,"Kolkata, West Bengal",Client Infrastructure Ltd,CONT01149,2025-12-18,2027-01-12,,13,,,Planning,Pre-Construction,9.45,383203142.41,34599628.47,348603513.94,9.03,114,42,332,3,0,13,1,14,36,Low,0.1637,69.25,96.46,77.86,74.15,0.99,1.125,99.22,Suresh Patel,Regional Head,2026-01-05,Awaiting approvals,7.69,-1.0,12.5
PROJ00012,Bridge Construction - Indore Phase 1,Bridge Construction,"Visakhapatnam, Andhra Pradesh",Client Developers,,2024-02-26,2028-04-05,,50,,,On Hold,Foundation,38.0,1972860637.63,810369455.65,1162491181.98,41.08,140,19,152,8,3,18,6,12,52,High,0.5916,83.86,72.97,30.95,74.05,0.977,1.086,95.31,Anita Desai,Director - Projects,2026-01-02,On track,33.33,-2.3,8.6
PROJ00013,Infrastructure - Visakhapatnam Phase 2,Infrastructure,"Bangalore, Karnataka",Client Infrastructure Ltd,CONT00544,2025-10-20,2026-11-14,,13,,,Mobilization,Foundation,24.57,1251796821.28,315794226.22,936002595.06,25.23,118,41,147,5,10,20,4,10,56,Very Low,0.4544,60.05,97.4,68.85,84.93,1.016,0.975,97.0,Neha Gupta,Director - Projects,2026-01-03,,20.0,1.6,-2.5
PROJ00014,Shopping Mall - Pune Phase 2,Shopping Mall,"Nagpur, Maharashtra",Client Group,CONT00393,2023-08-29,2025-12-16,2026-03-27,28,31.4,3.4,Completed,Handover,97.48,2327338259.41,2696061467.53,-368723208.12,115.84,97,23,157,7,30,26,25,0,94,Critical,0.7395,83.26,72.48,78.93,86.55,0.974,0.723,98.56,Rajesh Sharma,CEO,2026-01-04,,96.15,-2.6,-27.7
PROJ00015,Power Plant - Hyderabad Phase 1,Power Plant,"Bangalore, Karnataka",Client Pvt Ltd,,2023-05-09,2024-12-29,2025-04-07,20,23.3,3.3,Closed,Handover,98.29,22279031032.67,23391049114.62,-1112018081.95,104.99,351,46,402,1,19,24,23,0,81,High,0.8335,76.57,93.14,87.84,65.33,0.943,0.833,86.77,Suresh Patel,Director - Projects,2026-01-02,Vendor performance issues,95.83,-5.7,-16.7
PROJ00016,IT Park - Kochi Phase 3,IT Park,"Visakhapatnam, Andhra Pradesh",Client Infrastructure Ltd,CONT01858,2023-07-08,2024-08-31,,14,,,Delayed,Handover,91.75,1695739486.9,1542784379.76,152955107.14,90.98,153,36,370,4,22,22,20,1,27,Critical,0.732,81.41,73.21,43.43,87.76,0.812,0.963,82.23,Priya Singh,VP - Infrastructure,2025-12-31,Quality issues resolved,90.91,-18.8,-3.7
PROJ00017,Commercial Complex - Hyderabad Phase 2,Commercial Complex,"Ahmedabad, Gujarat",Client Infrastructure Ltd,CONT00041,2023-11-19,2025-06-11,2025-10-12,19,23.1,4.1,Completed,Handover,89.48,1687884474.52,1830603785.77,-142719311.26,108.46,159,43,162,8,30,29,25,0,31,High,0.6819,84.57,78.61,86.75,81.36,1.031,0.848,89.89,Arun Mehta,VP - Infrastructure,2026-01-06,,86.21,3.1,-15.2
PROJ00018,Shopping Mall - Bangalore Phase 2,Shopping Mall,"Bangalore, Karnataka",Client Pvt Ltd,CONT00671,2024-10-30,2026-11-19,,25,,,Delayed,Structural Work,52.84,3884044206.0,2205690079.63,1678354126.37,56.79,84,10,290,1,25,10,5,4,13,High,0.9,70.5,87.76,61.25,84.85,0.672,1.045,73.43,Suresh Patel,VP - Infrastructure,2026-01-04,Vendor performance issues,50.0,-32.8,4.5
PROJ00019,Data Center - Chennai Phase 2,Data Center,"Bangalore, Karnataka",Client Infrastructure Ltd,CONT01532,2025-05-17,2027-04-07,,23,,,Delayed,Foundation,47.36,1194013783.98,614238976.21,579774807.78,51.44,116,30,416,4,4,11,5,15,86,High,0.7776,84.92,73.5,57.89,73.89,0.729,1.024,85.18,Rajesh Sharma,General Manager,2026-01-02,On track,45.45,-27.1,2.4
PROJ00020,Shopping Mall - Kochi Phase 2,Shopping Mall,Delhi NCR,Client Developers,CONT01302,2023-06-10,2025-10-27,,29,,,Near Completion,Testing & Commissioning,91.76,3427058363.08,3278010293.4,149048069.68,95.65,157,35,288,7,13,29,26,7,41,Medium,0.3962,69.67,73.59,82.71,86.73,0.934,1.049,79.75,Arun Mehta,General Manager,2025-12-31,Awaiting approvals,89.66,-6.6,4.9
PROJ00021,Wind Farm - Indore Phase 2,Wind Farm,"Pune, Maharashtra",Client Group,CONT01437,2024-06-20,2026-02-10,,20,,,Near Completion,Handover,99.48,1468141861.8,1494527292.37,-26385430.58,101.8,81,49,293,8,14,27,26,10,84,Critical,0.8379,62.79,72.76,74.21,81.24,0.956,0.886,79.92,Vikram Reddy,Managing Director,2025-12-31,Resource shortage,96.3,-4.4,-11.4
PROJ00022,Power Plant - Chennai Phase 1,Power Plant,Delhi NCR,Client Corporation,CONT01522,2024-12-23,2026-12-13,,24,,,In Progress,Structural Work,38.29,39209355291.79,15608598790.21,23600756501.58,39.81,302,17,201,4,0,25,9,14,47,Low,0.1897,60.42,83.69,59.6,64.1,0.853,1.007,84.36,Priya Singh,Regional Head,2026-01-02,Budget constraints,36.0,-14.7,0.7
PROJ00023,Commercial Complex - Chennai Phase 2,Commercial Complex,Delhi NCR,Client Pvt Ltd,CONT00152,2025-09-19,2026-11-13,,14,,,In Progress,Foundation,11.7,1160338765.77,137489103.53,1022849662.24,11.85,172,44,165,9,4,13,1,17,89,Low,0.3253,73.28,95.11,84.65,97.9,0.902,0.992,89.81,Amit Kumar,General Manager,2026-01-05,Awaiting approvals,7.69,-9.8,-0.8
PROJ00024,Bridge Construction - Surat Phase 1,Bridge Construction,"Bangalore, Karnataka",Client Pvt Ltd,CONT01412,2023-05-20,2026-10-31,,42,,,In Progress,Structural Work,68.64,8736460582.06,5761161935.25,2975298646.81,65.94,79,21,453,10,9,15,10,7,28,Medium,0.502,65.93,69.02,57.87,91.71,0.999,1.115,97.64,Rajesh Sharma,Director - Projects,2025-12-31,Minor delays expected,66.67,-0.1,11.5
PROJ00025,Office Tower - Nagpur Phase 2,Office Tower,"Nagpur, Maharashtra",Client Developers,CONT01025,2023-04-01,2025-04-20,2025-05-25,25,26.2,1.2,Completed,Warranty,85.6,1626655560.85,1582462129.81,44193431.04,97.28,192,41,350,1,21,28,23,0,66,Medium,0.5107,87.29,91.71,67.01,77.44,1.013,1.144,84.1,Anita Desai,VP - Infrastructure,2026-01-01,Weather delays,82.14,1.3,14.4
PROJ00026,Solar Farm - Lucknow Phase 1,Solar Farm,"Kochi, Kerala",Client Corporation,CONT01421,2023-03-29,2024-07-21,,16,,,Delayed,Handover,97.2,964169226.34,934560947.15,29608279.19,96.93,102,12,445,7,16,16,15,9,73,High,0.7973,76.28,79.46,37.5,70.68,0.639,1.008,96.43,Arun Mehta,Director - Projects,2025-12-31,Minor delays expected,93.75,-36.1,0.8
PROJ00027,Residential Building - Lucknow Phase 3,Residential Building,"Indore, Madhya Pradesh",Client Corporation,CONT00637,2025-12-09,2027-08-01,,20,,,Cancelled,Pre-Construction,45.65,976750998.94,431415844.06,545335154.88,44.17,59,36,416,5,3,16,7,12,80,Critical,0.9018,68.2,94.22,84.31,96.87,0.977,1.126,95.92,Priya Singh,Managing Director,2026-01-03,Quality issues resolved,43.75,-2.3,12.6
PROJ00028,Solar Farm - Visakhapatnam Phase 3,Solar Farm,"Chennai, Tamil Nadu",Client Pvt Ltd,CONT00612,2023-04-10,2024-06-03,2024-08-17,14,16.5,2.5,Closed,Warranty,92.27,816699103.01,966329047.98,-149629944.97,118.32,68,49,172,10,27,11,10,0,59,Critical,0.6701,93.27,66.53,89.79,65.05,1.043,0.783,73.01,Priya Singh,Managing Director,2025-12-31,Minor delays expected,90.91,4.3,-21.7
PROJ00029,Hospital - Visakhapatnam Phase 2,Hospital,"Mumbai, Maharashtra",Client Corporation,CONT01341,2025-02-24,2026-09-17,,19,,,Delayed,Structural Work,40.16,3424264936.61,1482009029.54,1942255907.07,43.28,192,39,244,6,4,30,12,8,21,Critical,0.8617,61.08,67.39,55.25,88.16,0.63,0.983,78.98,Neha Gupta,Director - Projects,2026-01-07,On track,40.0,-37.0,-1.7
PROJ00030,Solar Farm - Indore Phase 1,Solar Farm,"Chennai, Tamil Nadu",Client Group,CONT00299,2024-08-24,2026-04-16,,20,,,Delayed,Finishing Work,80.45,432631774.62,362487971.19,70143803.43,83.79,117,44,399,4,13,27,21,11,11,Critical,0.8738,64.29,81.14,40.16,66.32,0.733,1.019,87.63,Arun Mehta,CEO,2026-01-01,Resource shortage,77.78,-26.7,1.9
PROJ00031,Office Tower - Kochi Phase 2,Office Tower,"Hyderabad, Telangana",Client Developers,CONT00219,2024-09-08,2026-08-29,,24,,,Cancelled,MEP Installation,14.76,4900750180.6,758681873.78,4142068306.82,15.48,90,5,339,1,3,16,2,17,55,Critical,0.9821,82.36,94.15,81.6,84.84,1.019,1.094,89.78,Suresh Patel,Regional Head,2026-01-05,,12.5,1.9,9.4
PROJ00032,Infrastructure - Visakhapatnam Phase 3,Infrastructure,"Lucknow, Uttar Pradesh",Client Pvt Ltd,CONT00903,2025-10-30,2027-07-22,,21,,,Mobilization,Pre-Construction,11.8,1520213643.38,175181626.77,1345032016.61,11.52,53,39,498,6,7,12,1,12,53,Medium,0.3509,68.18,70.76,81.99,65.63,1.092,1.122,91.73,Rajesh Sharma,Managing Director,2026-01-01,Stakeholder concerns,8.33,9.2,12.2
PROJ00033,Wind Farm - Delhi NCR Phase 2,Wind Farm,"Mumbai, Maharashtra",Client Group,CONT00932,2023-12-14,2025-10-04,,22,,,Delayed,Warranty,88.93,1313243608.82,1174580942.58,138662666.24,89.44,192,19,291,1,27,14,12,5,93,Critical,0.8746,66.64,67.21,62.95,61.81,0.611,1.149,73.48,Neha Gupta,Director - Projects,2026-01-04,Stakeholder concerns,85.71,-38.9,14.9
PROJ00034,Highway Construction - Ahmedabad Phase 2,Highway Construction,"Pune, Maharashtra",Client Infrastructure Ltd,CONT01521,2025-02-24,2029-04-04,,50,,,In Progress,Foundation,22.31,3517661260.77,826922364.95,2690738895.83,23.51,211,33,277,4,5,13,2,7,60,Low,0.1497,80.57,84.06,84.22,97.96,1.056,0.968,76.36,Anita Desai,VP - Infrastructure,2026-01-07,On track,15.38,5.6,-3.2
PROJ00035,Solar Farm - Hyderabad Phase 1,Solar Farm,"Indore, Madhya Pradesh",Client Infrastructure Ltd,CONT01700,2024-11-08,2026-07-31,,21,,,In Progress,Structural Work,69.86,1811008967.7,1202395130.25,608613837.45,66.39,57,13,326,5,30,15,10,6,85,Very Low,0.155,85.99,69.61,62.54,70.61,0.882,1.034,73.41,Vikram Reddy,Director - Projects,2026-01-06,Vendor performance issues,66.67,-11.8,3.4
PROJ00036,Office Tower - Indore Phase 2,Office Tower,"Surat, Gujarat",Client Infrastructure Ltd,,2023-03-12,2024-12-01,,21,,,Delayed,Testing & Commissioning,95.91,3465063831.56,3307491998.75,157571832.8,95.45,184,6,81,8,7,14,13,5,87,Critical,0.7279,63.24,89.93,47.74,71.0,0.79,1.06,79.76,Priya Singh,Director - Projects,2026-01-03,Vendor performance issues,92.86,-21.0,6.0
PROJ00037,Hospital - Jaipur Phase 2,Hospital,Delhi NCR,Client Pvt Ltd,CONT01334,2024-10-23,2026-10-13,,24,,,Delayed,Structural Work,72.41,2294285829.16,1760149826.71,534136002.45,76.72,100,32,210,5,7,21,15,3,65,Critical,0.8861,80.6,81.6,33.65,92.47,0.767,1.067,86.85,Rajesh Sharma,Regional Head,2026-01-02,,71.43,-23.3,6.7
PROJ00038,Infrastructure - Ahmedabad Phase 2,Infrastructure,"Kochi, Kerala",Client Developers,CONT01477,2025-09-23,2027-01-16,,16,,,Mobilization,Foundation,12.07,393987334.13,48624183.75,345363150.38,12.34,47,27,482,9,8,18,2,17,88,Low,0.1574,68.36,72.92,65.02,61.16,0.918,1.102,97.65,Amit Kumar,General Manager,2026-01-02,On track,11.11,-8.2,10.2
PROJ00039,Bridge Construction - Kochi Phase 1,Bridge Construction,"Jaipur, Rajasthan",Client Developers,,2025-11-05,2028-03-24,,29,,,Design,Pre-Construction,3.76,2416683482.61,90618409.71,2326065072.89,3.75,103,41,355,2,7,24,0,19,64,Very Low,0.1778,82.63,66.74,52.86,76.57,0.904,1.052,80.36,Arun Mehta,General Manager,2026-01-06,Resource shortage,0.0,-9.6,5.2
PROJ00040,Manufacturing Unit - Lucknow Phase 3,Manufacturing Unit,"Kolkata, West Bengal",Client Infrastructure Ltd,CONT00094,2024-10-12,2026-04-05,,18,,,Near Completion,Structural Work,60.23,501344560.52,293080727.89,208263832.63,58.46,85,23,217,2,12,22,13,11,81,Very Low,0.3487,72.92,69.52,68.64,94.47,0.861,0.954,97.63,Vikram Reddy,Director - Projects,2026-01-02,Environmental clearance pending,59.09,-13.9,-4.6
PROJ00041,Shopping Mall - Jaipur Phase 2,Shopping Mall,"Nagpur, Maharashtra",Client Developers,CONT00830,2025-11-25,2027-10-16,,23,,,Design,Pre-Construction,8.01,4244116608.82,370006681.67,3874109927.15,8.72,42,32,482,2,5,26,2,12,52,Very Low,0.3178,72.01,67.75,80.47,85.33,0.983,0.989,93.29,Priya Singh,Director - Projects,2026-01-02,,7.69,-1.7,-1.1
PROJ00042,Highway Construction - Hyderabad Phase 1,Highway Construction,"Bangalore, Karnataka",Client Group,,2025-02-27,2027-06-17,,28,,,In Progress,Structural Work,43.92,6215212807.36,2872039021.2,3343173786.16,46.21,389,46,375,10,7,11,4,15,48,Low,0.5321,78.82,70.28,52.39,74.08,0.869,1.042,71.13,Anita Desai,General Manager,2026-01-02,Resource shortage,36.36,-13.1,4.2
PROJ00043,Industrial Facility - Lucknow Phase 1,Industrial Facility,"Jaipur, Rajasthan",Client Infrastructure Ltd,CONT00948,2025-10-14,2028-05-31,,32,,,Design,Pre-Construction,3.22,2357749690.26,72721142.3,2285028547.96,3.08,152,26,415,2,8,21,0,17,88,Medium,0.4231,61.17,89.77,84.68,96.72,0.947,1.105,90.37,Priya Singh,CEO,2026-01-07,,0.0,-5.3,10.5
PROJ00044,Warehouse - Pune Phase 1,Warehouse,"Pune, Maharashtra",Client Pvt Ltd,CONT00792,2024-06-04,2025-09-27,,16,,,Delayed,Warranty,99.47,385709321.75,369157941.72,16551380.02,95.71,189,14,229,5,25,23,22,5,26,Critical,0.6387,81.27,67.97,52.36,80.34,0.605,1.012,98.54,Rajesh Sharma,Regional Head,2026-01-02,Vendor performance issues,95.65,-39.5,1.2
PROJ00045,Metro Rail - Hyderabad Phase 1,Metro Rail,"Bangalore, Karnataka",Client Pvt Ltd,CONT01615,2025-06-13,2030-01-18,,56,,,In Progress,Foundation,27.53,31876089848.22,8539094400.56,23336995447.66,26.79,385,49,444,10,7,27,7,16,46,Very Low,0.4606,61.31,77.75,75.19,69.57,1.091,1.107,97.12,Arun Mehta,VP - Infrastructure,2026-01-04,Weather delays,25.93,9.1,10.7
PROJ00046,Manufacturing Unit - Jaipur Phase 2,Manufacturing Unit,"Kolkata, West Bengal",Client Group,CONT01030,2023-01-22,2024-07-15,2024-07-28,18,18.4,0.4,Completed,Testing & Commissioning,97.02,1318240168.79,1540402177.65,-222162008.86,116.85,161,11,414,9,9,21,20,0,21,High,0.6855,92.89,74.55,96.21,97.22,0.933,0.799,81.22,Suresh Patel,Managing Director,2026-01-01,Minor delays expected,95.24,-6.7,-20.1
PROJ00047,Wind Farm - Hyderabad Phase 1,Wind Farm,"Pune, Maharashtra",Client Pvt Ltd,CONT01332,2024-02-20,2026-02-09,,24,,,Near Completion,Finishing Work,90.38,997664372.79,969047598.89,28616773.9,97.13,200,35,279,10,28,19,17,9,77,Very Low,0.5529,60.57,72.55,55.23,69.51,0.88,0.998,89.17,Neha Gupta,Director - Projects,2025-12-31,Minor delays expected,89.47,-12.0,-0.2
PROJ00048,Infrastructure - Kochi Phase 2,Infrastructure,"Jaipur, Rajasthan",Client Infrastructure Ltd,,2023-02-16,2024-11-07,2025-01-30,21,23.8,2.8,Completed,Warranty,87.15,557072053.73,587232992.49,-30160938.76,105.41,190,47,93,9,22,30,26,0,59,Critical,0.6203,85.78,82.76,99.53,75.48,0.925,0.887,80.71,Arun Mehta,Director - Projects,2026-01-06,Weather delays,86.67,-7.5,-11.3
PROJ00049,Airport Development - Nagpur Phase 3,Airport Development,"Lucknow, Uttar Pradesh",Client Pvt Ltd,CONT01506,2024-02-26,2026-10-13,,32,,,In Progress,MEP Installation,76.38,12879010717.33,10494858121.82,2384152595.51,81.49,675,49,295,3,6,26,19,5,15,Very Low,0.1316,83.29,81.02,60.27,75.93,1.054,1.045,71.1,Vikram Reddy,CEO,2026-01-04,Resource shortage,73.08,5.4,4.5
PROJ00050,Wind Farm - Kochi Phase 1,Wind Farm,"Kochi, Kerala",Client Group,CONT01638,2023-12-15,2025-06-07,,18,,,Cancelled,Warranty,16.95,454952713.42,81272816.91,373679896.51,17.86,114,38,186,2,8,20,3,12,51,Critical,0.9454,62.37,86.09,78.78,86.44,0.927,1.071,82.78,Rajesh Sharma,Director - Projects,2025-12-31,Weather delays,15.0,-7.3,7.1
PROJ00051,Office Tower - Mumbai Phase 3,Office Tower,"Kochi, Kerala",Client Group,CONT00891,2024-06-23,2026-10-11,,28,,,In Progress,Structural Work,80.14,2808887087.59,2391563997.16,417323090.43,85.14,60,6,123,10,16,14,11,6,59,Medium,0.4907,61.04,67.35,77.25,87.16,1.087,1.024,92.89,Amit Kumar,General Manager,2026-01-05,Stakeholder concerns,78.57,8.7,2.4
PROJ00052,Wind Farm - Ahmedabad Phase 2,Wind Farm,"Lucknow, Uttar Pradesh",Client Group,CONT00233,2025-11-14,2027-10-05,,23,,,Design,Pre-Construction,4.99,1167178150.44,57622123.12,1109556027.32,4.94,86,50,278,4,1,20,0,16,32,Medium,0.2428,87.49,82.19,54.29,86.71,1.027,1.06,78.71,Arun Mehta,Director - Projects,2026-01-03,Budget constraints,0.0,2.7,6.0
PROJ00053,Data Center - Nagpur Phase 3,Data Center,"Lucknow, Uttar Pradesh",Client Corporation,CONT01042,2024-10-04,2026-06-26,,21,,,In Progress,Structural Work,67.1,785703396.44,546119899.88,239583496.56,69.51,139,40,116,10,18,20,13,9,83,Very Low,0.1329,71.94,90.09,66.75,85.69,0.962,1.086,80.34,Rajesh Sharma,VP - Infrastructure,2026-01-05,Budget constraints,65.0,-3.8,8.6
PROJ00054,Shopping Mall - Surat Phase 1,Shopping Mall,"Kochi, Kerala",Client Pvt Ltd,CONT00623,2025-02-03,2026-09-26,,20,,,Delayed,Foundation,40.38,4527166625.7,1968664038.76,2558502586.94,43.49,84,17,375,9,2,29,11,14,84,Critical,0.6376,69.08,83.67,50.1,88.83,0.782,1.119,86.91,Priya Singh,VP - Infrastructure,2026-01-07,Minor delays expected,37.93,-21.8,11.9
PROJ00055,Commercial Complex - Lucknow Phase 3,Commercial Complex,"Chennai, Tamil Nadu",Client Corporation,CONT00854,2025-11-05,2027-05-29,,19,,,Mobilization,Foundation,19.66,1401482598.27,274032380.06,1127450218.21,19.55,38,49,80,3,5,26,5,13,61,Low,0.3078,73.93,76.91,55.03,82.47,0.93,1.043,78.02,Priya Singh,CEO,2026-01-04,Budget constraints,19.23,-7.0,4.3
PROJ00056,Infrastructure - Mumbai Phase 2,Infrastructure,"Ahmedabad, Gujarat",Client Infrastructure Ltd,CONT01972,2025-02-13,2026-07-08,,17,,,Near Completion,Finishing Work,69.38,1046704529.91,745978242.26,300726287.65,71.27,147,24,304,1,16,29,20,3,16,Very Low,0.5726,75.16,98.83,57.53,95.29,1.014,1.044,86.1,Anita Desai,Managing Director,2026-01-06,Quality issues resolved,68.97,1.4,4.4
PROJ00057,Highway Construction - Visakhapatnam Phase 2,Highway Construction,"Nagpur, Maharashtra",Client Group,CONT00750,2025-10-06,2029-10-15,,49,,,Planning,Pre-Construction,5.7,5979006339.59,327684006.07,5651322333.52,5.48,358,33,441,9,1,21,1,15,57,Low,0.5127,78.7,86.39,54.5,90.2,0.9,1.052,85.0,Vikram Reddy,General Manager,2026-01-07,On track,4.76,-10.0,5.2
PROJ00058,Highway Construction - Nagpur Phase 2,Highway Construction,"Indore, Madhya Pradesh",Client Developers,CONT00306,2023-02-16,2025-10-03,2026-02-09,32,36.3,4.3,Closed,Warranty,89.78,8583417346.28,9428293105.98,-844875759.7,109.84,359,37,322,8,18,25,22,0,49,Critical,0.7425,70.5,76.59,64.38,70.62,0.981,0.943,87.35,Amit Kumar,General Manager,2026-01-04,On track,88.0,-1.9,-5.7
PROJ00059,Sports Complex - Kolkata Phase 1,Sports Complex,"Surat, Gujarat",Client Infrastructure Ltd,CONT00779,2025-03-10,2026-12-30,,22,,,In Progress,Foundation,47.18,462490222.87,221714535.43,240775687.44,47.94,127,14,261,4,0,20,9,7,76,Low,0.3509,78.34,81.51,79.69,99.92,0.97,1.025,98.7,Suresh Patel,General Manager,2025-12-31,Stakeholder concerns,45.0,-3.0,2.5
PROJ00060,Solar Farm - Surat Phase 2,Solar Farm,"Lucknow, Uttar Pradesh",Client Group,CONT00394,2024-08-20,2025-12-13,,16,,,Cancelled,Finishing Work,38.56,1439311779.99,584691512.5,854620267.49,40.62,145,25,295,6,9,21,8,16,79,Critical,0.9121,88.03,90.26,60.07,98.18,1.051,1.008,78.63,Neha Gupta,Managing Director,2026-01-06,Weather delays,38.1,5.1,0.8
PROJ00061,Office Tower - Lucknow Phase 2,Office Tower,"Nagpur, Maharashtra",Client Developers,CONT01696,2024-06-30,2026-08-19,,26,,,Near Completion,MEP Installation,64.12,3140737243.57,1986333350.72,1154403892.85,63.24,191,38,165,4,9,30,19,3,80,Very Low,0.1501,69.91,81.53,73.84,97.4,1.07,1.045,75.98,Priya Singh,Managing Director,2026-01-03,Weather delays,63.33,7.0,4.5
PROJ00062,Power Plant - Lucknow Phase 1,Power Plant,"Visakhapatnam, Andhra Pradesh",Client Pvt Ltd,CONT00476,2025-10-22,2027-09-12,,23,,,Mobilization,Pre-Construction,28.68,42629143915.06,13059077293.69,29570066621.37,30.63,390,23,498,1,7,26,7,17,79,Very Low,0.2492,78.08,97.5,61.73,78.72,0.898,0.973,74.87,Arun Mehta,VP - Infrastructure,2025-12-31,,26.92,-10.2,-2.7
