contract_id,vendor_id,vendor_name,contract_type,project_name,project_type,contract_value_lakhs,duration_months,start_date,planned_end_date,actual_end_date,status,percentage_complete,delivery_status,quality_rating,payment_terms,amount_paid_rs,retention_money_rs,penalty_amount_rs,penalty_reason,num_change_orders,change_order_value_lakhs,compliance_status,risk_level,signed_date,last_inspection_date,total_value_lakhs
CONT00022,VEN01896,Vendor 1896,Consultancy,Bus Terminal - Phase 2,Bus Terminal,41484.73,50,2025-10-19,2029-11-27,,In Progress,10.06,Ahead of Schedule,Average,Progress Payment,84723071.43,8472307.14,0.0,None,4,8565.45,Compliant,Low,2025-09-21,2025-11-13,50050.18000000001
CONT00023,VEN01787,Vendor 1787,Construction,Bus Terminal - Phase 4,Bus Terminal,83.49,10,2023-12-23,2024-10-18,,Terminated,67.44,Not Started,Below Average,Net 90 days,5610791.13,0.0,0.0,None,0,0.0,Compliant,Medium,2023-11-30,,83.49
CONT00024,VEN01981,Vendor 1981,Maintenance,Solar Farm - Phase 5,Solar Farm,983.03,23,2024-01-30,2025-12-20,,Active,94.92,At Risk,Poor,Net 60 days,87597863.34,8759786.33,0.0,None,8,28.31,Compliant,Medium,2023-12-02,2025-11-21,1011.3399999999999
CONT00025,VEN00894,Vendor 894,Unit Rate,Office Tower - Phase 1,Office Tower,618.93,14,2025-09-09,2026-11-03,,Awarded,10.12,Not Started,Below Average,Letter of Credit,2011407.39,0.0,0.0,None,5,117.3,Compliant,Medium,2025-07-01,,736.2299999999999
CONT00026,VEN00144,Vendor 144,Time & Material,Power Plant - Phase 5,Power Plant,863.21,15,2023-02-04,2024-04-29,,Terminated,56.68,Not Started,Good,As per milestones,46376979.94,0.0,0.0,None,0,0.0,Compliant,Low,2022-12-03,,863.21
CONT00027,VEN01388,Vendor 1388,Cost Plus,Metro Rail - Phase 5,Metro Rail,465.47,6,2024-03-26,2024-09-22,,Terminated,24.71,Not Started,Average,Bank Guarantee,8455560.48,0.0,0.0,None,2,56.65,Compliant,Low,2024-01-11,,522.12
CONT00028,VEN01626,Vendor 1626,Cost Plus,Metro Rail - Phase 1,Metro Rail,69.75,12,2024-01-22,2025-01-16,2025-07-14,Completed,100.0,Critical Delay,Poor,Net 90 days,6505430.77,348734.23,589535.43,Quality issues,0,0.0,Compliant,High,2023-11-08,2025-10-14,69.75
CONT00029,VEN01741,Vendor 1741,Supply,School - Phase 4,School,3302.68,34,2023-10-14,2026-07-30,,Signed,37.98,Not Started,Excellent,As per milestones,125238595.03,0.0,0.0,None,3,650.99,Compliant,Low,2023-08-06,,3953.67
CONT00030,VEN00449,Vendor 449,Service,Smart City - Phase 5,Smart City,601.67,9,2023-05-19,2024-02-13,,In Progress,95.0,Delayed,Average,Letter of Credit,53575565.92,5357556.59,1222361.59,Non-compliance,3,81.89,Minor Issues,Medium,2023-02-23,2025-11-04,683.56
CONT00031,VEN01838,Vendor 1838,Service,IT Park - Phase 4,IT Park,776.6,14,2023-03-22,2024-05-15,,On Hold,29.22,Not Started,Excellent,"Advance 10%, Balance on completion",20872565.3,0.0,0.0,None,1,175.04,Compliant,Low,2023-02-16,,951.64
CONT00032,VEN00474,Vendor 474,Design & Build,Refinery - Phase 2,Refinery,1256.92,25,2024-01-31,2026-02-19,,In Execution,93.59,At Risk,Excellent,Progress Payment,112733225.9,11273322.59,0.0,None,3,298.64,Compliant,Low,2023-11-04,2025-11-13,1555.56
CONT00033,VEN00977,Vendor 977,Construction,Solar Farm - Phase 3,Solar Farm,4413.79,25,2024-09-13,2026-10-03,,Signed,25.36,Not Started,Good,Net 30 days,94768269.51,0.0,0.0,None,3,898.53,Minor Issues,Low,2024-07-01,,5312.32
CONT00034,VEN01884,Vendor 1884,Service,Warehouse - Phase 5,Warehouse,45.46,12,2025-10-14,2026-10-09,2027-02-20,Completed,100.0,Critical Delay,Good,Milestone Based,4463564.98,227309.12,228801.67,Safety violations,1,4.33,Minor Issues,Medium,2025-08-12,2025-11-26,49.79
CONT00035,VEN01541,Vendor 1541,Design & Build,Water Treatment Plant - Phase 1,Water Treatment Plant,774.12,7,2023-12-23,2024-07-20,,On Hold,55.51,Not Started,Average,30-60-90 day terms,42659923.01,0.0,0.0,None,0,0.0,Compliant,Low,2023-12-06,,774.12
CONT00036,VEN01273,Vendor 1273,Service,Port Development - Phase 2,Port Development,202.95,12,2023-05-01,2024-04-25,,Terminated,63.68,Not Started,Good,Bank Guarantee,10968565.27,0.0,0.0,None,3,40.37,Compliant,Low,2023-03-08,,243.32
CONT00037,VEN00222,Vendor 222,Unit Rate,Residential Building - Phase 3,Residential Building,917.22,18,2023-09-18,2025-03-11,,On Hold,15.32,Not Started,Average,30-60-90 day terms,11824166.75,0.0,0.0,None,3,81.97,Compliant,Low,2023-08-19,,999.19
CONT00038,VEN01631,Vendor 1631,Unit Rate,Smart City - Phase 1,Smart City,485.54,17,2025-07-20,2026-12-12,,In Execution,36.48,On Time,Average,Milestone Based,17200207.69,1720020.77,0.0,None,6,80.69,Minor Issues,Low,2025-06-16,2025-11-06,566.23
CONT00039,VEN00361,Vendor 361,Cost Plus,Office Tower - Phase 3,Office Tower,927.66,21,2023-05-01,2025-01-20,,Awarded,67.8,Not Started,Average,"Advance 20%, Balance 80%",54995421.14,0.0,0.0,None,4,37.04,Minor Issues,Low,2023-03-16,,964.6999999999999
CONT00040,VEN01537,Vendor 1537,Turnkey,Stadium - Phase 5,Stadium,402.76,21,2024-02-12,2025-11-03,,In Progress,95.0,Delayed,Good,"Advance 10%, Balance on completion",36891172.63,3689117.26,907395.06,Labor shortage,1,9.0,Minor Issues,Medium,2024-01-18,2025-12-01,411.76
CONT00041,VEN01475,Vendor 1475,Design & Build,Shopping Mall - Phase 5,Shopping Mall,3762.44,32,2023-03-09,2025-10-24,,Signed,65.51,Not Started,Excellent,Net 90 days,231244251.61,0.0,0.0,None,1,649.81,Compliant,Low,2022-12-14,,4412.25
CONT00042,VEN01088,Vendor 1088,Annual Maintenance Contract,Hospital - Phase 5,Hospital,732.57,14,2024-03-21,2025-05-15,,Terminated,26.14,Not Started,Average,"Advance 20%, Balance 80%",18271831.77,0.0,0.0,None,2,143.07,Compliant,Low,2024-02-08,,875.6400000000001
CONT00043,VEN01513,Vendor 1513,Turnkey,Water Treatment Plant - Phase 5,Water Treatment Plant,28608.66,42,2025-05-17,2028-10-28,,On Hold,30.74,Not Started,Good,"Advance 10%, Balance on completion",875303918.55,0.0,0.0,None,2,2377.14,Non-Compliant,Medium,2025-02-21,,30985.8
CONT00044,VEN00599,Vendor 599,Cost Plus,Bridge Construction - Phase 4,Bridge Construction,11.1,7,2023-04-22,2023-11-18,,Signed,40.83,Not Started,Good,Net 30 days,425368.03,0.0,0.0,None,4,0.51,Compliant,Low,2023-02-04,,11.61
CONT00045,VEN00152,Vendor 152,Unit Rate,Data Center - Phase 1,Data Center,83.0,7,2025-06-17,2026-01-13,,On Hold,18.29,Not Started,Average,Bank Guarantee,1023452.66,0.0,0.0,None,2,16.47,Compliant,Low,2025-04-07,,99.47
CONT00046,VEN00609,Vendor 609,Unit Rate,Hospital - Phase 3,Hospital,154.21,9,2024-10-09,2025-07-06,,On Hold,28.53,Not Started,Excellent,Net 90 days,4130764.63,0.0,0.0,None,0,0.0,Compliant,Low,2024-07-29,,154.21
CONT00047,VEN01412,Vendor 1412,Unit Rate,Shopping Mall - Phase 3,Shopping Mall,35.93,7,2023-05-24,2023-12-20,2024-05-13,Completed,100.0,Critical Delay,Good,"Advance 10%, Balance on completion",3309881.81,179647.2,261906.37,Labor shortage,5,4.23,Compliant,Medium,2023-04-20,2025-11-27,40.16
CONT00048,VEN01693,Vendor 1693,Service,Industrial Plant - Phase 1,Industrial Plant,37.69,12,2024-04-26,2025-04-21,,Signed,18.7,Not Started,Average,As per milestones,553204.32,0.0,0.0,None,1,5.43,Compliant,Low,2024-04-06,,43.12
CONT00049,VEN01822,Vendor 1822,Design & Build,IT Park - Phase 3,IT Park,123.28,13,2025-10-27,2026-11-21,,Terminated,50.34,Not Started,Average,Net 60 days,5625474.7,0.0,0.0,None,3,28.44,Compliant,Low,2025-07-30,,151.72
CONT00050,VEN00893,Vendor 893,Time & Material,Railway Station - Phase 4,Railway Station,26150.47,50,2024-01-26,2028-03-05,,Under Review,56.91,Not Started,Below Average,"Advance 20%, Balance 80%",1380558893.3,0.0,0.0,None,2,4508.19,Compliant,Medium,2023-11-02,,30658.66
CONT00051,VEN00076,Vendor 76,Turnkey,Industrial Plant - Phase 3,Industrial Plant,20.43,9,2023-01-20,2023-10-17,,Active,95.0,Delayed,Good,Progress Payment,1930054.2,193005.42,28697.02,Labor shortage,3,3.35,Minor Issues,Medium,2022-12-10,2025-11-27,23.78
CONT00052,VEN01125,Vendor 1125,Service,Sewage Treatment Plant - Phase 4,Sewage Treatment Plant,2938.85,12,2024-08-05,2025-07-31,,In Progress,95.0,Delayed,Excellent,Progress Payment,276451206.85,27645120.69,4859735.71,Delay in completion,0,0.0,Minor Issues,Medium,2024-05-19,2025-11-24,2938.85
CONT00053,VEN01043,Vendor 1043,Cost Plus,Water Treatment Plant - Phase 4,Water Treatment Plant,4920.98,19,2023-05-18,2024-12-08,,In Execution,95.0,Delayed,Good,Bank Guarantee,442482535.23,44248253.52,13090134.25,Quality issues,1,992.57,Compliant,Medium,2023-02-28,2025-11-27,5913.549999999999
CONT00054,VEN01681,Vendor 1681,Construction,Sewage Treatment Plant - Phase 3,Sewage Treatment Plant,3319.69,33,2023-03-12,2025-11-26,,In Progress,95.0,At Risk,Good,"Advance 20%, Balance 80%",297048919.06,29704891.91,0.0,None,2,414.06,Compliant,Low,2023-02-01,2025-12-01,3733.75
CONT00055,VEN01172,Vendor 1172,Design & Build,Port Development - Phase 4,Port Development,77.02,9,2023-10-10,2024-07-06,,In Progress,95.0,Delayed,Excellent,Letter of Credit,6573680.27,657368.03,205980.06,Safety violations,4,9.34,Compliant,Medium,2023-07-29,2025-12-30,86.36
CONT00056,VEN01480,Vendor 1480,Service,Hospital - Phase 2,Hospital,80.34,7,2024-01-15,2024-08-12,,Awarded,55.49,Not Started,Below Average,30-60-90 day terms,3767428.12,0.0,0.0,None,1,7.46,Minor Issues,Medium,2023-10-30,,87.8
CONT00057,VEN01787,Vendor 1787,Lump Sum,Commercial Complex - Phase 5,Commercial Complex,66.8,7,2024-08-30,2025-03-28,2025-06-17,Completed,100.0,Critical Delay,Poor,30-60-90 day terms,6210218.46,334022.46,370726.74,Delay in completion,3,15.22,Compliant,High,2024-08-08,2025-11-24,82.02
CONT00058,VEN00735,Vendor 735,Annual Maintenance Contract,Hospital - Phase 2,Hospital,47.08,5,2024-12-25,2025-05-24,,In Progress,95.0,Delayed,Below Average,Bank Guarantee,4151390.88,415139.09,130992.93,Non-compliance,0,0.0,Compliant,High,2024-11-08,2025-11-03,47.08
CONT00059,VEN00523,Vendor 523,Time & Material,Residential Building - Phase 4,Residential Building,3710.44,17,2025-07-10,2026-12-02,,Signed,76.17,Not Started,Poor,"Advance 10%, Balance on completion",258904017.67,0.0,0.0,None,1,287.64,Minor Issues,Medium,2025-05-31,,3998.08
CONT00060,VEN00788,Vendor 788,Turnkey,Road Construction - Phase 2,Road Construction,423.06,15,2024-04-13,2025-07-07,,Active,95.0,Delayed,Average,"Advance 10%, Balance on completion",40156748.46,4015674.85,1174653.02,Delay in completion,3,89.5,Minor Issues,Medium,2024-02-29,2025-10-15,512.56
CONT00061,VEN01643,Vendor 1643,Annual Maintenance Contract,Port Development - Phase 2,Port Development,709.99,10,2025-05-24,2026-03-20,,Active,72.18,At Risk,Good,Bank Guarantee,48655510.71,4865551.07,0.0,None,0,0.0,Minor Issues,Low,2025-03-29,2025-11-08,709.99
CONT00062,VEN00360,Vendor 360,Consultancy,Bridge Construction - Phase 5,Bridge Construction,2463.43,28,2024-05-29,2026-09-16,,In Progress,65.14,At Risk,Average,Milestone Based,136635533.55,13663553.36,0.0,None,1,542.43,Minor Issues,Low,2024-03-16,2025-12-22,3005.8599999999997
CONT00063,VEN00289,Vendor 289,Consultancy,Bus Terminal - Phase 4,Bus Terminal,41206.44,47,2025-06-07,2029-04-17,,Awarded,10.97,Not Started,Good,Milestone Based,300331076.59,0.0,0.0,None,3,3308.76,Compliant,Low,2025-04-06,,44515.200000000004
CONT00064,VEN00222,Vendor 222,Time & Material,Port Development - Phase 4,Port Development,89.58,11,2024-02-06,2025-01-01,,On Hold,55.34,Not Started,Average,Milestone Based,4142392.11,0.0,0.0,None,1,10.2,Compliant,Low,2024-01-18,,99.78
CONT00065,VEN00624,Vendor 624,Turnkey,Road Construction - Phase 1,Road Construction,58.38,9,2023-05-24,2024-02-18,,Under Review,56.93,Not Started,Average,Letter of Credit,3079080.3,0.0,0.0,None,3,3.24,Compliant,Low,2023-04-27,,61.620000000000005
CONT00066,VEN01708,Vendor 1708,Turnkey,Warehouse - Phase 4,Warehouse,2118.96,34,2023-11-11,2026-08-27,,On Hold,41.04,Not Started,Poor,"Advance 20%, Balance 80%",84850109.37,0.0,0.0,None,3,307.73,Non-Compliant,Medium,2023-09-12,,2426.69
CONT00067,VEN00125,Vendor 125,Design & Build,Water Treatment Plant - Phase 2,Water Treatment Plant,47705.49,53,2025-06-04,2029-10-11,,On Hold,54.92,Not Started,Average,Net 30 days,2595823750.38,0.0,0.0,None,1,11803.71,Minor Issues,Low,2025-04-24,,59509.2
CONT00068,VEN00141,Vendor 141,Lump Sum,Airport - Phase 5,Airport,88.27,8,2025-02-09,2025-10-07,,Active,95.0,Delayed,Poor,Net 60 days,7909033.73,790903.37,68395.0,Quality issues,4,4.44,Compliant,High,2024-12-26,2025-10-17,92.71
CONT00069,VEN00664,Vendor 664,Construction,Metro Rail - Phase 3,Metro Rail,76.75,11,2025-04-20,2026-03-16,2026-06-15,Completed,100.0,Critical Delay,Good,"Advance 20%, Balance 80%",7281528.64,383773.13,431057.3,Delay in completion,1,12.39,Minor Issues,Medium,2025-01-29,2025-11-23,89.14
CONT00070,VEN00939,Vendor 939,Time & Material,Residential Building - Phase 1,Residential Building,43128.43,51,2025-05-01,2029-07-09,,Signed,59.87,Not Started,Good,Net 45 days,2443095297.86,0.0,0.0,None,0,0.0,Compliant,Low,2025-02-01,,43128.43
CONT00071,VEN01124,Vendor 1124,Cost Plus,Power Plant - Phase 4,Power Plant,28875.06,53,2023-02-07,2027-06-16,,Awarded,16.94,Not Started,Average,30-60-90 day terms,301262880.52,0.0,0.0,None,3,5364.79,Compliant,Low,2022-11-27,,34239.85
CONT00072,VEN01819,Vendor 1819,Consultancy,Hospital - Phase 3,Hospital,2594.92,35,2025-05-28,2028-04-12,,Under Review,39.87,Not Started,Average,"Advance 20%, Balance 80%",78723551.26,0.0,0.0,None,3,334.96,Compliant,Low,2025-05-03,,2929.88
CONT00073,VEN00191,Vendor 191,Design & Build,Road Construction - Phase 3,Road Construction,3225.48,30,2024-02-02,2026-07-21,2026-10-04,Completed,100.0,Critical Delay,Good,30-60-90 day terms,292192310.86,16127414.71,28851097.23,Non-compliance,3,782.93,Compliant,Medium,2023-12-04,2025-12-18,4008.41
CONT00074,VEN01184,Vendor 1184,Lump Sum,Airport - Phase 2,Airport,301.82,9,2023-12-22,2024-09-17,,In Execution,95.0,Delayed,Average,Bank Guarantee,27990342.07,2799034.21,788622.83,Non-compliance,7,62.85,Compliant,Medium,2023-09-27,2025-12-28,364.67
CONT00075,VEN01248,Vendor 1248,Time & Material,Railway Station - Phase 3,Railway Station,34.59,7,2024-01-13,2024-08-10,,Under Review,10.43,Not Started,Below Average,Bank Guarantee,133325.15,0.0,0.0,None,0,0.0,Minor Issues,Medium,2023-12-26,,34.59
CONT00076,VEN00188,Vendor 188,Cost Plus,Office Tower - Phase 2,Office Tower,508.28,11,2023-11-12,2024-10-07,,Terminated,60.51,Not Started,Average,Bank Guarantee,27726475.8,0.0,0.0,None,4,28.35,Minor Issues,Low,2023-10-22,,536.63
CONT00077,VEN01381,Vendor 1381,Supply,Water Treatment Plant - Phase 4,Water Treatment Plant,537.1,20,2023-08-13,2025-04-04,,Terminated,25.09,Not Started,Good,"Advance 20%, Balance 80%",11166587.42,0.0,0.0,None,1,94.56,Compliant,Low,2023-06-20,,631.6600000000001
CONT00078,VEN00094,Vendor 94,Consultancy,Wind Farm - Phase 5,Wind Farm,28.4,6,2025-03-02,2025-08-29,,Terminated,30.26,Not Started,Excellent,Milestone Based,647225.15,0.0,0.0,None,0,0.0,Compliant,Low,2025-01-17,,28.4
CONT00079,VEN01025,Vendor 1025,Lump Sum,Railway Station - Phase 3,Railway Station,87.56,3,2023-06-29,2023-09-27,,Active,95.0,Delayed,Excellent,"Advance 20%, Balance 80%",7813957.53,781395.75,132306.34,Labor shortage,2,7.58,Compliant,Medium,2023-05-04,2025-12-10,95.14
CONT00080,VEN01642,Vendor 1642,Unit Rate,School - Phase 3,School,86.0,6,2023-06-30,2023-12-27,,Awarded,46.68,Not Started,Good,"Advance 10%, Balance on completion",3373003.25,0.0,0.0,None,1,17.13,Compliant,Low,2023-06-01,,103.13
CONT00081,VEN01087,Vendor 1087,Lump Sum,Airport - Phase 3,Airport,962.4,10,2024-08-12,2025-06-08,2025-06-15,Completed,100.0,Delayed,Good,Net 60 days,90442607.47,4812005.07,907414.54,Delay in completion,3,128.62,Minor Issues,Medium,2024-05-15,2025-11-04,1091.02
CONT00082,VEN01395,Vendor 1395,Unit Rate,Data Center - Phase 5,Data Center,973.88,16,2025-02-02,2026-05-28,,Signed,14.78,Not Started,Good,"Advance 10%, Balance on completion",6638659.1,0.0,0.0,None,2,98.31,Compliant,Low,2024-11-20,,1072.19
CONT00083,VEN00926,Vendor 926,Construction,Commercial Complex - Phase 3,Commercial Complex,1306.92,14,2023-02-04,2024-03-30,,Awarded,42.39,Not Started,Average,As per milestones,43691839.75,0.0,0.0,None,1,269.56,Compliant,Low,2022-12-10,,1576.48
CONT00084,VEN01240,Vendor 1240,Turnkey,Office Tower - Phase 2,Office Tower,25273.54,45,2025-06-19,2029-02-28,,In Execution,17.89,On Time,Good,Milestone Based,201572771.04,20157277.1,0.0,None,2,4050.22,Compliant,Low,2025-04-29,2025-11-12,29323.760000000002
CONT00085,VEN00838,Vendor 838,Annual Maintenance Contract,Manufacturing Facility - Phase 5,Manufacturing Facility,66.78,8,2025-07-27,2026-03-24,,Under Review,16.62,Not Started,Average,"Advance 10%, Balance on completion",941291.78,0.0,0.0,None,4,16.15,Compliant,Low,2025-06-23,,82.93
CONT00086,VEN00683,Vendor 683,Supply,Stadium - Phase 2,Stadium,2240.93,32,2023-09-28,2026-05-15,,In Progress,88.57,On Time,Good,Progress Payment,184053064.05,18405306.4,0.0,None,1,110.69,Minor Issues,Low,2023-07-08,2025-12-20,2351.62
CONT00087,VEN01324,Vendor 1324,Time & Material,Hospital - Phase 5,Hospital,426.34,11,2024-09-26,2025-08-22,,Under Review,76.34,Not Started,Good,Net 90 days,28281982.75,0.0,0.0,None,0,0.0,Compliant,Low,2024-08-30,,426.34
CONT00088,VEN01040,Vendor 1040,Lump Sum,Railway Station - Phase 5,Railway Station,40.31,12,2025-03-15,2026-03-10,,Awarded,20.8,Not Started,Good,As per milestones,527509.7,0.0,0.0,None,4,2.34,Compliant,Low,2025-01-07,,42.650000000000006
CONT00089,VEN00747,Vendor 747,Time & Material,IT Park - Phase 2,IT Park,32476.79,52,2024-08-16,2028-11-23,,In Execution,27.41,At Risk,Poor,Milestone Based,596658193.18,59665819.32,0.0,None,0,0.0,Compliant,Medium,2024-05-20,2025-11-05,32476.79
CONT00090,VEN00946,Vendor 946,Maintenance,SEZ Development - Phase 4,SEZ Development,476.79,11,2024-10-26,2025-09-21,,In Progress,95.0,Delayed,Excellent,Milestone Based,41127757.03,4112775.7,1352063.01,Labor shortage,3,66.11,Compliant,Medium,2024-10-01,2025-12-11,542.9
CONT00091,VEN00559,Vendor 559,Turnkey,Office Tower - Phase 2,Office Tower,1366.85,19,2023-05-30,2024-12-20,,Under Review,75.13,Not Started,Good,Progress Payment,95834204.49,0.0,0.0,None,1,339.99,Compliant,Low,2023-05-12,,1706.84
CONT00092,VEN00653,Vendor 653,Supply,Railway Station - Phase 3,Railway Station,1550.4,21,2023-04-16,2025-01-05,,In Progress,95.0,Delayed,Good,Bank Guarantee,147206428.84,14720642.88,848858.16,Delay in completion,1,84.33,Minor Issues,Medium,2023-01-24,2025-11-07,1634.73
CONT00093,VEN00228,Vendor 228,Maintenance,Port Development - Phase 3,Port Development,31.46,12,2023-05-17,2024-05-11,2024-05-09,Completed,100.0,On Time,Average,Milestone Based,2958224.08,157297.78,0.0,None,0,0.0,Compliant,Low,2023-04-02,2025-12-13,31.46
CONT00094,VEN00597,Vendor 597,Design & Build,Residential Building - Phase 5,Residential Building,613.6,11,2025-06-16,2026-05-12,,In Execution,71.61,On Time,Poor,Letter of Credit,40829396.22,4082939.62,0.0,None,8,90.48,Compliant,Medium,2025-04-02,2025-12-26,704.08
CONT00095,VEN01302,Vendor 1302,Design & Build,Solar Farm - Phase 3,Solar Farm,2428.38,14,2024-01-02,2025-02-25,,On Hold,61.31,Not Started,Average,Bank Guarantee,131020576.07,0.0,0.0,None,1,73.33,Compliant,Low,2023-11-26,,2501.71
CONT00096,VEN01701,Vendor 1701,Time & Material,School - Phase 4,School,830.35,8,2023-05-16,2024-01-11,,Active,95.0,Delayed,Excellent,Net 90 days,71527909.81,7152790.98,2352730.57,Safety violations,2,205.51,Compliant,Medium,2023-03-30,2025-12-27,1035.8600000000001
