change_order_id,co_number,project_id,contract_id,change_type,change_description,initiator,date_raised,review_start_date,approval_date,rejection_date,implementation_date,closure_date,status,priority,original_contract_value,change_order_value,co_percentage,is_increase,schedule_impact_days,impact_areas,justification,approver,num_revisions,num_documents,rejection_reason,risk_level,contingency_used_pct,notes,processing_days
CO00015,46,PROJ00419,CONT01372,Method Change,Method Change - Foundation Work,Site Engineer,2024-11-27,2024-11-28,2024-12-04,,2024-12-21,,Implemented,High,741303582.42,46825118.33,6.32,True,14,"Cost, Schedule, Risk",Site conditions,Technical Head,2,4,,High,71.66,Cost analysis in progress,7
CO00016,11,PROJ00757,CONT00584,Value Engineering,Value Engineering - External Works,Site Engineer,2025-12-29,2025-12-30,,,,,Commercial Review,High,3372529698.19,33190342.37,0.98,True,44,"Cost, Schedule",Technical necessity,Project Director,5,10,,Low,0.0,Schedule impact being assessed,
CO00017,14,PROJ00578,CONT01239,Method Change,Method Change - Foundation Work,Site Engineer,2024-08-07,2024-08-11,2024-08-31,,,,Approved,High,2493806075.53,85800473.66,3.44,True,39,"Cost, Schedule",Client requirement,Client Representative,5,6,,Low,61.89,Approved with conditions,24
CO00018,8,PROJ01149,CONT00020,Design Change,Design Change - Interior,Consultant,2025-12-01,2025-12-02,,,,,Under Review,Low,4189515597.44,37376434.97,0.89,True,23,"Cost, Schedule, Resources",Quality enhancement,Project Director,2,5,,Low,0.0,Under technical review,
CO00019,36,PROJ00725,CONT01598,Client Request,Client Request - Facade,Consultant,2025-05-09,2025-05-13,2025-05-17,,,,Approved,High,4336567911.48,96430904.94,2.22,True,36,"Cost, Schedule, Resources",Quality enhancement,Commercial Manager,5,5,,Medium,21.14,Under technical review,8
CO00020,3,PROJ00784,CONT01787,Unforeseen Condition,Unforeseen Condition - Foundation Work,Project Manager,2024-09-22,2024-09-24,2024-10-24,,,,Approved,Medium,1813326279.79,73080457.15,4.03,True,34,"Cost, Schedule, Resources",Technical necessity,Project Manager,2,10,,Medium,57.57,Design team reviewing,32
CO00021,8,PROJ01924,CONT00057,Quantity Increase,Quantity Increase - Foundation Work,Site Engineer,2025-11-28,2025-12-02,,,,,On Hold,Critical,631172481.35,68011744.99,10.78,True,31,"Cost, Schedule, Resources, Risk",Cost optimization,Client Representative,2,2,,Critical,0.0,Urgent approval required,
CO00022,35,PROJ01065,CONT01896,Quality Upgrade,Quality Upgrade - MEP System,Regulatory Authority,2025-10-27,2025-10-28,2025-11-22,,2025-12-11,,Implemented,Low,4749484981.26,138511774.15,2.92,True,24,"Cost, Schedule, Quality",Cost optimization,CEO,2,10,,Low,23.43,Approved with conditions,26
CO00023,12,PROJ01388,CONT01533,Quantity Decrease,Quantity Decrease - Structure,Client,2025-03-01,2025-03-04,2025-04-06,,2025-04-23,2025-05-26,Closed,Medium,1505877212.66,-22634631.2,1.5,False,22,"Cost, Schedule",Risk mitigation,CEO,1,3,,Medium,0.0,Design team reviewing,36
CO00024,49,PROJ00192,CONT01677,Quality Downgrade,Quality Downgrade - Interior,Site Engineer,2025-05-21,2025-05-25,2025-06-01,,,,Approved,Low,4052158183.42,-9072990.19,0.22,False,-13,"Cost, Schedule, Quality, Resources",Cost optimization,Technical Head,1,8,,Medium,0.0,Approved with conditions,11
CO00025,42,PROJ00500,CONT00303,Scope Addition,Scope Addition - External Works,Contractor,2024-10-28,2024-11-02,2024-11-19,,2024-12-19,,Implemented,Critical,1172321570.38,121595929.15,10.37,True,71,"Cost, Schedule, Scope, Risk",Schedule optimization,Commercial Manager,5,10,,Critical,76.5,,22
CO00026,47,PROJ01255,CONT01670,Technical Issue,Technical Issue - Structure,Vendor,2025-07-28,2025-07-31,2025-09-06,,2025-09-24,2025-11-08,Closed,Medium,3743911666.58,21201165.52,0.57,True,1,"Cost, Schedule",Technical necessity,CEO,2,5,,Medium,33.51,Under technical review,40
CO00027,15,PROJ00284,CONT00309,Regulatory Requirement,Regulatory Requirement - Interior,Consultant,2025-06-01,2025-06-02,2025-06-21,,2025-07-20,,Implemented,Low,414721368.5,11139905.45,2.69,True,19,"Cost, Schedule, Resources",Cost optimization,Technical Head,5,2,,Medium,43.39,Design team reviewing,20
CO00028,25,PROJ00612,CONT01544,Client Request,Client Request - Facade,Project Manager,2024-08-25,2024-08-29,2024-09-11,,2024-10-10,,Implemented,Low,1175166009.65,15375396.41,1.31,True,-14,"Cost, Schedule, Resources",Design improvement,Technical Head,0,8,,Low,15.88,Approved with conditions,17
CO00029,30,PROJ00278,CONT01776,Schedule Change,Schedule Change - Building Wing,Site Engineer,2024-12-14,2024-12-18,2025-01-07,,2025-02-03,2025-04-02,Closed,Low,1704028068.01,18204898.75,1.07,True,6,"Cost, Schedule, Resources",Technical necessity,Commercial Manager,0,10,,Low,79.99,Design team reviewing,24
CO00030,5,PROJ00460,CONT01332,Scope Reduction,Scope Reduction - External Works,Client,2025-04-28,2025-05-02,2025-05-12,,,,Approved,Medium,1076867343.58,-2978240.83,0.28,False,-21,"Cost, Schedule, Scope",Schedule optimization,Project Manager,1,3,,Low,0.0,Schedule impact being assessed,14
CO00031,2,PROJ00222,CONT01186,Quantity Decrease,Quantity Decrease - Facade,Regulatory Authority,2024-11-26,2024-11-28,2024-12-09,,2025-01-03,2025-02-26,Closed,Low,4713205932.85,-11519829.3,0.24,False,22,"Cost, Schedule, Resources",Unforeseen circumstances,Technical Head,0,7,,Medium,0.0,Design team reviewing,13
CO00032,42,PROJ00142,CONT01037,Method Change,Method Change - Building Wing,Regulatory Authority,2024-08-23,2024-08-27,,2024-09-19,,,Rejected,Critical,617140466.16,94118135.08,15.25,True,25,"Cost, Schedule, Risk",Cost optimization,Technical Head,5,6,Scope creep,Critical,0.0,,27
CO00033,47,PROJ00893,CONT01692,Quantity Increase,Quantity Increase - MEP System,Project Manager,2025-10-10,2025-10-15,2025-11-10,,2025-11-23,,Implemented,High,1466748421.04,70366290.03,4.8,True,33,"Cost, Schedule, Resources",Schedule optimization,Client Representative,3,5,,Medium,65.85,Design team reviewing,31
CO00034,39,PROJ00573,CONT01803,Quantity Increase,Quantity Increase - Facade,Client,2024-07-26,2024-07-31,2024-08-17,,2024-09-11,,Implemented,Medium,4745506631.11,17413879.48,0.37,True,31,"Cost, Schedule",Schedule optimization,Project Director,0,6,,Low,38.31,Cost analysis in progress,22
CO00035,38,PROJ00628,CONT01360,Site Condition,Site Condition - Structure,Design Team,2024-10-28,2024-10-31,2024-11-23,,2024-12-04,2024-12-23,Closed,High,4983494173.4,32558270.91,0.65,True,50,"Cost, Schedule",Regulatory compliance,CEO,4,4,,Low,25.15,,26
CO00036,38,PROJ00567,CONT01484,Technical Issue,Technical Issue - Facade,Site Engineer,2025-09-26,2025-09-27,2025-11-06,,,,Approved,Medium,4179878980.3,-5563030.51,0.13,False,8,"Cost, Schedule",Technical necessity,Project Director,4,6,,Low,0.0,,41
CO00037,1,PROJ00211,CONT01788,Quantity Decrease,Quantity Decrease - Structure,Vendor,2024-10-12,2024-10-16,,2024-10-20,,,Rejected,Medium,1769459069.55,-48343886.87,2.73,False,1,"Cost, Schedule",Cost optimization,Technical Head,5,2,Schedule impact unacceptable,Low,0.0,Schedule impact being assessed,8
CO00038,8,PROJ00175,CONT00509,Safety Requirement,Safety Requirement - External Works,Regulatory Authority,2025-05-20,2025-05-25,2025-06-23,,2025-07-05,,Implemented,High,3900898344.52,7056703.92,0.18,True,43,"Cost, Schedule, Resources",Unforeseen circumstances,Project Director,1,5,,Medium,56.23,Client approval pending,34
CO00039,36,PROJ00492,CONT00356,Design Change,Design Change - Foundation Work,Client,2024-11-14,2024-11-17,2024-12-09,,,,Approved,Medium,2307468152.63,39071679.27,1.69,True,42,"Cost, Schedule",Site conditions,Project Manager,5,5,,Medium,18.03,Cost analysis in progress,25
CO00040,18,PROJ01327,CONT00306,Material Substitution,Material Substitution - Building Wing,Client,2025-07-21,2025-07-25,,2025-07-29,,,Rejected,Low,3983879974.54,39256605.6,0.99,True,6,"Cost, Schedule",Technical necessity,Project Manager,4,10,Alternative solution available,Medium,0.0,Under technical review,8
CO00041,28,PROJ01225,CONT00082,Method Change,Method Change - Facade,Site Engineer,2025-12-11,2025-12-16,,,,,Commercial Review,Critical,547501744.49,94286665.33,17.22,True,38,"Cost, Schedule, Risk",Technical necessity,Client Representative,3,10,,Critical,0.0,Schedule impact being assessed,
CO00042,28,PROJ00372,CONT01199,Unforeseen Condition,Unforeseen Condition - Building Wing,Vendor,2025-01-15,2025-01-18,,2025-02-02,,,Rejected,Low,2100905657.81,-1841261.61,0.09,False,18,"Cost, Schedule",Technical necessity,Commercial Manager,4,2,Alternative solution available,Low,0.0,Design team reviewing,18
CO00043,8,PROJ00517,CONT00663,Regulatory Requirement,Regulatory Requirement - External Works,Client,2024-09-20,2024-09-24,2024-10-25,,2024-11-21,2024-11-29,Closed,Medium,2124913096.92,-21862618.79,1.03,False,8,"Cost, Schedule",Technical necessity,Project Manager,3,9,,Low,0.0,Urgent approval required,35
CO00044,39,PROJ01994,CONT01291,Quality Downgrade,Quality Downgrade - Interior,Consultant,2025-02-22,2025-02-23,2025-03-30,,,,Approved,Medium,2799111134.31,-28508067.63,1.02,False,-10,"Cost, Schedule, Quality",Design improvement,CEO,2,10,,Medium,0.0,Approved with conditions,36
CO00045,31,PROJ01710,CONT00989,Quality Downgrade,Quality Downgrade - Structure,Consultant,2024-12-10,2024-12-11,,2024-12-23,,,Rejected,Medium,1033990817.64,-30770124.74,2.98,False,32,"Cost, Schedule, Quality, Resources",Quality enhancement,Technical Head,2,2,Not justified,Medium,0.0,,13
CO00046,29,PROJ01773,CONT00305,Safety Requirement,Safety Requirement - Structure,Design Team,2025-01-31,2025-02-02,,2025-02-27,,,Rejected,Medium,2804395343.65,31514509.44,1.12,True,14,"Cost, Schedule",Unforeseen circumstances,Commercial Manager,0,7,Budget constraints,Medium,0.0,Approved with conditions,27
CO00047,42,PROJ00791,CONT01360,Material Substitution,Material Substitution - Structure,Client,2025-08-30,2025-09-03,,2025-09-07,,,Rejected,Low,2561226635.65,38527064.4,1.5,True,-24,"Cost, Schedule, Resources",Client requirement,Commercial Manager,5,4,Cost too high,Medium,0.0,Schedule impact being assessed,8
CO00048,45,PROJ00694,CONT01277,Regulatory Requirement,Regulatory Requirement - Interior,Contractor,2025-02-04,2025-02-08,,,,,Cancelled,Medium,4276472549.17,78901327.63,1.85,True,9,"Cost, Schedule",Unforeseen circumstances,CEO,5,6,,Low,0.0,Under technical review,
CO00049,49,PROJ00889,CONT00202,Specification Change,Specification Change - Structure,Consultant,2025-03-06,2025-03-09,2025-04-05,,,,Approved,Medium,4526777904.05,-43101354.7,0.95,False,35,"Cost, Schedule",Design improvement,Commercial Manager,4,4,,Low,0.0,Client approval pending,30
CO00050,25,PROJ00162,CONT01249,Quality Downgrade,Quality Downgrade - Structure,Consultant,2025-05-14,2025-05-18,2025-06-08,,2025-07-02,2025-08-10,Closed,Medium,2359634575.44,-14190912.29,0.6,False,1,"Cost, Schedule, Quality",Site conditions,Project Manager,4,6,,Medium,0.0,Schedule impact being assessed,25
CO00051,20,PROJ00936,CONT01732,Quality Upgrade,Quality Upgrade - Structure,Vendor,2025-09-19,2025-09-22,2025-09-27,,2025-10-26,,Implemented,Medium,1262307939.45,87928790.39,6.97,True,21,"Cost, Schedule, Quality, Risk",Technical necessity,CEO,5,2,,High,68.3,Schedule impact being assessed,8
CO00052,15,PROJ01589,CONT01637,Site Condition,Site Condition - Foundation Work,Project Manager,2025-04-25,2025-04-27,2025-05-08,,2025-05-31,2025-07-16,Closed,Critical,3421045847.25,58139256.5,1.7,True,89,"Cost, Schedule, Resources",Technical necessity,Project Director,4,7,,Low,16.31,Schedule impact being assessed,13
CO00053,27,PROJ00670,CONT01531,Schedule Change,Schedule Change - Foundation Work,Consultant,2024-12-28,2025-01-01,2025-01-22,,,,Approved,Medium,2701176631.14,87023046.17,3.22,True,38,"Cost, Schedule",Site conditions,Project Director,1,5,,Medium,77.71,Design team reviewing,25
CO00054,26,PROJ00185,CONT01620,Scope Addition,Scope Addition - MEP System,Contractor,2024-09-28,2024-10-01,2024-10-11,,2024-11-04,2024-11-23,Closed,Medium,1906069727.22,113606682.51,5.96,True,38,"Cost, Schedule, Scope, Risk",Client requirement,Technical Head,2,5,,Medium,54.48,,13
CO00055,20,PROJ01863,CONT01436,Client Request,Client Request - Building Wing,Consultant,2025-11-21,2025-11-23,2026-01-01,,,,Approved,Medium,4736681511.12,-4345312.35,0.09,False,16,"Cost, Schedule",Cost optimization,CEO,5,10,,Medium,0.0,Client approval pending,41
CO00056,42,PROJ01814,CONT00850,Specification Change,Specification Change - External Works,Vendor,2024-11-15,2024-11-19,2024-12-20,,2024-12-30,,Implemented,Low,4701360022.0,-8038978.99,0.17,False,29,"Cost, Schedule, Resources",Site conditions,Project Manager,4,7,,Low,0.0,Approved with conditions,35
CO00057,8,PROJ00566,CONT00389,Value Engineering,Value Engineering - Building Wing,Project Manager,2025-12-16,2025-12-18,,,,,Commercial Review,Medium,347834702.25,26373.46,0.01,True,-7,"Cost, Schedule",Risk mitigation,Client Representative,1,7,,Low,0.0,Urgent approval required,
CO00058,10,PROJ00568,CONT01759,Material Substitution,Material Substitution - Facade,Site Engineer,2025-07-12,2025-07-14,2025-08-25,,,,Approved,High,638639104.66,79967183.28,12.52,True,-22,"Cost, Schedule, Risk",Client requirement,Project Director,1,8,,High,62.2,,44
CO00059,24,PROJ00919,CONT01594,Technical Issue,Technical Issue - Facade,Contractor,2024-10-01,2024-10-06,2024-10-27,,2024-11-13,2024-12-29,Closed,Medium,2568809579.95,91812346.45,3.57,True,-13,"Cost, Schedule, Resources",Client requirement,Commercial Manager,3,3,,Medium,59.87,,26
CO00060,6,PROJ00151,CONT01842,Method Change,Method Change - Facade,Consultant,2025-10-31,2025-11-03,2025-12-01,,2025-12-23,,Implemented,Medium,718338782.69,43647624.14,6.08,True,22,"Cost, Schedule, Risk",Schedule optimization,Commercial Manager,0,3,,Medium,40.1,Cost analysis in progress,31
CO00061,30,PROJ00848,CONT00695,Regulatory Requirement,Regulatory Requirement - Structure,Contractor,2025-02-20,2025-02-24,,,,,Cancelled,Medium,2191143630.68,49766179.46,2.27,True,8,"Cost, Schedule, Resources",Site conditions,Project Director,3,3,,Medium,0.0,Client approval pending,
CO00062,38,PROJ01140,CONT00123,Safety Requirement,Safety Requirement - Facade,Design Team,2025-09-03,2025-09-04,2025-09-28,,2025-10-20,2025-11-13,Closed,Medium,2112962301.32,81041105.84,3.84,True,45,"Cost, Schedule",Site conditions,Client Representative,1,9,,Low,69.31,Design team reviewing,25
CO00063,24,PROJ01732,CONT01140,Specification Change,Specification Change - External Works,Site Engineer,2025-05-20,2025-05-25,,2025-06-15,,,Rejected,High,4055384718.65,76773274.2,1.89,True,34,"Cost, Schedule, Resources",Unforeseen circumstances,CEO,2,2,Schedule impact unacceptable,Medium,0.0,Schedule impact being assessed,26
CO00064,23,PROJ01888,CONT00696,Scope Addition,Scope Addition - Foundation Work,Consultant,2024-11-22,2024-11-27,2024-12-12,,,,Approved,High,440968564.12,112440513.57,25.5,True,8,"Cost, Schedule, Scope, Risk",Cost optimization,Client Representative,2,6,,Critical,64.38,Under technical review,20
CO00065,10,PROJ01810,CONT00108,Schedule Change,Schedule Change - External Works,Client,2025-10-15,2025-10-19,2025-11-08,,2025-11-17,2026-01-09,Closed,Medium,1433303933.38,49290803.92,3.44,True,16,"Cost, Schedule",Quality enhancement,Project Manager,5,9,,Medium,13.18,Approved with conditions,24
CO00066,1,PROJ01228,CONT00113,Quality Upgrade,Quality Upgrade - MEP System,Project Manager,2025-08-19,2025-08-23,2025-09-06,,,,Approved,Medium,3844388389.23,46969834.03,1.22,True,-8,"Cost, Schedule, Quality",Cost optimization,Client Representative,4,10,,Medium,15.05,Urgent approval required,18
CO00067,30,PROJ00894,CONT00039,Design Change,Design Change - External Works,Design Team,2024-10-24,2024-10-28,2024-11-01,,2024-11-14,,Implemented,High,2909658436.34,56424844.24,1.94,True,58,"Cost, Schedule",Unforeseen circumstances,CEO,2,3,,Medium,69.11,Cost analysis in progress,8
CO00068,26,PROJ00893,CONT01207,Technical Issue,Technical Issue - Building Wing,Regulatory Authority,2025-02-23,2025-02-28,2025-03-09,,,,Approved,High,3754443649.68,-16764191.17,0.45,False,34,"Cost, Schedule",Quality enhancement,CEO,1,5,,Low,0.0,Client approval pending,14
CO00069,12,PROJ00525,CONT00405,Material Substitution,Material Substitution - External Works,Contractor,2025-07-09,2025-07-14,2025-08-13,,2025-09-06,2025-10-17,Closed,Low,4761331488.84,44192315.82,0.93,True,-1,"Cost, Schedule",Quality enhancement,Project Director,3,9,,Medium,65.74,Urgent approval required,35
CO00070,5,PROJ00721,CONT01040,Quantity Decrease,Quantity Decrease - Structure,Vendor,2025-11-29,2025-11-30,,,,,Under Review,High,378761249.09,-41921438.32,11.07,False,-11,"Cost, Schedule, Risk",Schedule optimization,CEO,0,9,,High,0.0,Design team reviewing,
CO00071,33,PROJ01240,CONT00975,Material Substitution,Material Substitution - Building Wing,Vendor,2025-09-23,2025-09-25,2025-10-02,,2025-10-12,,Implemented,Low,4073737375.48,75606576.74,1.86,True,-25,"Cost, Schedule",Schedule optimization,Technical Head,1,7,,Medium,74.26,Approved with conditions,9
CO00072,22,PROJ00838,CONT01587,Scope Reduction,Scope Reduction - External Works,Design Team,2025-10-31,2025-11-05,2025-11-16,,2025-11-29,,Implemented,Medium,1715484700.08,-28782234.2,1.68,False,-6,"Cost, Schedule, Scope",Unforeseen circumstances,Project Manager,2,8,,Low,0.0,Under technical review,16
CO00073,25,PROJ00635,CONT01145,Method Change,Method Change - External Works,Consultant,2024-07-16,2024-07-19,2024-08-11,,2024-08-19,,Implemented,High,557919528.82,50568406.01,9.06,True,17,"Cost, Schedule, Resources, Risk",Quality enhancement,Commercial Manager,1,5,,Medium,20.85,Schedule impact being assessed,26
CO00074,7,PROJ01730,CONT01615,Technical Issue,Technical Issue - External Works,Client,2025-01-27,2025-01-29,2025-02-14,,2025-03-15,,Implemented,Medium,4394324585.46,42704719.82,0.97,True,23,"Cost, Schedule",Schedule optimization,Project Manager,5,5,,Medium,52.74,,18
CO00075,16,PROJ00480,CONT01094,Quantity Decrease,Quantity Decrease - External Works,Vendor,2025-06-22,2025-06-25,2025-07-23,,2025-08-11,,Implemented,Low,1902420695.3,-47462248.17,2.49,False,13,"Cost, Schedule, Resources",Design improvement,Technical Head,1,6,,Low,0.0,,31
CO00076,36,PROJ01791,CONT00761,Specification Change,Specification Change - Interior,Contractor,2025-03-21,2025-03-23,,2025-04-08,,,Rejected,High,510988114.32,-25953149.86,5.08,False,13,"Cost, Schedule, Resources, Risk",Regulatory compliance,Project Manager,0,8,Cost too high,High,0.0,Design team reviewing,18
CO00077,6,PROJ00483,CONT00791,Site Condition,Site Condition - Foundation Work,Client,2025-02-14,2025-02-16,2025-03-01,,2025-03-05,,Implemented,High,4661046933.27,75876443.14,1.63,True,88,"Cost, Schedule",Schedule optimization,Client Representative,5,9,,Medium,53.07,Under technical review,15
CO00078,14,PROJ00039,CONT00525,Material Substitution,Material Substitution - Facade,Regulatory Authority,2025-09-15,2025-09-19,2025-10-21,,,,Approved,Medium,3903245899.91,-14353966.0,0.37,False,-23,"Cost, Schedule, Resources",Site conditions,Commercial Manager,4,10,,Low,0.0,Cost analysis in progress,36
CO00079,19,PROJ01472,CONT00295,Client Request,Client Request - Building Wing,Design Team,2025-05-05,2025-05-08,2025-05-16,,,,Approved,Medium,2896252208.51,-21902913.23,0.76,False,27,"Cost, Schedule, Resources",Cost optimization,Project Director,5,8,,Medium,0.0,Schedule impact being assessed,11
CO00080,23,PROJ01531,CONT00034,Design Change,Design Change - MEP System,Project Manager,2025-09-22,2025-09-25,2025-11-02,,,,Approved,Medium,3880356733.14,60278047.72,1.55,True,47,"Cost, Schedule, Resources",Design improvement,CEO,3,9,,Low,66.8,Under technical review,41
CO00081,30,PROJ01467,CONT01590,Scope Reduction,Scope Reduction - MEP System,Project Manager,2025-11-23,2025-11-28,,2025-12-10,,,Rejected,Low,3976435144.82,-44517938.51,1.12,False,-10,"Cost, Schedule, Scope",Technical necessity,CEO,1,6,Not justified,Low,0.0,Design team reviewing,17
CO00082,24,PROJ00560,CONT00255,Client Request,Client Request - Structure,Vendor,2024-12-07,2024-12-12,2024-12-31,,2025-01-28,,Implemented,Medium,1761279479.2,-21977417.36,1.25,False,29,"Cost, Schedule",Cost optimization,Technical Head,1,10,,Medium,0.0,Design team reviewing,24
CO00083,21,PROJ00211,CONT00164,Quantity Decrease,Quantity Decrease - MEP System,Vendor,2024-10-27,2024-10-30,2024-11-30,,,,Approved,Low,916559383.12,-23307602.29,2.54,False,13,"Cost, Schedule",Client requirement,CEO,3,7,,Low,0.0,Urgent approval required,34
CO00084,39,PROJ00293,CONT01739,Value Engineering,Value Engineering - Building Wing,Consultant,2025-10-30,2025-11-04,2025-11-08,,2025-11-30,,Implemented,Medium,1256377364.06,46774431.35,3.72,True,8,"Cost, Schedule, Resources",Schedule optimization,Project Manager,3,3,,Low,47.06,Approved with conditions,9
CO00085,18,PROJ00644,CONT01331,Quality Downgrade,Quality Downgrade - Building Wing,Client,2025-06-30,2025-07-03,2025-08-04,,,,Approved,Medium,2545315405.26,-20575394.24,0.81,False,20,"Cost, Schedule, Quality",Unforeseen circumstances,Commercial Manager,1,3,,Low,0.0,Under technical review,35
CO00086,46,PROJ00926,CONT00354,Value Engineering,Value Engineering - Building Wing,Design Team,2025-01-16,2025-01-18,,2025-02-12,,,Rejected,Medium,3576748385.42,32499572.12,0.91,True,3,"Cost, Schedule",Quality enhancement,Project Director,1,4,Schedule impact unacceptable,Medium,0.0,Urgent approval required,27
CO00087,37,PROJ00740,CONT01135,Site Condition,Site Condition - Structure,Consultant,2025-10-10,2025-10-14,2025-11-22,,2025-11-27,,Implemented,Critical,422165715.81,9723997.12,2.3,True,66,"Cost, Schedule",Quality enhancement,Commercial Manager,3,10,,Medium,18.98,Client approval pending,43
CO00088,9,PROJ01573,CONT01979,Client Request,Client Request - Facade,Client,2025-09-01,2025-09-03,2025-09-30,,2025-10-19,,Implemented,Low,2638700451.33,-4381318.58,0.17,False,-5,"Cost, Schedule",Site conditions,CEO,4,6,,Low,0.0,Schedule impact being assessed,29
CO00089,6,PROJ01259,CONT01093,Technical Issue,Technical Issue - Interior,Consultant,2025-08-02,2025-08-07,2025-08-11,,2025-09-09,2025-11-08,Closed,High,938883052.97,43671878.12,4.65,True,42,"Cost, Schedule",Site conditions,CEO,4,6,,Low,63.69,Approved with conditions,9
CO00090,2,PROJ01266,CONT01309,Unforeseen Condition,Unforeseen Condition - Interior,Site Engineer,2025-03-03,2025-03-04,2025-03-13,,2025-03-21,,Implemented,Medium,2466429609.06,70703223.13,2.87,True,56,"Cost, Schedule",Cost optimization,Client Representative,2,4,,Medium,70.3,Design team reviewing,10
CO00091,23,PROJ01504,CONT01763,Regulatory Requirement,Regulatory Requirement - Foundation Work,Design Team,2024-07-28,2024-08-01,2024-08-19,,,,Approved,Medium,2852090957.17,-2132617.04,0.07,False,14,"Cost, Schedule",Site conditions,Commercial Manager,4,8,,Low,0.0,Client approval pending,22
