po_number,vendor_id,vendor_name,contract_id,item_category,item_description,quantity_ordered,quantity_delivered,unit,unit_price,total_amount,gst_rate,gst_amount,discount_pct,discount_amount,total_with_gst,final_amount,amount_paid,outstanding_amount,po_date,acknowledgment_date,expected_delivery_date,actual_delivery_date,days_to_deliver,delay_days,po_status,delivery_status,quality_rating,payment_terms,delivery_terms,incoterms,delivery_location,priority,amendment_count,compliance_status,buyer_name,approver_name,cancellation_reason,notes,delivery_completion_pct,payment_completion_pct
PO00011,VEN01805,Vendor 1805,,Aluminum,Aluminum - Grade C,724,0,Truckloads,3063.85,2218227.14,0,0.0,3.07,68195.6,2218227.14,2150031.55,0.0,2150031.55,2025-12-29,2026-01-04,2026-06-18,,,0,Issued,Not Started,Not Rated,Net 45 days,Door Delivery,CIF,Main Office,Low,1,Pending,Materials Manager,Director,,,0.0,0.0
PO00012,VEN01001,Vendor 1001,CONT01860,Bricks,Bricks - Grade A,91,91,Bundles,1699.66,154669.2,18,27840.46,0.0,0.0,182509.66,182509.66,144603.13,37906.53,2025-08-26,2025-08-30,2025-12-01,2025-11-17,83.0,0,Completed,Delivered,Excellent,Cash on Delivery,Ex-Works,EXW,Site A - Mumbai,Medium,1,Minor Issues,Purchase Manager,General Manager,,Partial delivery acceptable,100.0,79.23
PO00013,VEN01397,Vendor 1397,CONT00211,Transformers,Transformers - Grade Standard,417,278,Square Meter,52284.92,21802811.4,12,2616337.37,5.29,1154176.59,24419148.76,23264972.17,15113443.28,8151528.89,2024-11-10,2024-11-12,2024-12-16,2025-01-01,52.0,16,Partially Delivered,Partially Delivered,Average,Net 60 days,CIF,DAP,Warehouse - Pune,Medium,3,Pending,Purchase Manager,Project Director,,Partial delivery acceptable,66.67,64.96
PO00014,VEN00049,Vendor 49,CONT00817,MCBs,MCBs - Grade C,2438,0,Bundles,8782.68,21412174.51,12,2569460.94,0.0,0.0,23981635.45,23981635.45,0.0,23981635.45,2025-12-09,2025-12-12,2026-02-06,,,0,Acknowledged,Not Started,Not Rated,Net 30 days,CIF,EXW,Site B - Delhi,Urgent,2,Pending,Project Manager,Vice President,,Awaiting quality approval,0.0,0.0
PO00015,VEN01843,Vendor 1843,CONT00522,Concrete,Concrete - Grade Premium,366,132,Meters,7611.45,2785789.27,12,334294.71,0.0,0.0,3120083.98,3120083.98,990783.27,2129300.72,2024-10-22,2024-10-24,2024-12-08,2024-12-31,70.0,23,Partially Delivered,Partially Delivered,Not Rated,"Advance 20%, Balance 80%",Delivered to Site,DDP,Factory - Gujarat,Low,0,Pending,Purchase Manager,Project Director,,As per contract terms,36.07,31.76
PO00016,VEN01261,Vendor 1261,CONT00832,Waterproofing Membrane,Waterproofing Membrane - Grade A,9751,0,Bundles,4477.38,43658952.01,5,2182947.6,0.0,0.0,45841899.61,45841899.61,0.0,45841899.61,2024-09-17,,2025-02-07,,,0,Cancelled,Cancelled,Not Rated,Cash on Delivery,Ex-Works,FOB,Warehouse - Pune,Low,1,Pending,Materials Manager,General Manager,Change in Requirements,Complete delivery in one lot,0.0,0.0
PO00017,VEN00461,Vendor 461,CONT00302,Steel Bars,Steel Bars - Grade A,4480,3343,Units,4157.27,18624553.85,5,931227.69,0.0,0.0,19555781.54,19555781.54,13029903.98,6525877.56,2025-06-21,2025-06-28,2025-10-27,2025-10-25,126.0,0,Partially Delivered,Partially Delivered,Average,Net 90 days,Ex-Works,EXW,Distribution Center,High,1,Pending,Procurement Head,Project Director,,,74.62,66.63
PO00018,VEN01145,Vendor 1145,CONT01946,Pumps,Pumps - Grade Premium,8495,0,Sets,4555.69,38700591.62,5,1935029.58,4.22,1632580.91,40635621.2,39003040.29,0.0,39003040.29,2025-07-28,,2025-12-26,,,0,Cancelled,Cancelled,Not Rated,Bank Guarantee,DDP,DDP,Site B - Delhi,Medium,2,Pending,Materials Manager,CFO,Project Cancelled,As per contract terms,0.0,0.0
PO00019,VEN00309,Vendor 309,CONT01422,Mild Steel,Mild Steel - Grade B,2355,1715,Units,8345.62,19653941.17,18,3537709.41,6.67,1311435.82,23191650.58,21880214.76,13698818.18,8181396.57,2025-11-04,2025-11-11,2026-01-25,2026-03-24,140.0,58,Partially Delivered,Delayed,Average,Bank Guarantee,FOB,DDP,Warehouse - Pune,Low,0,Pending,Project Manager,Vice President,,Amendment requested,72.82,62.61
PO00020,VEN00450,Vendor 450,CONT00995,Steel Bars,Steel Bars - Grade Premium,442,151,Sets,604.95,267385.71,18,48129.43,0.0,0.0,315515.13,315515.13,91839.69,223675.44,2025-08-29,2025-09-02,2026-02-11,2026-03-22,205.0,39,Partially Delivered,Delayed,Good,Bank Guarantee,Ex-Works,FOB,Factory - Gujarat,Low,0,Pending,Materials Manager,CFO,,Complete delivery in one lot,34.16,29.11
PO00021,VEN01541,Vendor 1541,CONT00864,Copper Pipes,Copper Pipes - Grade A,883,883,Pieces,7566.91,6681580.4,5,334079.02,0.0,0.0,7015659.42,7015659.42,7015659.42,0.0,2025-10-28,2025-10-31,2025-12-07,2025-12-11,44.0,4,Delivered,Delivered,Good,Bank Guarantee,CIF,EXW,Site B - Delhi,Medium,1,Minor Issues,Materials Manager,Director,,As per contract terms,100.0,100.0
PO00022,VEN01976,Vendor 1976,CONT01186,Steel Bars,Steel Bars - Grade C,4924,4924,Liters,1174.45,5782991.41,12,693958.97,6.8,393433.85,6476950.38,6083516.54,6083516.54,0.0,2025-10-21,2025-10-27,2026-01-21,2026-03-19,149.0,57,Delivered,Delayed,Average,"Advance 30%, Balance 70%",Door Delivery,DAP,Distribution Center,Low,0,Compliant,Materials Manager,General Manager,,Vendor confirmed delivery,100.0,100.0
PO00023,VEN01302,Vendor 1302,CONT00942,Excavators,Excavators - Grade B,7212,1797,Loads,8274.77,59677659.45,28,16709744.64,0.0,0.0,76387404.09,76387404.09,0.0,76387404.09,2024-09-17,2024-09-22,2025-02-05,,,0,On Hold,On Hold,Not Rated,Net 45 days,DAP,DAP,Distribution Center,Medium,1,Pending,Contracts Manager,Project Director,,Vendor confirmed delivery,24.92,0.0
PO00024,VEN00373,Vendor 373,CONT00727,Copper Pipes,Copper Pipes - Grade C,7263,0,MT,947.57,6882188.73,18,1238793.97,0.0,0.0,8120982.7,8120982.7,0.0,8120982.7,2024-07-26,,2024-10-12,,,0,Cancelled,Cancelled,Not Rated,Cash on Delivery,Ex-Factory,DAP,Main Office,Low,0,Pending,Purchase Manager,Project Director,Budget Constraints,Vendor confirmed delivery,0.0,0.0
PO00025,VEN00970,Vendor 970,CONT00705,Ventilation Systems,Ventilation Systems - Grade Standard,859,859,Nos,7240.71,6219774.08,12,746372.89,0.0,0.0,6966146.97,6966146.97,6966146.97,0.0,2025-05-15,2025-05-20,2025-07-14,2025-07-22,68.0,8,Completed,Delivered,Excellent,Cash on Delivery,Ex-Factory,DDP,Warehouse - Pune,Urgent,4,Compliant,Site Engineer,CFO,,Vendor confirmed delivery,100.0,100.0
PO00026,VEN00368,Vendor 368,CONT01451,Roofing Sheets,Roofing Sheets - Grade B,998,998,Cubic Meter,8739.93,8722445.53,28,2442284.75,0.0,0.0,11164730.27,11164730.27,7997696.65,3167033.62,2024-08-22,2024-08-27,2024-10-17,2024-11-14,84.0,28,Completed,Delivered,Excellent,Net 30 days,DAP,DAP,Site C - Bangalore,High,1,Minor Issues,Contracts Manager,Senior Manager,,Complete delivery in one lot,100.0,71.63
PO00027,VEN00175,Vendor 175,CONT00243,Waterproofing Membrane,Waterproofing Membrane - Grade Premium,6848,4141,Feet,3043.8,20843915.09,28,5836296.23,4.44,926103.89,26680211.31,25754107.42,14515894.16,11238213.26,2024-10-02,2024-10-04,2025-02-22,2025-02-19,140.0,0,Partially Delivered,Partially Delivered,Good,Against Delivery,DDP,DDP,Factory - Gujarat,Medium,0,Pending,Site Engineer,General Manager,,Amendment requested,60.47,56.36
PO00028,VEN01412,Vendor 1412,CONT00597,Concrete,Concrete - Grade B,46,46,Pieces,5424.99,249549.59,5,12477.48,0.0,0.0,262027.07,262027.07,203569.61,58457.47,2025-04-11,2025-04-16,2025-10-08,2025-10-12,184.0,4,Completed,Delivered,Below Average,Net 60 days,CIF,FOB,Main Office,High,2,Compliant,Materials Manager,Project Director,,Complete delivery in one lot,100.0,77.69
PO00029,VEN01025,Vendor 1025,CONT00897,Aggregates,Aggregates - Grade Standard,876,876,MT,9622.92,8429677.84,28,2360309.8,0.0,0.0,10789987.64,10789987.64,10789987.64,0.0,2025-10-05,2025-10-07,2026-01-01,2026-01-20,107.0,19,Delivered,Delivered,Good,Net 60 days,Ex-Factory,EXW,Distribution Center,Medium,3,Non-Compliant,Site Engineer,Project Director,,Amendment requested,100.0,100.0
PO00030,VEN00713,Vendor 713,CONT00658,Safety Equipment,Safety Equipment - Grade A,710,387,Feet,971.79,689972.28,12,82796.67,0.0,0.0,772768.96,772768.96,341537.1,431231.86,2025-11-30,2025-12-05,2026-04-25,2026-04-10,131.0,0,Partially Delivered,Partially Delivered,Not Rated,Progress Payment,Ex-Factory,DAP,Site A - Mumbai,Medium,1,Pending,Project Manager,Senior Manager,,Partial delivery acceptable,54.51,44.2
PO00031,VEN00547,Vendor 547,CONT01900,Electrical Cables,Electrical Cables - Grade Premium,348,158,Square Meter,235.38,81911.26,18,14744.03,0.0,0.0,96655.29,96655.29,0.0,96655.29,2025-02-22,2025-02-27,2025-08-12,,,0,Delayed,Delayed,Not Rated,Bank Guarantee,CIF,CIF,Distribution Center,Medium,2,Pending,Contracts Manager,CFO,,Amendment requested,45.4,0.0
PO00032,VEN00500,Vendor 500,CONT00297,Solar Panels,Solar Panels - Grade B,86,86,Nos,188164.71,16182165.13,28,4531006.24,0.0,0.0,20713171.37,20713171.37,20713171.37,0.0,2024-11-08,2024-11-11,2025-03-05,2025-03-28,140.0,23,Delivered,Delivered,Average,30-60-90 days,Ex-Factory,CIF,Project Site,Medium,1,Minor Issues,Site Engineer,Vice President,,Partial delivery acceptable,100.0,100.0
PO00033,VEN01172,Vendor 1172,CONT01754,Air Conditioners,Air Conditioners - Grade A,3888,3888,Cubic Meter,1349.84,5248170.42,28,1469487.72,0.0,0.0,6717658.14,6717658.14,6717658.14,0.0,2024-08-17,2024-08-19,2024-09-25,2024-11-05,80.0,41,Delivered,Delayed,Excellent,Bank Guarantee,FOB,CIF,Main Office,Low,1,Compliant,Procurement Head,Project Director,,Awaiting quality approval,100.0,100.0
PO00034,VEN01331,Vendor 1331,,MCBs,MCBs - Grade Standard,8997,8997,Ton,6348.49,57117401.12,12,6854088.13,7.97,4554616.35,63971489.25,59416872.9,46040145.54,13376727.36,2025-10-28,2025-10-31,2026-01-26,2026-01-23,87.0,0,Completed,Delivered,Average,Cash on Delivery,CIF,DAP,Factory - Gujarat,Medium,0,Compliant,Procurement Head,CFO,,,100.0,77.49
PO00035,VEN00844,Vendor 844,CONT01624,Tiles,Tiles - Grade B,8133,8133,Pieces,114.4,930439.39,18,167479.09,0.0,0.0,1097918.48,1097918.48,889788.76,208129.72,2024-08-15,2024-08-20,2025-02-10,2025-01-27,165.0,0,Completed,Delivered,Below Average,Bank Guarantee,DAP,EXW,Main Office,Urgent,0,Compliant,Materials Manager,Senior Manager,,Complete delivery in one lot,100.0,81.04
PO00036,VEN00408,Vendor 408,CONT01748,Plumbing Fixtures,Plumbing Fixtures - Grade A,792,0,Bags,2817.36,2231345.76,28,624776.81,8.23,183561.5,2856122.58,2672561.08,390257.2,2282303.88,2025-12-15,2025-12-17,2026-04-25,,,0,Issued,Not Started,Not Rated,30-60-90 days,Ex-Factory,DDP,Site C - Bangalore,Medium,2,Pending,Contracts Manager,Director,,Quality inspection mandatory,0.0,14.6
PO00037,VEN01851,Vendor 1851,CONT00081,Wiring,Wiring - Grade Premium,14,14,Bags,1838.84,25743.71,5,1287.19,9.01,2319.94,27030.9,24710.96,24710.96,0.0,2025-02-06,2025-02-13,2025-06-22,2025-08-10,185.0,49,Completed,Delayed,Below Average,Net 60 days,DAP,DAP,Site B - Delhi,Medium,0,Compliant,Materials Manager,General Manager,,Partial delivery acceptable,100.0,100.0
PO00038,VEN01762,Vendor 1762,CONT01382,HVAC Units,HVAC Units - Grade Standard,904,255,Quintal,3527727.72,3189065857.46,12,382687902.9,0.0,0.0,3571753760.36,3571753760.36,0.0,3571753760.36,2024-09-28,2024-10-03,2025-01-30,,,0,On Hold,On Hold,Not Rated,Net 45 days,DDP,DAP,Site B - Delhi,Medium,3,Pending,Materials Manager,Vice President,,Amendment requested,28.21,0.0
PO00039,VEN01863,Vendor 1863,CONT01330,Air Conditioners,Air Conditioners - Grade A,1152,1152,Quintal,8883.87,10234214.96,5,511710.75,0.0,0.0,10745925.71,10745925.71,10745925.71,0.0,2025-09-29,2025-10-04,2025-12-28,2026-02-20,144.0,54,Completed,Delayed,Good,Cash on Delivery,Ex-Works,DAP,Project Site,High,2,Compliant,Project Manager,CFO,,Amendment requested,100.0,100.0
PO00040,VEN01947,Vendor 1947,CONT00743,TMT Bars,TMT Bars - Grade C,683,212,Liters,1096.72,749058.41,5,37452.92,0.0,0.0,786511.33,786511.33,235820.14,550691.19,2025-09-03,2025-09-08,2026-01-27,2026-02-23,173.0,27,Partially Delivered,Partially Delivered,Good,Net 60 days,DDP,FOB,Site C - Bangalore,Medium,1,Pending,Purchase Manager,Director,,Urgent delivery required,31.04,29.98
PO00041,VEN00568,Vendor 568,CONT00297,Reinforcement Steel,Reinforcement Steel - Grade Standard,189,189,MT,5929.64,1120702.7,0,0.0,0.0,0.0,1120702.7,1120702.7,1120702.7,0.0,2025-01-05,2025-01-10,2025-04-05,2025-05-13,128.0,38,Delivered,Delayed,Good,Cash on Delivery,CIF,DAP,Site A - Mumbai,Medium,0,Compliant,Procurement Head,Project Director,,,100.0,100.0
PO00042,VEN00618,Vendor 618,CONT01975,Steel Bars,Steel Bars - Grade A,3810,3810,Sets,2848.05,10851069.85,5,542553.49,0.0,0.0,11393623.35,11393623.35,11393623.35,0.0,2025-10-23,2025-10-28,2025-12-12,2026-02-09,109.0,59,Delivered,Delayed,Good,"Advance 30%, Balance 70%",Delivered to Site,EXW,Site B - Delhi,Low,1,Minor Issues,Project Manager,General Manager,,,100.0,100.0
PO00043,VEN01477,Vendor 1477,CONT00881,Elevators,Elevators - Grade B,2857,2857,Quintal,1906356.07,5446459292.39,12,653575115.09,0.0,0.0,6100034407.47,6100034407.47,5396694337.95,703340069.52,2025-02-20,2025-02-25,2025-07-09,2025-08-23,184.0,45,Delivered,Delayed,Excellent,Net 45 days,CIF,DAP,Project Site,Urgent,2,Compliant,Procurement Head,Vice President,,Awaiting quality approval,100.0,88.47
PO00044,VEN00725,Vendor 725,CONT01928,Pumps,Pumps - Grade Premium,16,5,Truckloads,6601.69,105627.03,5,5281.35,4.8,5071.06,110908.38,105837.32,32905.79,72931.53,2025-06-03,2025-06-08,2025-08-11,2025-08-31,89.0,20,Partially Delivered,Partially Delivered,Not Rated,Net 90 days,Delivered to Site,EXW,Main Office,Medium,2,Pending,Contracts Manager,Senior Manager,,Urgent delivery required,31.25,31.09
PO00045,VEN00370,Vendor 370,CONT01562,Wiring,Wiring - Grade C,6173,6173,Feet,7435.59,45899919.82,0,0.0,0.0,0.0,45899919.82,45899919.82,45899919.82,0.0,2025-10-27,2025-11-01,2026-01-01,2026-02-03,99.0,33,Completed,Delayed,Good,"Advance 30%, Balance 70%",Ex-Works,DDP,Site C - Bangalore,Low,0,Compliant,Site Engineer,General Manager,,Urgent delivery required,100.0,100.0
PO00046,VEN01381,Vendor 1381,,Elevators,Elevators - Grade Premium,410,231,Truckloads,2434611.35,998190653.62,12,119782878.43,0.0,0.0,1117973532.05,1117973532.05,510807359.86,607166172.19,2025-09-12,2025-09-14,2026-01-08,2026-02-01,142.0,24,Partially Delivered,Partially Delivered,Good,Net 90 days,Delivered to Site,EXW,Site B - Delhi,Medium,0,Pending,Purchase Manager,CFO,,Urgent delivery required,56.34,45.69
PO00047,VEN01019,Vendor 1019,CONT00360,Reinforcement Steel,Reinforcement Steel - Grade Premium,617,361,Kg,4418.57,2726260.16,18,490726.83,8.9,242552.1,3216986.98,2974434.89,1728544.95,1245889.93,2024-11-26,2024-12-01,2025-01-05,2025-02-12,78.0,38,Partially Delivered,Delayed,Average,Net 45 days,Delivered to Site,FOB,Site B - Delhi,Low,0,Pending,Project Manager,Senior Manager,,Awaiting quality approval,58.51,58.11
PO00048,VEN01730,Vendor 1730,,Ventilation Systems,Ventilation Systems - Grade Standard,540,540,Pieces,856.16,462324.15,0,0.0,0.0,0.0,462324.15,462324.15,353211.98,109112.17,2025-01-30,2025-02-01,2025-04-13,2025-05-12,102.0,29,Delivered,Delivered,Good,Against Delivery,Ex-Works,CIF,Distribution Center,Medium,0,Compliant,Contracts Manager,General Manager,,Amendment requested,100.0,76.4
PO00049,VEN01395,Vendor 1395,CONT01157,Street Lights,Street Lights - Grade Standard,51,51,Loads,7983.66,407166.86,28,114006.72,0.0,0.0,521173.57,521173.57,521173.57,0.0,2024-10-11,2024-10-18,2025-01-26,2025-02-19,131.0,24,Completed,Delivered,Good,Net 30 days,FOB,DDP,Factory - Gujarat,Medium,0,Compliant,Procurement Head,Vice President,,,100.0,100.0
PO00050,VEN01955,Vendor 1955,CONT01835,Concrete,Concrete - Grade Premium,2316,740,Truckloads,3823.98,8856327.56,12,1062759.31,2.67,236874.26,9919086.86,9682212.6,2573120.9,7109091.7,2025-08-05,2025-08-08,2025-09-19,2025-10-30,86.0,41,Partially Delivered,Delayed,Average,Progress Payment,Door Delivery,EXW,Site A - Mumbai,Low,0,Pending,Project Manager,Project Director,,Vendor confirmed delivery,31.95,26.58
PO00051,VEN00135,Vendor 135,CONT01143,Scaffolding,Scaffolding - Grade Premium,229,144,Bundles,6669.76,1527375.01,12,183285.0,0.0,0.0,1710660.01,1710660.01,980805.46,729854.54,2025-10-15,2025-10-18,2026-04-12,2026-04-13,180.0,1,Partially Delivered,Partially Delivered,Not Rated,Cash on Delivery,CIF,DDP,Site B - Delhi,Low,1,Pending,Purchase Manager,Senior Manager,,Awaiting quality approval,62.88,57.33
PO00052,VEN01042,Vendor 1042,CONT00743,Wiring,Wiring - Grade B,274,274,Pieces,863.93,236718.01,0,0.0,0.0,0.0,236718.01,236718.01,236718.01,0.0,2025-08-19,2025-08-26,2025-10-27,2025-12-18,121.0,52,Completed,Delayed,Excellent,"Advance 30%, Balance 70%",Ex-Works,EXW,Site C - Bangalore,Low,0,Compliant,Contracts Manager,Vice President,,Urgent delivery required,100.0,100.0
PO00053,VEN00842,Vendor 842,CONT01474,Aluminum,Aluminum - Grade Premium,245,120,Pieces,9049.35,2217089.76,5,110854.49,0.0,0.0,2327944.25,2327944.25,0.0,2327944.25,2025-02-24,2025-02-26,2025-07-24,,,0,Delayed,Delayed,Not Rated,Bank Guarantee,DAP,DAP,Main Office,High,1,Pending,Purchase Manager,Vice President,,Urgent delivery required,48.98,0.0
PO00054,VEN01314,Vendor 1314,CONT00761,Waterproofing Membrane,Waterproofing Membrane - Grade A,645,645,Sets,8327.36,5371148.82,0,0.0,3.78,202830.91,5371148.82,5168317.91,5168317.91,0.0,2024-07-30,2024-07-31,2024-10-05,2024-11-03,96.0,29,Completed,Delivered,Below Average,LC at Sight,FOB,DAP,Site B - Delhi,High,0,Minor Issues,Materials Manager,Director,,Vendor confirmed delivery,100.0,100.0
PO00055,VEN01621,Vendor 1621,,Concrete,Concrete - Grade C,1568,0,MT,2345.02,3676994.27,5,183849.71,0.0,0.0,3860843.98,3860843.98,569582.77,3291261.22,2025-10-17,,2025-11-20,,,0,Cancelled,Cancelled,Not Rated,Progress Payment,Delivered to Site,FOB,Distribution Center,Low,0,Pending,Project Manager,Senior Manager,Project Cancelled,Quality inspection mandatory,0.0,14.75
PO00056,VEN00228,Vendor 228,CONT01024,False Ceiling,False Ceiling - Grade Standard,423,423,Bags,6186.61,2616938.09,5,130846.9,0.0,0.0,2747784.99,2747784.99,2747784.99,0.0,2024-10-24,2024-10-29,2024-11-23,2024-11-18,25.0,0,Delivered,On Time,Good,"Advance 30%, Balance 70%",CIF,EXW,Distribution Center,Medium,2,Compliant,Site Engineer,General Manager,,Awaiting quality approval,100.0,100.0
PO00057,VEN00765,Vendor 765,CONT00034,Transformers,Transformers - Grade A,5849,0,Bundles,83413.83,487887481.73,12,58546497.81,3.4,16591653.1,546433979.54,529842326.44,59670899.71,470171426.73,2025-08-23,,2025-10-03,,,0,Cancelled,Cancelled,Not Rated,Bank Guarantee,Ex-Factory,CIF,Warehouse - Pune,Medium,2,Pending,Procurement Head,CFO,Vendor Non-Performance,Urgent delivery required,0.0,11.26
PO00058,VEN00647,Vendor 647,CONT01056,HVAC Units,HVAC Units - Grade Standard,518,257,Meters,1729474.73,895867908.85,12,107504149.06,0.0,0.0,1003372057.91,1003372057.91,434823546.54,568548511.37,2025-11-19,2025-11-22,2026-03-13,2026-04-16,148.0,34,Partially Delivered,Delayed,Average,Net 60 days,Ex-Factory,DAP,Factory - Gujarat,Medium,2,Pending,Procurement Head,Senior Manager,,As per contract terms,49.61,43.34
PO00059,VEN01118,Vendor 1118,CONT00211,Aggregates,Aggregates - Grade C,2826,2826,Square Meter,4526.58,12792125.34,12,1535055.04,0.0,0.0,14327180.38,14327180.38,14327180.38,0.0,2024-10-09,2024-10-11,2025-02-05,2025-01-28,111.0,0,Completed,Delivered,Excellent,Against Delivery,Delivered to Site,DDP,Distribution Center,Low,2,Compliant,Procurement Head,Director,,Quality inspection mandatory,100.0,100.0
PO00060,VEN00484,Vendor 484,CONT00751,Generators,Generators - Grade Premium,809,809,Meters,3082648.0,2493862234.02,28,698281425.53,0.0,0.0,3192143659.55,3192143659.55,3192143659.55,0.0,2024-10-09,2024-10-14,2024-11-27,2024-12-17,69.0,20,Completed,Delivered,Good,Net 45 days,FOB,CIF,Distribution Center,Low,0,Compliant,Procurement Head,CFO,,Complete delivery in one lot,100.0,100.0
PO00061,VEN01422,Vendor 1422,CONT01006,Marble,Marble - Grade A,27,0,Bundles,297.5,8032.47,12,963.9,8.81,707.73,8996.36,8288.63,0.0,8288.63,2025-01-16,,2025-03-03,,,0,Cancelled,Cancelled,Not Rated,Cash on Delivery,Ex-Works,DDP,Site A - Mumbai,Low,0,Pending,Purchase Manager,Director,Project Cancelled,Vendor confirmed delivery,0.0,0.0
PO00062,VEN01135,Vendor 1135,CONT00958,Waterproofing Membrane,Waterproofing Membrane - Grade B,2266,2266,Truckloads,8251.06,18696902.08,0,0.0,0.0,0.0,18696902.08,18696902.08,16963015.55,1733886.53,2024-11-12,2024-11-17,2025-03-26,2025-03-20,128.0,0,Completed,Delivered,Good,Against Delivery,Door Delivery,DDP,Site A - Mumbai,Medium,1,Minor Issues,Purchase Manager,Director,,,100.0,90.73
