negotiation_id,bid_id,tender_id,vendor_id,vendor_name,negotiation_type,item_category,negotiation_start_date,negotiation_end_date,duration_days,negotiation_status,outcome,initial_bid_amount,target_amount,current_offer_amount,final_agreed_amount,savings_amount,savings_pct,num_rounds,num_meetings,negotiation_points,resolved_points,pending_points,strategy,lead_negotiator_buyer,lead_negotiator_vendor,num_stakeholders_buyer,num_stakeholders_vendor,buyer_concessions,vendor_concessions,communication_mode,priority,complexity,buyer_satisfaction,vendor_satisfaction,bottlenecks,bafo_requested,bafo_received,bafo_amount,is_escalated,risk_level,time_pressure,market_impact,has_competing_bids,num_competing_bids,value_at_risk_pct,next_review_date,last_updated,notes,resolution_rate_pct,price_reduction_pct
NEG00029,BID01865,TENDER00311,VEN01527,Vendor 1527,Quality Standards,Electrical Work,2025-09-11,,118,On Hold,Ongoing,626711748.26,573295792.63,619583989.4,,,,1,3,12,6,6,Compromising,Senior Manager,Sales Head,3,2,None,Free Training,Phone Call,Medium,Very High,,,None,False,False,,True,Medium,High,Unfavorable,True,5,68.52,2026-01-12,2026-01-04,Awaiting management approval,50.0,1.14
NEG00030,BID01762,TENDER00347,VEN01484,Vendor 1484,Contract Duration,Construction Services,2025-03-27,2025-04-19,23,Failed,Cancelled,858395088.93,747603582.61,846460967.29,,,,3,10,4,3,1,Accommodating,General Manager,Regional Manager,3,1,None,Faster Delivery,Email,Medium,Medium,,,Delivery Timeline,False,False,,False,High,Low,Neutral,True,2,86.09,,2026-01-06,BAFO requested,75.0,1.39
NEG00031,BID00200,TENDER00121,VEN01818,Vendor 1818,Penalty Clauses,Equipment Supply,2025-06-22,2025-07-11,19,Finalized,Successful,2541396906.0,2243929900.49,2479584864.58,2427645049.74,113751856.26,4.48,7,4,10,7,3,Accommodating,General Manager,Sales Head,5,4,Reduced Penalty,None,Email,Low,Medium,72.98,80.57,None,False,False,,False,Low,Critical,Unfavorable,True,2,28.47,,2026-01-06,BAFO requested,70.0,2.43
NEG00032,BID01358,TENDER00109,VEN01315,Vendor 1315,Contract Duration,Civil Works,2025-12-12,,26,In Progress,Ongoing,1616230262.82,1496052407.41,1595117995.25,,,,2,3,8,6,2,Assertive,Commercial Manager,Business Development Manager,6,3,Additional Services,None,Video Conference,Medium,Low,,,None,True,True,1516310254.5,False,Low,High,Favorable,True,4,32.1,2026-01-20,2026-01-06,Delivery schedule revised,75.0,1.31
NEG00033,BID01528,TENDER00033,VEN00976,Vendor 976,Quality Standards,HVAC Systems,2025-04-19,2025-05-14,25,Cancelled,Cancelled,3171497080.41,2869568839.43,3134876454.06,,,,4,2,9,5,4,Competitive,Procurement Head,Director - Sales,4,2,None,Better Quality,In-Person Meeting,Critical,Very High,,,None,False,False,,False,High,High,Volatile,False,0,81.98,,2026-01-04,Good progress made,55.56,1.15
NEG00034,BID00881,TENDER00232,VEN01819,Vendor 1819,Payment Terms,Construction Services,2025-07-17,2025-08-05,19,Agreement Reached,Successful,1689354604.6,1537527207.1,1562659543.68,1621622418.1,67732186.51,4.01,4,3,4,3,1,Win-Win,Senior Manager,Sales Head,6,1,None,None,Email,Medium,Medium,90.1,72.32,Authority/Approval Delays,False,False,,False,Low,High,Unfavorable,False,0,3.11,,2026-01-04,Escalation required,75.0,7.5
NEG00035,BID00317,TENDER00337,VEN00988,Vendor 988,Payment Terms,MEP Installation,2025-07-11,2025-08-29,49,Finalized,Successful,4304180383.71,3930766458.13,4071444743.49,4178107969.0,126072414.7,2.93,8,5,11,3,8,Assertive,General Manager,Senior Sales Manager,4,3,Reduced Penalty,None,Email,Critical,Low,86.99,72.02,None,True,True,4178107969.0,False,Medium,Critical,Volatile,False,0,10.23,,2026-01-03,Payment terms agreed,27.27,5.41
NEG00036,BID01478,TENDER00167,VEN01591,Vendor 1591,Commercial Terms,MEP Installation,2025-12-11,2026-01-04,24,Failed,Cancelled,1200109565.32,1049563515.56,1167043481.51,,,,4,10,6,4,2,Accommodating,Senior Manager,Regional Manager,5,3,None,None,Email,Critical,High,,,Price Gap Too Large,True,True,1122762087.5,False,High,Medium,Neutral,False,0,85.79,,2026-01-07,Good progress made,66.67,2.76
NEG00037,BID01019,TENDER00383,VEN00882,Vendor 882,Delivery Schedule,Equipment Supply,2025-06-26,2025-08-22,57,Agreement Reached,Successful,2896620565.4,2685135193.88,2867774410.63,2677417442.11,219203123.29,7.57,8,7,10,9,1,Competitive,Senior Manager,Sales Head,4,1,Additional Services,None,Phone Call,High,Medium,75.16,88.43,None,False,False,,False,Low,Critical,Favorable,True,5,17.67,,2026-01-06,Escalation required,90.0,1.0
NEG00038,BID00811,TENDER00446,VEN00636,Vendor 636,Resource Allocation,HVAC Systems,2025-09-15,2025-10-01,16,Cancelled,Failed,1998808801.22,1865261847.5,1945682060.72,,,,3,2,6,2,4,Win-Win,General Manager,Business Development Manager,3,4,None,None,Video Conference,High,Medium,40.43,46.46,None,False,False,,False,High,Medium,Volatile,True,5,88.84,,2026-01-03,Technical clarifications needed,33.33,2.66
NEG00039,BID01212,TENDER00029,VEN00721,Vendor 721,Penalty Clauses,MEP Installation,2025-08-01,,159,In Progress,Ongoing,2577841189.01,2439254578.89,2522707123.31,,,,4,6,15,12,3,Accommodating,Director - Procurement,Account Manager,6,4,None,Faster Delivery,Video Conference,Medium,Low,,,None,False,False,,False,Low,Medium,Favorable,True,7,47.51,2026-01-19,2026-01-05,BAFO requested,80.0,2.14
NEG00040,BID00746,TENDER00191,VEN01880,Vendor 1880,Performance Guarantee,Construction Services,2025-06-11,2025-07-26,45,Agreement Reached,Successful,1594036619.43,1406116005.72,1576385209.92,1472817644.44,121218974.99,7.6,2,10,7,5,2,Win-Win,Senior Manager,Regional Manager,3,3,Additional Services,Free Training,In-Person Meeting,High,Medium,73.87,81.27,None,False,False,,False,Medium,Medium,Favorable,False,0,15.25,,2026-01-02,Vendor firm on pricing,71.43,1.11
NEG00041,BID00633,TENDER00093,VEN01948,Vendor 1948,Payment Terms,HVAC Systems,2025-05-03,,249,In Progress,Ongoing,1364023551.49,1159423207.7,1335206866.74,,,,1,3,5,3,2,Win-Win,Contracts Manager,Account Manager,5,1,None,None,Mixed (Multiple Modes),High,Low,,,Quality Standards,False,False,,False,Medium,Medium,Neutral,False,0,68.62,2026-01-20,2026-01-04,BAFO requested,60.0,2.11
NEG00042,BID00754,TENDER00348,VEN01940,Vendor 1940,Commercial Terms,Consultancy,2025-05-15,,237,On Hold,Ongoing,780966624.38,681149402.89,767346429.62,,,,2,2,13,8,5,Best and Final Offer,Contracts Manager,Sales Head,4,1,None,Additional Features,Mixed (Multiple Modes),Medium,High,,,None,True,False,,False,Low,Critical,Unfavorable,True,5,32.13,2026-01-09,2026-01-02,Escalation required,61.54,1.74
NEG00043,BID00483,TENDER00198,VEN00168,Vendor 168,Warranty Terms,Material Supply,2025-12-23,,15,On Hold,Ongoing,352750631.68,331617936.62,326937479.3,,,,1,5,5,4,1,Compromising,Senior Manager,Senior Sales Manager,3,2,None,Price Reduction,In-Person Meeting,Medium,Medium,,,None,False,False,,False,Medium,Low,Favorable,True,5,55.56,2026-01-11,2025-12-31,Positive discussions,80.0,7.32
NEG00044,BID00129,TENDER00057,VEN01714,Vendor 1714,Quality Standards,Civil Works,2025-02-17,,324,Escalated,Partially Successful,1127676314.38,1044009708.28,1108367300.93,,,,2,9,13,9,4,Assertive,Senior Manager,Business Development Manager,6,1,None,None,Mixed (Multiple Modes),High,Very High,51.09,54.67,None,True,False,,True,Medium,Medium,Favorable,False,0,4.0,,2026-01-02,Payment terms agreed,69.23,1.71
NEG00045,BID01667,TENDER00330,VEN00359,Vendor 359,Contract Duration,Consultancy,2025-01-15,2025-01-26,11,Failed,Failed,504604613.04,470176550.5,500306063.82,,,,3,5,8,7,1,Competitive,Commercial Manager,Sales Head,2,2,None,Faster Delivery,Phone Call,High,Low,45.97,29.96,None,False,False,,False,High,Critical,Volatile,False,0,86.78,,2025-12-31,Awaiting management approval,87.5,0.85
NEG00046,BID01418,TENDER00255,VEN00753,Vendor 753,Penalty Clauses,Electrical Work,2025-11-25,2025-12-03,8,Cancelled,Cancelled,740727258.13,697844556.74,736779358.42,,,,3,6,7,3,4,Competitive,Contracts Manager,Senior Sales Manager,5,1,Flexible Delivery,None,Phone Call,Medium,Medium,,,None,False,False,,False,High,High,Favorable,True,7,92.75,,2026-01-05,Payment terms agreed,42.86,0.53
NEG00047,BID01952,TENDER00016,VEN00293,Vendor 293,Commercial Terms,Consultancy,2025-12-20,,18,Escalated,Ongoing,169918523.09,157412598.28,166667050.16,,,,2,7,8,4,4,Win-Win,Senior Manager,Regional Manager,4,3,None,None,Email,High,Medium,,,None,True,False,,False,Medium,Low,Unfavorable,False,0,58.16,,2026-01-03,Price gap narrowing,50.0,1.91
NEG00048,BID01422,TENDER00470,VEN01006,Vendor 1006,Payment Terms,MEP Installation,2025-10-29,,70,In Progress,Ongoing,4337718306.73,3924749008.27,4058407833.6,,,,3,3,4,2,2,Win-Win,Contracts Manager,Senior Sales Manager,4,2,None,None,Video Conference,Critical,Low,,,Technical Requirements,False,False,,False,Medium,High,Volatile,True,6,65.37,2026-01-08,2026-01-03,Good progress made,50.0,6.44
NEG00049,BID00816,TENDER00368,VEN01473,Vendor 1473,Quality Standards,Construction Services,2025-06-11,2025-06-27,16,Failed,Cancelled,1682010919.12,1585505422.72,1600243468.89,,,,5,9,12,5,7,Collaborative,Director - Procurement,Senior Sales Manager,3,3,Flexible Delivery,Price Reduction,In-Person Meeting,High,Very High,,,Technical Requirements,False,False,,False,High,Low,Unfavorable,True,7,99.13,,2026-01-05,Technical clarifications needed,41.67,4.86
NEG00050,BID01281,TENDER00156,VEN01259,Vendor 1259,Penalty Clauses,MEP Installation,2025-04-24,,258,Escalated,Partially Successful,3384443422.85,3014927031.67,3300292684.84,,,,1,10,3,2,1,Best and Final Offer,Procurement Head,Sales Head,2,4,Reduced Penalty,Faster Delivery,Phone Call,Medium,Medium,66.05,52.55,None,False,False,,False,Medium,Critical,Favorable,True,3,13.19,,2025-12-31,BAFO requested,66.67,2.49
NEG00051,BID00418,TENDER00175,VEN01243,Vendor 1243,Delivery Schedule,HVAC Systems,2025-07-27,2025-08-26,30,Agreement Reached,Successful,3803898896.62,3286272944.61,3463302704.53,3617122926.72,186775969.9,4.91,2,10,7,4,3,Collaborative,Senior Manager,Sales Head,5,2,None,None,Phone Call,Low,Low,94.4,88.01,Technical Requirements,True,False,,False,Medium,Critical,Unfavorable,False,0,0.7,,2025-12-31,Delivery schedule revised,57.14,8.95
NEG00052,BID01980,TENDER00124,VEN00441,Vendor 441,Commercial Terms,HVAC Systems,2025-12-13,2025-12-18,5,Failed,Cancelled,727431820.83,655060050.63,692763004.34,,,,5,1,5,4,1,Best and Final Offer,Procurement Head,Director - Sales,6,2,Flexible Delivery,None,Phone Call,High,High,,,None,False,False,,False,High,High,Favorable,True,2,87.88,,2026-01-02,Payment terms agreed,80.0,4.77
NEG00053,BID01547,TENDER00074,VEN00408,Vendor 408,Commercial Terms,Construction Services,2025-04-25,2025-05-19,24,Cancelled,Cancelled,272458831.08,257775644.15,262736755.75,,,,2,6,12,6,6,Assertive,Commercial Manager,Regional Manager,6,4,None,Free Training,Mixed (Multiple Modes),Medium,High,,,None,True,False,,False,High,High,Favorable,False,0,91.67,,2026-01-07,,50.0,3.57
NEG00054,BID01223,TENDER00243,VEN00544,Vendor 544,Contract Duration,Material Supply,2025-12-11,2026-01-05,25,Finalized,Successful,604347113.2,563824910.31,597452766.15,561357813.5,42989299.69,7.11,7,4,4,1,3,Competitive,Director - Procurement,Senior Sales Manager,5,4,None,None,Phone Call,Medium,Low,91.17,75.56,None,False,False,,False,High,High,Neutral,False,0,27.36,,2026-01-02,Payment terms agreed,25.0,1.14
NEG00055,BID01385,TENDER00396,VEN01777,Vendor 1777,Resource Allocation,Electrical Work,2025-02-28,,313,Counter Offer Made,Ongoing,509971096.61,435651101.6,499238742.05,,,,3,5,14,8,6,Win-Win,Commercial Manager,Senior Sales Manager,2,4,None,Additional Features,Email,Medium,Medium,,,Authority/Approval Delays,True,False,,False,Medium,Low,Unfavorable,False,0,56.24,2026-01-08,2026-01-04,BAFO requested,57.14,2.1
NEG00056,BID00414,TENDER00424,VEN01104,Vendor 1104,Performance Guarantee,Electrical Work,2025-10-28,2025-11-03,6,Cancelled,Failed,153765252.49,134684661.06,149386473.69,,,,2,3,14,8,6,Competitive,Senior Manager,Regional Manager,5,4,Advance Payment,None,Mixed (Multiple Modes),High,Low,42.68,28.62,None,True,True,145814934.29,True,High,Low,Neutral,False,0,97.64,,2026-01-07,Awaiting management approval,57.14,2.85
NEG00057,BID01713,TENDER00204,VEN01614,Vendor 1614,Quality Standards,Equipment Supply,2025-08-11,2025-09-24,44,Agreement Reached,Successful,4445344255.63,4218957467.43,4326293583.24,4165615185.58,279729070.05,6.29,7,8,11,6,5,Assertive,Senior Manager,Business Development Manager,4,2,None,None,Video Conference,Critical,Very High,93.72,77.03,Technical Requirements,False,False,,False,Medium,Low,Volatile,True,3,29.45,,2026-01-02,BAFO requested,54.55,2.68
NEG00058,BID01917,TENDER00128,VEN00014,Vendor 14,Performance Guarantee,Construction Services,2025-09-08,,121,Escalated,Ongoing,1004123939.25,927108202.75,991546104.6,,,,3,9,6,2,4,Win-Win,Contracts Manager,Senior Sales Manager,4,1,None,None,Phone Call,Medium,Medium,,,None,True,True,979939483.81,False,High,Medium,Volatile,False,0,46.63,,2025-12-31,Escalation required,33.33,1.25
NEG00059,BID01552,TENDER00276,VEN01643,Vendor 1643,Contract Duration,Material Supply,2025-09-02,2025-09-25,23,Cancelled,Cancelled,696324823.92,620020542.45,655966207.92,,,,1,8,11,4,7,Competitive,Procurement Head,Account Manager,2,2,None,None,Mixed (Multiple Modes),Medium,Medium,,,None,False,False,,False,High,Low,Volatile,True,6,88.31,,2026-01-07,Positive discussions,36.36,5.8
NEG00060,BID01145,TENDER00237,VEN01378,Vendor 1378,Performance Guarantee,Civil Works,2025-06-18,2025-08-01,44,Finalized,Successful,658022994.32,624923419.64,639723957.71,618983629.76,39039364.56,5.93,2,6,3,1,2,Competitive,Procurement Head,Director - Sales,5,4,None,None,Phone Call,Medium,Medium,81.27,80.48,None,True,False,,False,Medium,Medium,Volatile,True,7,29.36,,2026-01-07,Vendor firm on pricing,33.33,2.78
NEG00061,BID00612,TENDER00238,VEN01380,Vendor 1380,Resource Allocation,Construction Services,2025-04-09,,273,Awaiting Response,Ongoing,882697642.46,818290367.31,860324471.3,,,,1,2,12,10,2,Competitive,General Manager,Director - Sales,6,1,Extended Payment Terms,None,In-Person Meeting,High,Low,,,None,True,False,,False,Low,Medium,Favorable,True,6,69.74,2026-01-15,2026-01-02,Price gap narrowing,83.33,2.53
